word,tags
a,"NDL,NGSL,NGSL-GR,NGSL-Spoken"
abandon,"NGSL,NGSL-GR"
abdomen,"FEL,Medical"
abdominal,"FEL,NAWL"
abduction,Medical
abductor,FEL
abide,TSL
ability,"NGSL,NGSL-GR"
able,"NDL,NGSL,NGSL-GR,NGSL-Spoken"
abnormal,Medical
aboard,"NGSL-GR,TSL"
abolish,"BSL,NGSL-GR"
abortion,"NGSL,NGSL-GR"
about,"NDL,NGSL,NGSL-GR,NGSL-Spoken"
above,"NDL,NGSL,NGSL-GR"
abroad,"NGSL,NGSL-GR"
abs,FEL
absence,"NGSL,NGSL-GR"
absent,"NGSL-GR,TSL"
absolute,"NGSL,NGSL-GR"
absolutely,"NGSL,NGSL-GR,NGSL-Spoken"
absorb,"BSL,FEL,NAWL,NGSL-GR,TSL"
absorption,"BSL,FEL,NAWL"
abstract,"NGSL,NGSL-GR"
absurd,NGSL-GR
abuse,"NGSL,NGSL-GR"
academic,"NGSL,NGSL-GR"
accelerate,"BSL,NAWL,NGSL-GR"
acceleration,NAWL
accent,"NAWL,NGSL-GR,TSL"
accept,"NGSL,NGSL-GR,NGSL-Spoken"
acceptable,"NGSL,NGSL-GR"
acceptance,"BSL,NGSL-GR,TSL"
access,"NGSL,NGSL-GR"
accessible,"BSL,NGSL-GR,TSL"
accessory,TSL
accident,"NGSL,NGSL-GR"
acclaim,TSL
accommodate,"BSL,NGSL-GR,TSL"
accommodation,"NGSL,NGSL-GR"
accompany,"NGSL,NGSL-GR"
accomplish,"NGSL,NGSL-GR"
accomplishment,"BSL,TSL"
accord,"NGSL,NGSL-GR"
accordance,"BSL,NGSL-GR"
accordingly,"BSL,NGSL-GR,TSL"
account,"NGSL,NGSL-GR,NGSL-Spoken"
accountability,"BSL,NGSL-GR"
accountable,BSL
accountant,"BSL,NGSL-GR,TSL"
accrual,BSL
accrue,BSL
accumulate,"BSL,NAWL,NGSL-GR,TSL"
accumulation,"BSL,NAWL"
accuracy,"BSL,NAWL,NGSL-GR,TSL"
accurate,"NGSL,NGSL-GR"
accurately,"BSL,NAWL,NGSL-GR,TSL"
accusation,"BSL,NGSL-GR"
accuse,"NGSL,NGSL-GR"
accustom,"NGSL-GR,TSL"
ache,"Medical,NGSL-GR"
achieve,"NGSL,NGSL-GR"
achievement,"NGSL,NGSL-GR"
achilles tendon,Medical
acid,"BSL,FEL,NAWL,NGSL-GR"
acidic,NAWL
acknowledge,"NGSL,NGSL-GR"
acne,Medical
acquaintance,NGSL-GR
acquire,"NGSL,NGSL-GR"
acquired immune deficiency syndrome (aids),Medical
acquisition,"NGSL,NGSL-GR"
acre,"BSL,NGSL-GR"
across,"NDL,NGSL,NGSL-GR,NGSL-Spoken"
act,"NDL,NGSL,NGSL-GR"
action,"NDL,NGSL,NGSL-GR,NGSL-Spoken"
activate,"FEL,NAWL,NGSL-GR,TSL"
activation,FEL
active,"NGSL,NGSL-GR"
actively,"BSL,FEL,NAWL,NGSL-GR,TSL"
activist,"BSL,NGSL-GR"
activity,"NDL,NGSL,NGSL-GR"
actor,"NGSL,NGSL-GR"
actress,"NGSL-GR,TSL"
actual,"NGSL,NGSL-GR"
actually,"NGSL,NGSL-GR,NGSL-Spoken"
acute,"Medical,NAWL,NGSL-GR"
ad,"NGSL,NGSL-GR"
adapt,"NGSL,NGSL-GR"
adaptation,"FEL,NAWL,NGSL-GR"
adapter,TSL
adaptive,NAWL
add,"NDL,NGSL,NGSL-GR,NGSL-Spoken"
addict,"Medical,NGSL-GR"
addiction,NGSL-GR
addition,"NGSL,NGSL-GR"
additional,"NGSL,NGSL-GR"
additionally,"NGSL-GR,TSL"
address,"NGSL,NGSL-GR,NGSL-Spoken"
adduction,Medical
adductor,FEL
adequate,"NGSL,NGSL-GR"
adequately,"BSL,NGSL-GR"
adhere,"BSL,TSL"
adhesive,Medical
adjacent,"NAWL,NGSL-GR,TSL"
adjective,NDL
adjust,"NGSL,NGSL-GR"
adjustment,"NGSL,NGSL-GR"
administer,"BSL,NGSL-GR,TSL"
administration,"NGSL,NGSL-GR"
administrative,"BSL,NGSL-GR,TSL"
administrator,"BSL,NGSL-GR,TSL"
admiration,NGSL-GR
admire,"NGSL,NGSL-GR"
admission,"BSL,NAWL,NGSL-GR,TSL"
admit,"NGSL,NGSL-GR"
adolescence,Medical
adolescent,"NAWL,NGSL-GR"
adopt,"NGSL,NGSL-GR"
adoption,"BSL,NGSL-GR"
adrenal gland,Medical
adrenaline,Medical
adult,"NGSL,NGSL-GR"
advance,"NGSL,NGSL-GR"
advancement,TSL
advantage,"NGSL,NGSL-GR"
adventure,"NGSL,NGSL-GR"
adverse,"BSL,NAWL,NGSL-GR"
advertise,"NGSL,NGSL-GR"
advertisement,"NGSL,NGSL-GR"
advertiser,"BSL,TSL"
advice,"NGSL,NGSL-GR"
advisable,TSL
advise,"NGSL,NGSL-GR"
adviser,"NGSL,NGSL-GR"
advisor,"BSL,NGSL-GR,TSL"
advisory,"BSL,NGSL-GR,TSL"
advocate,"NGSL,NGSL-GR"
aerobic,FEL
aerosol,NAWL
aesthetic,"NAWL,NGSL-GR"
affair,"NGSL,NGSL-GR"
affect,"NGSL,NGSL-GR,NGSL-Spoken"
affection,NGSL-GR
affiliate,"BSL,NGSL-GR"
affirm,NAWL
affirmation,FEL
affirmative,TSL
afford,"NGSL,NGSL-GR"
affordable,"BSL,NGSL-GR,TSL"
afraid,"NDL,NGSL,NGSL-GR"
after,"NDL,NGSL,NGSL-GR,NGSL-Spoken"
afternoon,"NDL,NGSL,NGSL-GR,NGSL-Spoken"
afterward,"BSL,FEL,NAWL,NGSL-GR,TSL"
again,"NDL,NGSL,NGSL-GR,NGSL-Spoken"
against,"NGSL,NGSL-GR,NGSL-Spoken"
age,"NGSL,NGSL-GR,NGSL-Spoken"
agency,"NGSL,NGSL-GR"
agenda,"NGSL,NGSL-GR"
agent,"NGSL,NGSL-GR"
aggravate,Medical
aggregate,"BSL,NAWL,NGSL-GR"
aggression,NGSL-GR
aggressive,"NGSL,NGSL-GR"
ago,"NDL,NGSL,NGSL-GR,NGSL-Spoken"
agree,"NDL,NGSL,NGSL-GR,NGSL-Spoken"
agreement,"NGSL,NGSL-GR"
agricultural,"NGSL,NGSL-GR"
agriculture,"BSL,NAWL,NGSL-GR"
ahead,"NGSL,NGSL-GR,NGSL-Spoken"
aid,"NGSL,NGSL-GR"
aide,NGSL-GR
aim,"NGSL,NGSL-GR"
air,"NDL,NGSL,NGSL-GR,NGSL-Spoken"
airborne allergens,Medical
aircraft,"NGSL,NGSL-GR"
airfare,TSL
airline,"NGSL,NGSL-GR"
airplane,"FEL,NAWL,NGSL-GR,TSL"
airport,"BSL,NGSL-GR,TSL"
airway,Medical
aisle,TSL
alarm,"NGSL,NGSL-GR"
alas,BSL
albeit,"BSL,NGSL-GR"
album,"NGSL,NGSL-GR"
alcohol,"NGSL,NGSL-GR"
alcohol consumption,Medical
alcohol poisoning,Medical
alcohol swab,Medical
alcoholism,Medical
alert,"BSL,NGSL-GR,TSL"
algebra,NAWL
algorithm,"BSL,NAWL"
alien,"NAWL,NGSL-GR"
align,"BSL,FEL,NGSL-GR"
alignment,FEL
alike,"BSL,NGSL-GR,TSL"
alive,"NGSL,NGSL-GR"
alkaline,Medical
all,"NDL,NGSL,NGSL-GR,NGSL-Spoken"
allegation,"BSL,NGSL-GR"
allege,"NGSL,NGSL-GR"
allegedly,"BSL,NGSL-GR"
allergy,"Medical,TSL"
alleviate,Medical
alliance,"BSL,NAWL,NGSL-GR"
allocate,"BSL,NAWL,NGSL-GR,TSL"
allocation,"BSL,NAWL,NGSL-GR"
allow,"NDL,NGSL,NGSL-GR,NGSL-Spoken"
allowance,"BSL,NGSL-GR"
