word,total_count,chapter_count,chapters
say,858,45,"4:10,5:16,6:19,7:15,8:7,9:38,10:53,11:32,12:103,13:8,14:41,15:139,16:37,17:19,18:5,19:8,20:12,21:9,22:6,23:6,24:4,25:2,26:7,27:12,28:9,29:12,30:22,31:14,32:23,33:16,34:7,35:11,36:7,37:1,38:3,39:8,40:14,41:34,42:9,43:15,44:12,45:9,46:12,47:1,48:11"
think,397,40,"4:2,5:3,6:13,7:16,8:14,9:31,10:20,11:9,12:51,13:8,14:11,15:30,16:13,17:7,18:5,19:11,20:2,21:5,23:4,24:12,25:10,26:4,27:1,28:2,30:3,31:8,32:8,33:10,34:1,36:10,37:3,38:6,39:5,40:6,41:9,43:16,44:19,45:3,46:2,48:4"
know,342,41,"4:9,5:9,6:7,7:11,8:10,9:19,10:15,11:19,12:29,13:1,14:8,15:43,16:8,17:7,18:4,19:3,20:4,21:5,22:4,23:3,24:4,25:4,26:1,28:3,30:12,31:11,32:10,33:10,34:3,35:6,36:4,38:3,39:2,40:5,41:7,42:3,43:14,44:13,45:1,46:2,48:6"
good,295,45,"4:2,5:7,6:5,7:17,8:7,9:10,10:9,11:9,12:17,13:3,14:13,15:33,16:10,17:1,18:6,19:6,20:9,21:5,22:2,23:3,24:4,25:5,26:2,27:3,28:2,29:2,30:5,31:2,32:7,33:10,34:8,35:2,36:4,37:1,38:8,39:4,40:4,41:6,42:6,43:9,44:15,45:1,46:3,47:4,48:4"
look,226,38,"4:5,6:15,7:19,8:4,9:12,10:1,11:3,12:38,13:3,14:3,15:21,16:2,18:3,19:6,20:2,21:1,22:4,24:10,25:4,27:1,28:4,29:4,30:7,32:2,33:8,34:1,36:5,37:3,38:4,39:2,40:1,41:2,42:3,43:7,44:9,45:2,46:4,48:1"
tell,210,39,"4:2,5:4,6:1,7:5,8:2,9:3,10:2,11:9,12:14,13:2,14:2,15:48,16:7,17:2,20:3,22:2,23:2,24:3,26:3,27:1,28:2,29:2,30:6,31:7,32:14,33:16,34:2,35:5,36:3,37:1,38:5,39:2,40:2,41:8,42:3,43:6,44:5,46:2,47:2"
girl,187,31,"9:2,12:25,13:6,14:11,15:34,16:10,17:2,20:6,21:1,22:4,26:1,27:1,28:3,29:5,30:9,31:1,32:10,33:5,34:2,35:5,36:10,37:2,38:3,39:3,40:3,41:8,42:4,43:4,44:5,45:1,48:1"
come,183,37,"4:5,5:1,6:2,7:8,8:9,9:12,10:4,11:5,12:19,13:3,14:11,15:18,16:5,17:1,21:2,22:1,23:1,24:3,25:3,26:2,27:1,29:6,30:1,31:10,32:3,33:2,36:3,37:1,38:1,40:7,41:4,42:2,43:17,44:3,45:3,46:3,47:1"
love,164,30,"7:1,9:9,10:3,11:7,12:29,13:1,14:14,15:17,16:8,17:5,18:1,19:2,20:7,22:1,24:3,25:1,26:1,27:5,30:3,31:2,32:10,34:2,36:3,37:1,40:2,41:11,43:4,44:6,46:4,47:1"
time,148,38,"4:2,5:6,6:5,7:9,8:7,9:7,10:6,11:3,12:9,13:4,14:3,15:18,16:4,17:2,19:2,20:2,21:2,24:2,25:2,26:2,27:1,28:1,29:1,30:1,31:3,32:6,33:8,34:2,35:3,36:5,37:2,38:7,40:2,41:1,42:1,43:4,44:1,48:2"
man,137,32,"4:3,5:1,6:7,7:6,8:3,9:18,10:10,11:3,12:15,14:1,15:17,16:2,17:1,20:1,21:2,23:1,24:6,25:4,26:2,31:1,32:5,33:3,34:3,35:1,36:3,38:4,40:3,41:1,42:2,43:5,44:1,45:2"
go,136,40,"4:4,5:1,6:6,7:4,8:2,9:14,10:2,11:3,12:9,13:2,14:3,15:16,16:5,17:5,18:3,19:3,20:1,21:1,22:2,23:1,24:3,25:2,26:2,29:3,30:3,31:2,32:4,33:2,34:2,36:6,38:2,39:1,40:1,41:3,42:1,43:3,44:4,45:1,46:2,48:2"
thing,129,35,"5:1,7:3,8:1,9:7,10:3,11:1,12:7,13:4,14:8,15:13,16:2,17:4,18:2,19:5,21:2,22:3,23:1,24:5,25:2,29:1,30:13,31:6,32:6,33:4,36:2,37:1,38:5,39:1,40:1,41:2,42:1,43:5,44:4,45:1,48:2"
want,121,34,"5:4,7:4,8:2,9:5,10:3,11:4,12:10,13:4,14:1,15:17,16:2,17:2,19:1,20:1,21:2,22:1,26:2,27:4,28:2,29:2,30:4,31:4,32:3,33:9,35:6,36:2,39:2,40:7,41:1,42:1,43:3,44:4,46:1,48:1"
like,115,31,"5:1,6:2,8:4,9:1,10:3,11:5,12:19,13:7,14:4,15:18,17:2,18:1,19:1,21:1,22:1,24:3,25:2,26:2,27:3,29:2,31:2,32:3,33:4,35:1,36:5,39:1,40:3,41:5,43:3,44:5,45:1"
old,111,35,"4:1,5:1,6:4,7:4,8:8,9:7,10:10,11:4,12:15,13:2,14:3,15:4,16:2,17:2,18:1,19:2,21:5,22:3,24:4,25:1,26:1,29:1,31:1,32:2,33:4,36:1,37:2,39:1,40:1,41:1,42:2,43:7,44:1,46:2,48:1"
people,102,32,"2:3,7:5,8:5,9:3,10:1,11:10,12:7,13:1,14:1,15:9,16:1,17:1,19:2,21:1,23:1,24:6,25:3,28:2,30:1,31:2,32:5,33:11,34:3,36:4,38:2,39:1,40:3,41:1,42:1,43:3,44:2,45:1"
ask,98,31,"4:2,5:4,6:2,7:2,8:3,9:5,10:6,11:5,12:17,15:11,17:1,19:1,20:2,21:2,23:2,25:3,26:1,27:3,28:1,29:2,30:4,31:1,32:3,36:1,39:3,40:3,41:3,43:2,44:1,45:1,47:1"
hand,95,32,"4:6,6:1,7:2,9:5,10:4,11:1,12:11,13:6,14:3,15:10,16:8,17:1,18:2,20:1,21:2,22:1,24:4,25:2,26:2,29:1,31:2,32:1,33:1,34:1,35:2,36:1,40:3,42:1,43:3,45:2,46:1,48:4"
fight,89,21,"6:1,7:9,9:4,10:10,11:4,15:20,16:2,17:1,20:1,24:4,30:2,31:3,32:3,33:9,34:2,36:2,37:1,38:2,40:1,43:5,44:3"
long,89,31,"4:5,5:4,6:3,7:2,8:4,9:4,10:3,11:7,12:7,13:3,14:6,15:6,16:2,17:1,21:1,22:1,23:1,24:2,25:2,27:1,28:1,29:2,31:1,33:4,41:5,42:1,43:5,44:1,45:1,46:2,48:1"
see,89,27,"4:3,5:1,6:3,7:9,8:1,9:9,10:3,12:11,14:3,15:7,16:1,17:1,20:4,21:1,24:4,27:1,30:1,31:1,32:3,36:3,38:2,40:1,41:2,42:1,43:9,44:2,45:2"
way,88,35,"4:2,7:4,8:2,9:3,10:2,11:4,12:11,13:1,14:4,15:7,17:1,18:1,19:1,20:1,22:1,23:1,24:4,26:1,28:1,29:2,30:3,32:3,33:4,34:1,36:2,37:2,39:1,40:1,41:2,42:1,43:4,44:3,45:3,46:2,48:2"
let,86,28,"4:7,5:1,7:1,8:1,9:3,10:3,12:13,14:1,15:8,16:4,17:2,25:1,27:1,30:6,31:1,32:6,33:5,34:1,36:1,38:1,39:4,40:1,41:3,42:1,43:6,44:1,46:1,48:2"
right,84,30,"4:8,5:1,6:3,7:1,9:5,10:1,11:1,12:7,13:2,14:3,15:10,16:2,17:2,22:1,26:2,27:1,29:1,30:1,31:1,32:1,33:2,36:1,37:1,38:3,39:1,40:6,42:1,43:6,44:6,48:3"
hell,76,29,"4:2,5:1,6:2,8:1,9:3,10:3,11:1,12:5,13:1,14:1,15:7,16:3,17:2,18:2,19:1,20:3,21:3,24:2,30:1,31:1,32:2,33:3,35:3,36:7,37:1,38:2,43:3,44:8,48:2"
bad,75,32,"4:1,6:2,7:1,8:1,9:4,10:1,11:1,12:6,13:1,14:2,15:8,16:3,17:2,18:1,19:3,22:4,25:1,26:1,30:2,31:3,32:3,33:1,34:2,35:6,36:1,38:1,40:2,41:1,42:2,43:5,44:2,48:1"
well,73,31,"6:5,7:1,8:1,9:7,10:4,12:5,13:1,14:1,15:7,16:1,18:2,19:1,20:2,22:2,23:2,24:1,25:1,27:1,30:4,31:2,32:3,33:2,34:1,35:1,36:1,39:1,40:1,42:1,43:2,44:7,46:2"
place,72,30,"4:3,6:7,7:4,8:3,9:8,10:2,11:1,12:1,13:1,14:1,15:6,16:2,17:6,18:1,21:1,25:1,26:1,27:2,29:1,32:1,33:3,34:1,35:1,36:1,38:4,42:2,43:2,44:2,45:2,48:1"
feel,70,25,"4:6,9:2,10:1,11:2,12:10,13:3,14:7,15:7,16:4,18:2,20:1,25:1,26:2,27:1,28:2,31:6,33:1,36:3,37:2,38:1,39:1,40:1,43:1,45:2,46:1"
shoot,70,22,"4:15,5:7,7:1,8:1,9:1,10:2,11:4,12:2,15:5,17:2,19:2,20:1,25:1,27:1,33:1,38:1,43:9,44:5,45:5,46:1,47:2,48:1"
wind,70,27,"4:2,5:1,7:5,9:1,10:2,11:4,12:5,13:3,14:3,15:2,16:13,17:3,18:2,19:1,21:1,22:1,23:1,24:3,26:1,27:2,32:1,39:2,41:3,42:4,44:2,45:1,46:1"
town,69,21,"6:2,7:2,8:9,9:7,10:5,11:4,12:3,15:9,16:2,19:1,20:1,21:1,22:1,23:1,24:4,32:5,33:6,36:1,38:2,40:2,41:1"
boy,67,23,"5:4,6:1,7:6,9:4,10:7,11:3,12:4,14:2,15:9,17:3,18:1,19:2,20:2,23:1,24:2,26:1,29:1,32:2,33:4,37:1,43:4,44:1,48:2"
day,67,31,"5:1,6:2,7:3,8:2,9:7,10:3,11:4,12:4,13:1,14:1,15:4,16:1,18:1,19:1,20:1,21:1,22:2,23:2,26:1,28:3,29:1,32:4,33:3,34:1,36:4,38:2,39:2,40:1,44:2,45:1,46:1"
take,67,31,"4:2,5:2,6:2,7:2,8:1,9:2,10:1,11:5,14:1,15:11,16:2,18:2,19:1,20:1,21:1,24:2,25:1,26:3,28:1,32:5,33:3,34:1,36:2,38:1,40:1,41:1,42:1,43:1,44:1,45:5,48:2"
wish,65,27,"4:1,5:1,6:1,9:3,10:8,11:3,12:10,14:1,15:5,17:2,18:1,20:1,21:1,22:1,23:1,24:1,27:1,29:1,30:4,32:1,33:4,36:3,38:1,40:1,41:2,43:4,44:2"
maybe,64,25,"5:2,7:2,8:3,9:2,10:3,12:6,15:6,16:2,17:1,20:2,21:2,22:1,23:2,24:5,28:1,30:1,32:3,33:3,34:2,36:2,38:3,40:1,41:1,44:7,45:1"
duck,61,12,"4:11,5:5,7:4,11:6,15:4,20:1,27:1,43:10,44:7,45:5,46:5,48:2"
face,61,25,"4:1,7:2,9:3,10:4,11:3,12:16,13:3,14:2,15:4,16:1,18:1,19:1,21:2,23:1,24:1,26:2,28:1,31:1,33:1,36:1,37:1,38:3,39:2,41:3,48:1"
talk,61,27,"5:2,7:2,9:3,11:6,12:6,14:2,15:6,16:2,18:2,20:1,21:1,23:2,24:3,26:3,29:2,30:3,31:1,32:2,33:4,34:1,38:1,39:1,42:1,43:1,44:1,45:1,46:1"
boat,60,10,"4:27,7:2,8:4,9:9,15:1,25:1,32:1,42:6,45:7,46:2"
head,60,26,"4:3,5:2,6:2,7:2,9:1,10:2,11:1,12:5,14:2,15:3,16:3,20:1,23:2,24:1,30:1,31:3,32:6,33:1,34:1,39:2,40:1,41:1,43:6,44:2,45:1,46:5"
hold,60,20,"4:6,7:4,8:2,9:4,14:2,15:6,16:8,17:4,27:2,30:1,31:1,32:5,33:1,36:3,39:2,40:2,42:1,43:1,44:2,45:3"
light,60,28,"4:4,5:1,9:1,10:1,11:2,14:1,16:3,17:1,18:3,19:2,20:3,21:1,22:2,25:2,26:1,27:3,29:1,30:1,31:1,33:7,34:1,36:2,37:1,41:1,43:6,44:2,45:2,48:4"
walk,59,20,"6:2,7:2,8:1,9:6,10:2,11:1,12:4,13:3,15:1,17:3,22:2,23:1,24:5,26:3,27:1,36:1,39:2,42:1,43:17,46:1"
true,58,25,"9:2,10:1,11:2,12:6,14:3,15:9,16:3,19:1,20:2,21:1,22:1,24:1,25:1,26:1,27:3,29:1,30:2,32:8,33:1,35:1,36:1,37:1,41:1,42:3,44:2"
hear,57,24,"4:5,5:1,7:1,8:2,9:5,10:1,11:4,12:2,14:3,15:6,16:1,20:2,21:1,22:1,24:2,26:2,27:1,32:2,33:2,36:1,43:7,44:3,45:1,46:1"
mean,57,22,"4:1,5:4,6:3,8:2,9:1,12:8,14:1,15:9,16:3,17:3,23:2,29:1,30:3,32:2,33:2,36:4,37:2,38:1,40:1,43:2,44:1,48:1"
big,56,23,"4:3,6:4,7:10,8:1,9:1,10:3,11:2,12:3,14:2,15:3,16:1,19:1,21:1,24:2,26:1,29:1,32:1,33:4,36:1,40:3,43:5,45:1,48:2"
portrait,56,13,"12:7,14:2,15:6,18:5,19:1,20:18,21:3,22:4,30:2,37:1,38:2,42:2,47:3"
drink,55,18,"9:2,10:2,11:6,12:9,13:1,15:7,17:1,25:1,32:1,33:1,36:1,37:1,38:1,40:9,41:6,43:2,45:3,46:1"
turn,55,23,"4:3,6:2,7:5,8:1,9:4,11:1,12:11,14:1,15:2,16:3,19:1,24:3,25:1,27:1,29:1,32:2,35:1,37:1,39:1,40:2,43:4,45:1,48:3"
get,54,22,"4:1,6:7,7:7,9:4,10:3,15:4,16:4,17:2,19:2,21:1,22:1,23:1,24:2,26:1,30:1,33:5,37:1,38:2,41:1,42:1,43:1,45:2"
little,54,23,"4:1,6:2,7:5,8:1,9:1,11:1,12:9,15:8,16:2,19:1,20:1,23:2,25:2,26:1,30:2,31:2,32:2,33:4,37:2,38:1,40:1,43:1,46:2"
room,54,17,"9:2,10:8,11:6,12:2,14:8,15:8,18:1,20:2,21:3,24:1,28:3,29:1,30:3,33:1,41:3,43:1,46:1"
great,52,18,"7:6,8:2,9:5,11:5,12:2,14:2,15:11,16:4,17:1,23:1,25:4,31:1,32:1,33:3,34:1,43:1,44:1,47:1"
sleep,52,19,"7:1,9:2,12:2,17:2,19:7,20:1,21:1,22:3,24:2,27:1,31:3,32:2,34:2,35:6,36:12,37:1,43:1,44:1,46:2"
try,51,26,"5:1,6:1,8:2,9:1,10:4,11:2,12:1,14:1,15:8,16:3,18:1,21:1,22:1,24:1,25:1,30:1,32:3,33:3,34:1,36:1,37:1,38:1,41:4,42:2,43:3,44:2"
