word,total_count
drake,10
bambini,6
gondoliere,6
campanile,5
ettore,5
fatherland,4
gondolier,3
pescecani,3
scaloppine,3
vaporetto,3
apse,2
cardiograph,2
giotto,2
haberdasher,2
hexanitrate,2
imbarcadero,2
neige,2
osage,2
ossario,2
poler,2
sile,2
trattoria,2
unmaidenly,2
alba,1
alimony,1
ambulante,1
bambinis,1
banlieue,1
borderer,1
botte,1
bre,1
breakheart,1
breakingly,1
brochetto,1
brutto,1
calcio,1
canalize,1
cavaliere,1
centime,1
champignon,1
charcuterie,1
chicly,1
ciaou,1
claimed,1
colloquialism,1
commanded,1
crip,1
criticizer,1
curlew,1
d'antan,1
d'autre,1
deke,1
deposito,1
detrucke,1
devaluate,1
dispensing,1
divorcement,1
doge,1
dreggy,1
eeldom,1
eighte,1
enchillada,1
envelopment,1
etoile,1
execrably,1
fabricar,1
facilely,1
fastly,1
fiamme,1
fois,1
frite,1
garnishing,1
gonochochi,1
gonorrheal,1
gritti,1
hydramatic,1
hydro,1
lusterless,1
massif,1
mechanize,1
messiness,1
metallurgic,1
mezzo,1
militaire,1
motherland,1
motoscafo,1
negroni,1
nere,1
ordinates,1
ordine,1
para,1
pedicure,1
pelagic,1
percenter,1
phosphoru,1
piacere,1
pocketed,1
pomme,1
ponderosa,1
propitious,1
puttee,1
reconvert,1
rognon,1
sangue,1
secco,1
seconal,1
sewerage,1
sexology,1
slappery,1
smokey,1
spatular,1
stupidnesse,1
stylise,1
tardily,1
taxpaying,1
transformable,1
truster,1
ufficiale,1
unbitterly,1
unboiled,1
under,1
unframed,1
ungrammatical,1
unkempter,1
unlovingly,1
unmaskingly,1
unretouched,1
varnished,1
vieux,1
vino,1
voraciousness,1
whisp,1
widgeon,1
