word,total_count
gwyne,43
s'i,18
clumb,16
drownde,15
ji,14
govment,12
nuther,12
generly,11
reck'n,11
afeard,10
ain't,10
ef,10
resk,10
rubbage,8
kase,7
considable,6
f'r,6
ringmaster,6
yuther,6
bekase,5
cretur,5
everywhere,5
ketche,5
nonnamous,5
noth'n,5
obleege,5
ourn,5
actuly,4
fitten,4
genlman,4
gooing,4
jing,4
mullen,4
numskull,4
pison,4
skasely,4
smouch,4
som'er,4
stabboard,4
awluz,3
behine,3
chillen,3
considerble,3
dangersome,3
deffisit,3
dout,3
hearn,3
k'yer,3
nuffn,3
obsequie,3
out'n,3
punkin,3
raftsman,3
roust,3
s'e,3
sech,3
seegar,3
sence,3
sivilize,3
smouche,3
stannin,3
unregular,3
uz,3
wunst,3
afeare,2
agwyne,2
amaz'n,2
anywheres,2
beaten,2
becuz,2
biler,2
borry'd,2
brea,2
brickbat,2
bulli,2
cert'nly,2
chanst,2
chimbly,2
chucklehead,2
complice,2
cussed,2
dasn't,2
deffersit,2
dey'd,2
di'mond,2
f'm,2
factry,2
fas,2
flathead,2
fogive,2
generl,2
ha'nt,2
histrionic,2
injun,2
inve,2
jawing,2
kivere,2
labboard,2
laigge,2
lazye,2
m'am,2
miserableness,2
mosey,2
mushmelon,2
mysef,2
nigg,2
nonesuch,2
pow'ful,2
reglar,2
ruputation,2
saphead,2
seneskal,2
shackly,2
sholy,2
spute,2
strawbrie,2
sturb,2
sumf'n,2
sumfn,2
superintend,2
thar,2
thous'n,2
tobacker,2
tragedian,2
wadding,2
wher,2
yes'm,2
actin,1
agoe,1
alassin,1
allycumpain,1
aluz,1
alwuz,1
amost,1
ancester,1
anear,1
anywher,1
astonishin,1
b'fo,1
baggse,1
baggsed,1
balditude,1
baths,1
beatene,1
bedquilt,1
ben,1
biling,1
blammin,1
blattere,1
blest,1
blether,1
blim,1
blithesome,1
bolthead,1
bothre,1
bourne,1
br,1
breakfas,1
bringing,1
brisken,1
bullinesse,1
buys,1
cantelope,1
careened,1
carryin,1
cavorting,1
certainer,1
chawing,1
chimbley,1
chippere,1
cle'r,1
cler,1
clost,1
cluttering,1
coase,1
colicky,1
conseken,1
coss,1
couchant,1
cowhiding,1
crep,1
crept,1
crope,1
currrent,1
dancette,1
deary,1
derned,1
desperadoe,1
desprate,1
dexter,1
deyselve,1
di'monds,1
diffunt,1
dimmish,1
dingnation,1
dissentere,1
distressid,1
donjon,1
doxolojer,1
drawly,1
drownded,1
earl,1
edgeway,1
engraile,1
erysipla,1
f'rinstance,1
faithfuller,1
fantod,1
fardel,1
fatch,1
feet'll,1
fetchede,1
flann'l,1
flapdoodle,1
flatfoote,1
flinder,1
float'n,1
fool'n,1
forrard,1
foteen,1
franzy,1
freezn,1
frivolishness,1
frowzy,1
frum,1
fum,1
furder,1
furrin,1
g'yarter,1
garrick,1
gashly,1
geewhillikin,1
getherin,1
ghos,1
girafft,1
gitt'n,1
gladdest,1
glidingest,1
google,1
gule,1
gywne,1
ha'nting,1
harum,1
hawed,1
hawking,1
helish,1
heppin,1
heptarchie,1
hern,1
hick'ry,1
hickry,1
hid'n,1
histronic,1
hocus,1
hogwash,1
hookey,1
houn,1
housetop,1
hoverin,1
how'm,1
hurryin,1
i'd,1
innerd,1
intellectural,1
invected,1
irreligious,1
jackstaff,1
jamboreehoo,1
jander,1
jedge,1
jeesum,1
jimcrack,1
jint,1
julery,1
junketing,1
kaze,1
keenest,1
knowed,1
lackin,1
languishy,1
lazie,1
leasure,1
lection,1
linkin,1
linsey,1
loadene,1
looard,1
lovinger,1
lunkhead,1
m'lasse,1
maidy,1
majestye,1
marster,1
meedyevil,1
meeky,1
meet'n,1
melodeum,1
meo,1
mesmerism,1
misable,1
missionarye,1
missionarying,1
mos'ly,1
mudcat,1
muggin,1
muggins,1
mulatter,1
muleheaded,1
mullet,1
murrey,1
nabob,1
nemmine,1
nervious,1
nights,1
nombril,1
northard,1
noth'n'en,1
now't,1
nuff'n,1
nuss,1
nussery,1
obleegd,1
oncommon,1
oneasy,1
onless,1
onreasonable,1
orgo,1
orneri,1
orter,1
outstart,1
owdacious,1
p'fessor,1
pard,1
parlyment,1
partickler,1
patchin,1
peacefull,1
per'ap,1
pinte,1
pisonest,1
pitifulness,1
pluribus,1
powerfull,1
powful,1
preache,1
preforeordestination,1
prentice,1
propaty,1
pungle,1
putrifie,1
rafting,1
rair,1
ransacking,1
ransomed,1
rascality,1
rattlin,1
razberrie,1
reck'n'd,1
reck'ne,1
referrin,1
relict,1
religgion,1
reptle,1
resis,1
resize,1
resky,1
ridicklous,1
ripping,1
ripply,1
romantical,1
romeo,1
s'prise,1
s'rp,1
saddish,1
sadful,1
safer,1
sah,1
saltire,1
sasser,1
sawlog,1
scarum,1
schooli,1
scole,1
screaking,1
scrouche,1
scutcheon,1
sejest,1
sejeste,1
sentimentere,1
shekel,1
shouldering,1
shout'n,1
showbill,1
sicklied,1
sis,1
sk'yer,1
skaddle,1
skreeky,1
smarty,1
smothery,1
sockdolager,1
softy,1
some'n,1
soothering,1
sorrer,1
soured,1
sperit,1
splendidest,1
spondulick,1
sprawlin,1
squah,1
sqush,1
squshe,1
sufferin,1
sumpn,1
sumter,1
suppos'n,1
suthin,1
swushe,1
tackled,1
talky,1
terpret,1
th'n,1
that'll,1
thousan,1
tiresomeness,1
toback,1
tod,1
tolable,1
tolerble,1
trapse,1
treacherousest,1
treat'n,1
trust'n,1
tucker,1
turkles,1
turrible,1
twarn't,1
twyste,1
unbarring,1
unbolting,1
uneasi,1
ungratefulness,1
unkivere,1
unstop,1
unum,1
upest,1
uppish,1
vassle,1
victual,1
waded,1
warld,1
warwhoop,1
waseful,1
washpan,1
waw,1
whah,1
whippowill,1
whollop,1
whyd'nt,1
widout,1
woodboat,1
woodyard,1
woolsey,1
woundin,1
wusshup,1
wust,1
yellocute,1
yellocution,1
yisterday,1
