word,total_count,chapter_count,chapters
animal,296,2,"1:282,2:14"
farm,118,2,"1:107,2:11"
pig,115,2,"1:100,2:15"
say,100,2,"1:92,2:8"
work,95,2,"1:91,2:4"
come,89,2,"1:84,2:5"
day,82,2,"1:81,2:1"
time,82,2,"1:78,2:4"
windmill,70,2,"1:69,2:1"
comrade,66,1,1:66
dog,60,1,1:60
go,57,2,"1:56,2:1"
round,51,2,"1:49,2:2"
long,48,2,"1:44,2:4"
man,48,2,"1:45,2:3"
moment,47,2,"1:44,2:3"
leg,45,1,1:45
see,44,2,"1:42,2:2"
human,42,2,"1:37,2:5"
take,42,2,"1:39,2:3"
know,40,2,"1:38,2:2"
old,40,2,"1:38,2:2"
year,40,1,1:40
end,36,2,"1:32,2:4"
good,36,1,1:36
way,36,2,"1:35,2:1"
give,35,1,1:35
sheep,35,1,1:35
farmhouse,34,2,"1:30,2:4"
begin,33,2,"1:32,2:1"
life,32,1,1:32
find,31,2,"1:30,2:1"
hard,31,1,1:31
great,30,2,"1:28,2:2"
yard,30,2,"1:29,2:1"
happen,29,2,"1:26,2:3"
little,29,1,1:29
word,29,2,"1:27,2:2"
morning,28,2,"1:27,2:1"
night,28,1,1:28
order,28,2,"1:27,2:1"
think,28,2,"1:27,2:1"
cry,27,1,1:27
stand,27,2,"1:26,2:1"
remember,26,1,1:26
set,26,2,"1:24,2:2"
barn,25,1,1:25
break,25,2,"1:24,2:1"
hear,25,1,1:25
hoof,25,2,"1:24,2:1"
thing,25,2,"1:24,2:1"
appear,24,2,"1:20,2:4"
away,24,2,"1:23,2:1"
believe,24,2,"1:21,2:3"
building,24,1,1:24
field,24,2,"1:23,2:1"
hen,24,1,1:24
horse,24,1,1:24
later,24,2,"1:23,2:1"
lie,24,1,1:24
look,24,2,"1:22,2:2"
read,24,1,1:24
week,24,2,"1:23,2:1"
well,24,1,1:24
being,23,2,"1:21,2:2"
live,23,2,"1:22,2:1"
run,23,1,1:23
soon,23,1,1:23
speak,23,1,1:23
hour,22,2,"1:21,2:1"
call,21,1,1:21
early,21,1,1:21
gun,21,1,1:21
labour,21,2,"1:20,2:1"
sing,21,1,1:21
announce,20,2,"1:19,2:1"
bed,20,1,1:20
cow,20,1,1:20
eye,20,2,"1:18,2:2"
face,20,2,"1:15,2:5"
foot,20,2,"1:17,2:3"
place,20,2,"1:19,2:1"
suddenly,20,2,"1:19,2:1"
turn,20,2,"1:19,2:1"
voice,20,2,"1:17,2:3"
wall,20,1,1:20
food,19,2,"1:18,2:1"
need,19,1,1:19
tail,19,1,1:19
bad,18,1,1:18
big,18,1,1:18
get,18,1,1:18
speech,18,2,"1:16,2:2"
stall,18,1,1:18
stone,18,1,1:18
summer,18,1,1:18
carry,17,2,"1:16,2:1"
death,17,1,1:17
evening,17,2,"1:16,2:1"
feel,17,2,"1:14,2:3"
lead,17,2,"1:16,2:1"
right,17,2,"1:16,2:1"
send,17,1,1:17
sleep,17,1,1:17
tell,17,1,1:17
write,17,1,1:17
young,17,1,1:17
certain,16,2,"1:13,2:3"
enemy,16,1,1:16
hold,16,1,1:16
milk,16,1,1:16
pass,16,1,1:16
plan,16,1,1:16
song,16,1,1:16
spring,16,2,"1:15,2:1"
wear,16,2,"1:15,2:1"
able,15,2,"1:14,2:1"
die,15,2,"1:14,2:1"
fact,15,1,1:15
harvest,15,1,1:15
hay,15,1,1:15
hedge,15,1,1:15
kind,15,1,1:15
late,15,1,1:15
learn,15,2,"1:14,2:1"
ration,15,2,"1:14,2:1"
terrible,15,1,1:15
ask,14,2,"1:12,2:2"
follow,14,1,1:14
forward,14,1,1:14
grow,14,1,1:14
immediately,14,2,"1:13,2:1"
large,14,2,"1:13,2:1"
pigeon,14,1,1:14
race,14,1,1:14
sit,14,2,"1:13,2:1"
straw,14,1,1:14
walk,14,1,1:14
build,13,1,1:13
corn,13,1,1:13
egg,13,1,1:13
hand,13,2,"1:12,2:1"
let,13,1,1:13
mind,13,1,1:13
minute,13,1,1:13
necessary,13,1,1:13
small,13,1,1:13
talk,13,1,1:13
tremendous,13,1,1:13
understand,13,1,1:13
usual,13,1,1:13
creature,12,2,"1:11,2:1"
dream,12,1,1:12
far,12,1,1:12
finally,12,2,"1:11,2:1"
finish,12,1,1:12
fire,12,1,1:12
flag,12,2,"1:10,2:2"
fly,12,2,"1:11,2:1"
ground,12,2,"1:11,2:1"
lose,12,1,1:12
notice,12,2,"1:11,2:1"
past,12,2,"1:11,2:1"
pasture,12,1,1:12
piece,12,1,1:12
point,12,2,"1:11,2:1"
question,12,2,"1:11,2:1"
raise,12,2,"1:11,2:1"
remain,12,2,"1:11,2:1"
rest,12,1,1:12
short,12,2,"1:10,2:2"
thought,12,1,1:12
utter,12,2,"1:11,2:1"
white,12,2,"1:11,2:1"
black,11,2,"1:10,2:1"
bring,11,1,1:11
difficulty,11,2,"1:10,2:1"
door,11,1,1:11
draw,11,1,1:11
fall,11,1,1:11
green,11,2,"1:9,2:2"
lay,11,1,1:11
meeting,11,1,1:11
orchard,11,1,1:11
rumour,11,1,1:11
try,11,1,1:11
tune,11,1,1:11
agreement,10,1,1:10
attack,10,1,1:10
case,10,1,1:10
discover,10,1,1:10
leave,10,2,"1:9,2:1"
letter,10,1,1:10
listen,10,1,1:10
mean,10,1,1:10
news,10,1,1:10
number,10,2,"1:9,2:1"
pile,10,1,1:10
produce,10,1,1:10
reason,10,2,"1:9,2:1"
resolution,10,1,1:10
rush,10,2,"1:9,2:1"
silence,10,1,1:10
sound,10,2,"1:9,2:1"
timber,10,1,1:10
vote,10,1,1:10
winter,10,1,1:10
accord,9,2,"1:8,2:1"
air,9,1,1:9
apple,9,1,1:9
arrangement,9,1,1:9
battle,9,1,1:9
body,9,1,1:9
clear,9,1,1:9
confess,9,1,1:9
continue,9,2,"1:8,2:1"
