word,total_count
cockerel,7
dogcart,3
porker,3
viii,3
organisation,2
ploughing,2
spinney,2
appetising,1
arable,1
beingdone,1
blacksmithing,1
brainwork,1
brainworker,1
carpentering,1
cartage,1
cheque,1
coccidiosis,1
cowman,1
cowshe,1
dissentient,1
fertilise,1
foxhound,1
freind,1
frugally,1
humbler,1
mangel,1
neighbourly,1
outdoing,1
perpendicularity,1
ploughland,1
pophole,1
publican,1
quarrelling,1
rabbiting,1
ratcatcher,1
seedbed,1
superannuate,1
superintendence,1
taproom,1
tatted,1
tush,1
tyrannise,1
utilise,1
