word,total_count,chapter_count,chapters
say,773,2,"1:767,2:6"
think,444,2,"1:437,2:7"
know,419,2,"1:415,2:4"
tribute,319,3,"1:312,2:4,6:3"
go,274,2,"1:273,2:1"
look,268,2,"1:266,2:2"
feel,259,3,"1:256,2:2,6:1"
come,257,2,"1:254,2:3"
hand,255,1,1:255
time,253,3,"1:250,2:2,6:1"
take,247,3,"1:242,2:4,6:1"
good,238,2,"1:236,2:2"
give,237,3,"1:231,2:5,6:1"
thing,234,2,"1:228,2:6"
way,233,2,"1:230,2:3"
arena,216,2,"1:214,6:2"
try,215,2,"1:214,2:1"
people,203,2,"1:200,2:3"
begin,199,1,1:199
want,197,2,"1:194,2:3"
day,194,2,"1:193,2:1"
head,193,2,"1:192,2:1"
ask,190,2,"1:187,2:3"
leave,186,2,"1:183,2:3"
find,183,1,1:183
tell,180,2,"1:178,2:2"
right,177,2,"1:176,2:1"
get,173,2,"1:170,2:3"
girl,161,2,"1:159,2:2"
run,158,2,"1:156,2:2"
turn,158,2,"1:156,2:2"
eye,157,2,"1:155,2:2"
district,150,2,"1:143,2:7"
face,148,1,1:148
mentor,147,2,"1:144,6:3"
little,142,2,"1:139,2:3"
help,141,2,"1:139,2:2"
bring,139,2,"1:138,2:1"
night,135,2,"1:134,2:1"
home,133,2,"1:132,2:1"
let,133,2,"1:132,2:1"
long,133,2,"1:132,2:1"
need,133,3,"1:129,2:3,6:1"
stand,132,1,1:132
see,126,1,1:126
hear,124,1,1:124
maybe,124,1,1:124
life,121,2,"1:118,2:3"
old,121,3,"1:117,2:3,6:1"
body,120,1,1:120
boy,120,1,1:120
away,118,2,"1:117,2:1"
kill,118,2,"1:117,2:1"
moment,117,2,"1:116,2:1"
war,115,2,"1:114,2:1"
well,113,2,"1:107,2:6"
bird,111,2,"1:110,2:1"
mean,108,2,"1:105,2:3"
work,108,2,"1:104,2:4"
door,107,2,"1:106,2:1"
open,107,1,1:107
hold,105,1,1:105
pull,105,2,"1:103,2:2"
sit,104,1,1:104
voice,104,1,1:104
snake,101,1,1:101
fall,100,3,"1:97,2:2,6:1"
thank,100,2,"1:98,2:2"
arm,99,1,1:99
remember,99,2,"1:96,2:3"
end,98,2,"1:97,2:1"
dead,97,2,"1:96,2:1"
food,97,2,"1:96,2:1"
place,97,2,"1:96,2:1"
send,97,2,"1:95,2:2"
audience,96,1,1:96
song,96,2,"1:95,2:1"
follow,94,2,"1:93,6:1"
love,94,2,"1:93,2:1"
watch,94,1,1:94
year,94,3,"1:90,2:3,6:1"
bit,93,1,1:93
new,92,2,"1:87,2:5"
reach,91,2,"1:90,2:1"
sing,91,2,"1:90,2:1"
bad,90,2,"1:88,2:2"
father,90,2,"1:85,2:5"
water,90,1,1:90
foot,85,1,1:85
small,85,2,"1:84,2:1"
catch,84,1,1:84
friend,84,2,"1:83,2:1"
drop,83,2,"1:82,2:1"
word,83,1,1:83
family,81,2,"1:79,2:2"
sure,81,2,"1:78,2:3"
close,79,1,1:79
crowd,79,1,1:79
dress,76,1,1:76
wait,76,1,1:76
morning,75,3,"1:72,2:2,6:1"
high,73,1,1:73
base,71,1,1:71
happen,71,2,"1:70,2:1"
set,71,2,"1:70,2:1"
sound,71,1,1:71
start,71,2,"1:70,6:1"
win,71,3,"1:68,2:2,6:1"
idea,70,2,"1:67,2:3"
minute,70,1,1:70
rebel,70,1,1:70
rest,70,1,1:70
step,70,2,"1:69,2:1"
wonder,70,1,1:70
cage,69,1,1:69
course,69,2,"1:66,2:3"
death,69,3,"1:67,2:1,6:1"
appear,68,1,1:68
lab,68,1,1:68
stop,68,1,1:68
die,67,2,"1:66,2:1"
break,66,1,1:66
eat,66,1,1:66
keep,66,1,1:66
lose,66,2,"1:64,2:2"
rise,66,2,"1:65,2:1"
hang,65,2,"1:64,6:1"
hour,65,2,"1:64,2:1"
move,65,1,1:65
point,65,2,"1:64,2:1"
sejanu,65,1,1:65
bar,64,1,1:64
hard,64,2,"1:63,6:1"
mind,64,2,"1:63,2:1"
talk,64,2,"1:62,2:2"
walk,64,2,"1:63,2:1"
air,63,2,"1:62,2:1"
child,63,2,"1:62,2:1"
laugh,63,1,1:63
like,63,2,"1:61,2:2"
matter,63,3,"1:60,2:2,6:1"
make,62,3,"1:60,2:1,6:1"
attention,61,1,1:61
camera,61,1,1:61
plan,61,2,"1:60,2:1"
play,61,2,"1:60,2:1"
seat,61,1,1:61
draw,60,2,"1:59,2:1"
finger,60,2,"1:58,2:2"
light,60,1,1:60
student,60,3,"1:58,2:1,6:1"
thought,60,1,1:60
free,59,2,"1:58,2:1"
nod,59,1,1:59
ground,58,1,1:58
money,58,2,"1:57,2:1"
pass,58,2,"1:57,2:1"
probably,58,1,1:58
cry,56,1,1:56
man,56,1,1:56
pair,56,2,"1:55,2:1"
remain,56,2,"1:55,2:1"
care,55,2,"1:54,2:1"
lip,55,1,1:55
pocket,55,2,"1:52,2:3"
return,55,2,"1:53,2:2"
shake,55,1,1:55
smile,55,2,"1:53,2:2"
live,54,2,"1:53,2:1"
lot,54,2,"1:53,2:1"
star,54,2,"1:53,2:1"
tree,54,1,1:54
white,54,1,1:54
far,53,2,"1:52,2:1"
meet,53,1,1:53
bag,52,1,1:52
bottle,52,2,"1:49,2:3"
call,52,2,"1:51,2:1"
gun,52,1,1:52
miss,52,1,1:52
mother,52,2,"1:51,2:1"
question,52,2,"1:51,2:1"
zoo,52,1,1:52
line,51,1,1:51
room,51,2,"1:50,2:1"
sleep,51,1,1:51
change,50,1,1:50
coriolanus,50,1,1:50
cover,50,1,1:50
hair,50,1,1:50
hall,50,1,1:50
hop,50,2,"1:48,2:2"
house,50,3,"1:48,2:1,6:1"
realize,50,2,"1:48,2:2"
speak,50,1,1:50
stage,50,2,"1:49,2:1"
weapon,50,1,1:50
allow,49,2,"1:47,2:2"
control,49,1,1:49
guess,49,1,1:49
jabberjay,49,1,1:49
remind,49,1,1:49
sandwich,49,1,1:49
school,49,2,"1:48,2:1"
screen,49,1,1:49
table,49,1,1:49
cross,48,2,"1:47,2:1"
guard,48,1,1:48
mockingjay,48,2,"1:47,2:1"
reaping,48,2,"1:47,6:1"
shoulder,48,1,1:48
throw,48,1,1:48
class,47,2,"1:44,2:3"
drone,47,1,1:47
feed,47,1,1:47
fill,47,1,1:47
half,47,1,1:47
heart,47,2,"1:45,2:2"
