word,total_count
sejanu,65
coriolanus,50
trident,16
coryo,14
posca,9
mentorship,8
morphling,8
morphle,6
communicuff,5
hoppity,5
peacekeeper,5
mandolin,4
standout,3
strabo,3
wovey,3
assignee,2
scraped,2
showboating,2
snakelet,2
titan,2
adieus,1
aforementione,1
anklet,1
arduously,1
backslapping,1
beribboned,1
blandest,1
broader,1
burlier,1
circ,1
citywide,1
clade,1
classy,1
cloddish,1
coaxing,1
comedic,1
commingle,1
concentrically,1
cowrote,1
deadpanne,1
debilitated,1
endangerment,1
facefirst,1
filly,1
footedness,1
frumpi,1
gelled,1
griminess,1
handoff,1
honeypot,1
insipidity,1
interactivity,1
ironfisted,1
irrefutably,1
jumpiness,1
lima,1
loaner,1
loofah,1
lovestruck,1
magnanimousness,1
makeover,1
mender,1
nitpick,1
nonpaye,1
outcharm,1
outmaneuvre,1
outspokenness,1
pa,1
personae,1
playbook,1
plebeian,1
pontius,1
pricy,1
reacting,1
reengage,1
renovating,1
restage,1
resuscitate,1
roamed,1
roguishness,1
romanticized,1
schoolwide,1
shined,1
showboate,1
showstoppe,1
showtime,1
sickliness,1
silverish,1
snarkiness,1
snarled,1
snippishly,1
soupbone,1
steeped,1
strategize,1
surreptiously,1
swatted,1
takeaway,1
tapper,1
therebefore,1
tremorous,1
trepasse,1
twinship,1
ultrarich,1
unarm,1
unauthorize,1
unescorted,1
unlikable,1
unorchestrated,1
unsheltered,1
unturned,1
upperclassman,1
verbalizing,1
volatility,1
