word,total_count,chapter_count,chapters
say,377,22,"1:2,2:23,3:8,4:15,5:13,6:33,7:31,8:21,9:15,10:17,11:12,12:14,13:10,14:16,15:28,16:21,17:21,18:20,19:20,20:20,21:13,22:4"
think,324,22,"1:8,2:17,3:10,4:18,5:16,6:20,7:20,8:21,9:16,10:6,11:14,12:24,13:15,14:20,15:7,16:20,17:17,18:7,19:15,20:17,21:8,22:8"
know,231,22,"1:6,2:14,3:11,4:13,5:11,6:10,7:15,8:15,9:12,10:10,11:9,12:9,13:8,14:8,15:12,16:10,17:9,18:12,19:11,20:9,21:11,22:6"
come,209,22,"1:4,2:16,3:5,4:13,5:7,6:20,7:7,8:14,9:9,10:5,11:7,12:9,13:8,14:7,15:18,16:9,17:9,18:11,19:6,20:13,21:3,22:9"
go,205,22,"1:4,2:10,3:5,4:13,5:11,6:15,7:15,8:9,9:11,10:8,11:9,12:6,13:8,14:14,15:2,16:9,17:10,18:13,19:6,20:8,21:6,22:13"
look,172,22,"1:2,2:19,3:6,4:4,5:12,6:12,7:5,8:5,9:7,10:9,11:7,12:11,13:12,14:9,15:14,16:6,17:7,18:7,19:5,20:7,21:2,22:4"
tell,168,22,"1:3,2:3,3:1,4:12,5:5,6:8,7:15,8:10,9:4,10:8,11:4,12:18,13:3,14:2,15:9,16:10,17:11,18:12,19:8,20:11,21:4,22:7"
feel,165,22,"1:3,2:10,3:14,4:9,5:17,6:9,7:13,8:11,9:5,10:8,11:8,12:5,13:7,14:5,15:10,16:3,17:3,18:5,19:3,20:9,21:3,22:5"
time,154,22,"1:8,2:9,3:2,4:13,5:8,6:9,7:13,8:9,9:6,10:3,11:6,12:7,13:7,14:10,15:4,16:6,17:5,18:5,19:5,20:2,21:3,22:14"
mother,146,20,"1:3,3:2,4:1,5:4,6:4,7:9,8:10,9:1,11:22,12:12,13:10,14:19,15:19,16:8,17:9,18:1,19:6,20:1,21:1,22:4"
white,142,20,"2:9,3:6,4:4,5:8,6:5,7:7,8:6,9:11,10:7,11:11,12:8,13:10,14:8,15:10,16:6,17:7,18:8,19:2,20:5,21:4"
woman,136,21,"1:7,2:2,3:4,4:2,5:3,6:1,7:16,8:15,9:1,10:5,11:5,12:7,13:6,14:6,15:12,16:8,18:13,19:17,20:3,21:1,22:2"
want,135,22,"1:1,2:8,3:6,4:9,5:4,6:5,7:6,8:13,9:8,10:10,11:7,12:4,13:3,14:11,15:6,16:2,17:7,18:4,19:8,20:5,21:2,22:6"
man,133,21,"1:1,2:21,4:2,5:7,6:14,7:14,8:23,9:2,10:5,11:1,12:1,13:4,14:2,15:7,16:1,17:3,18:4,19:7,20:7,21:3,22:4"
eye,124,21,"2:10,3:2,4:4,5:3,6:4,7:3,8:7,9:9,10:6,11:5,12:3,13:15,14:6,15:14,16:2,17:6,18:4,19:6,20:3,21:7,22:5"
face,120,20,"2:2,3:6,4:3,5:2,6:1,7:6,8:4,9:7,10:10,11:8,12:7,13:7,14:13,15:12,16:1,17:4,18:5,19:3,20:8,21:11"
room,120,21,"2:1,3:10,4:1,5:3,6:6,7:6,8:3,9:4,10:8,11:5,12:2,13:10,14:9,15:11,16:12,17:4,18:10,19:7,20:4,21:3,22:1"
nurse,116,12,"5:3,7:2,9:1,11:3,13:6,14:9,15:26,16:20,17:4,18:31,20:6,21:5"
way,116,21,"2:11,3:4,4:8,5:4,6:9,7:5,8:15,9:6,10:3,11:8,12:4,13:1,14:9,15:8,16:6,17:1,18:4,19:2,20:2,21:2,22:4"
people,111,22,"1:2,2:6,3:4,4:5,5:2,6:9,7:6,8:5,9:7,10:4,11:4,12:5,13:14,14:7,15:10,16:3,17:7,18:5,19:1,20:1,21:1,22:3"
hand,110,21,"2:4,3:3,4:1,5:8,6:6,7:3,8:6,9:8,10:10,11:6,12:9,13:8,14:14,15:10,16:2,17:3,18:2,19:1,20:4,21:1,22:1"
write,107,16,"1:9,2:1,4:8,5:5,6:2,7:3,8:5,9:3,10:3,11:13,12:4,14:1,16:3,17:3,21:3,22:41"
day,105,22,"1:5,2:1,3:3,4:8,5:11,6:8,7:5,8:8,9:8,10:2,11:3,12:10,13:2,14:6,15:1,16:1,17:8,18:1,19:2,20:2,21:3,22:7"
head,105,22,"1:2,2:3,3:5,4:3,5:11,6:3,7:6,8:3,9:2,10:4,11:9,12:4,13:5,14:9,15:13,16:2,17:2,18:2,19:5,20:5,21:3,22:4"
sit,104,20,"2:6,3:4,4:8,5:2,6:6,7:3,8:10,9:5,10:5,11:7,12:1,13:12,14:4,15:8,16:10,17:2,18:4,19:3,20:3,21:1"
door,103,19,"2:3,3:9,4:2,5:11,6:3,7:1,9:5,10:5,11:6,12:6,13:7,14:5,15:4,16:10,17:1,18:7,19:7,20:8,21:3"
