word,total_count
elly,7
sanatorium,6
rd,5
dybbuk,4
balalaika,3
boomp,3
larkspur,3
blurb,2
dirndl,2
factitious,2
fingerbowl,2
fusty,2
garnet,2
marzipan,2
pureness,2
sari,2
screak,2
showerproofe,2
swanboat,2
tarty,2
telegramme,2
villanelle,2
wavelet,2
alumna,1
assy,1
asterisk,1
astronomic,1
backcloth,1
backshower,1
beachcoat,1
bedjacket,1
bedpost,1
benefactress,1
blackbottom,1
bloomsday,1
cabdriver,1
cado,1
celestially,1
chickeny,1
chockfull,1
citify,1
clonke,1
coe,1
commodius,1
corning,1
corrasable,1
cradling,1
d'hotel,1
dallying,1
decimal,1
deflower,1
dewdrop,1
dinted,1
dodo,1
doubleness,1
drumtight,1
earbone,1
editorship,1
enlarged,1
evelyn,1
flabbily,1
fruitfly,1
furpiece,1
glarey,1
glassily,1
goggly,1
groundsman,1
hatmaker,1
hermyopic,1
hobnob,1
hula,1
insentient,1
isoscele,1
it's,1
jacketed,1
jodhpur,1
lifebuoy,1
lirnbs,1
loafs,1
lorn,1
lumpish,1
meaningly,1
milly,1
mingy,1
mistshroude,1
moonbrain,1
morphia,1
mountaine,1
mulishness,1
mushroomy,1
napkill,1
naughtiness,1
niland,1
ninepin,1
nobody'll,1
nuit,1
obliged,1
offrush,1
ognized,1
openmouthed,1
overstewe,1
pigeony,1
pinepaneled,1
placecard,1
placemat,1
plath,1
polkadotte,1
ponde,1
priestlike,1
psychotherapist,1
puppetlike,1
purged,1
queerer,1
readdresse,1
recirculation,1
redbloode,1
retaining,1
riverrun,1
scallopy,1
scatty,1
schoolmarmish,1
scrunty,1
sendoff,1
slingback,1
snowmaiden,1
spinsterish,1
squeezer,1
stargazer,1
stickily,1
stocked,1
swampland,1
swanny,1
swl,1
swot,1
tangoe,1
tentmaker,1
thunderbird,1
tomblike,1
toweling,1
trolleybus,1
tulle,1
unconscionable,1
undepresse,1
uneclipsed,1
uninspire,1
unmaternal,1
unvarnished,1
upborne,1
vamoose,1
veining,1
veld,1
vichyssoise,1
vicus,1
whatall,1
yalie,1
yeat,1
zigzagger,1
