word,total_count,chapter_count,chapters
know,458,5,"2:4,3:100,4:169,5:127,6:58"
say,447,4,"3:117,4:163,5:119,6:48"
look,369,5,"2:1,3:108,4:129,5:76,6:55"
come,343,6,"2:3,3:76,4:109,5:107,6:47,7:1"
go,283,5,"2:1,3:73,4:70,5:105,6:34"
get,271,5,"3:61,4:77,5:86,6:46,7:1"
think,262,5,"2:2,3:74,4:85,5:72,6:29"
tell,244,5,"3:66,4:70,5:78,6:28,7:2"
time,236,5,"2:3,3:59,4:79,5:65,6:30"
want,222,5,"2:1,3:50,4:73,5:77,6:21"
man,219,4,"3:58,4:82,5:59,6:20"
thing,218,5,"2:1,3:49,4:58,5:66,6:44"
way,215,5,"2:3,3:56,4:83,5:49,6:24"
see,208,5,"3:72,4:51,5:44,6:40,7:1"
woman,203,5,"2:4,3:52,4:63,5:39,6:45"
hand,202,5,"2:1,3:41,4:95,5:35,6:30"
house,195,5,"2:11,3:51,4:54,5:42,6:37"
take,189,4,"3:55,4:52,5:51,6:31"
eye,183,4,"3:55,4:66,5:29,6:33"
face,181,4,"3:40,4:56,5:64,6:21"
right,176,6,"1:1,3:46,4:47,5:54,6:27,7:1"
day,173,5,"2:4,3:47,4:53,5:39,6:30"
leave,171,5,"2:1,3:49,4:48,5:40,6:33"
hear,160,5,"2:2,3:27,4:58,5:46,6:27"
head,159,4,"3:38,4:69,5:36,6:16"
little,159,5,"2:1,3:47,4:50,5:36,6:25"
child,155,5,"2:3,3:37,4:52,5:38,6:25"
place,151,6,"2:3,3:43,4:49,5:33,6:22,7:1"
away,149,5,"2:1,3:45,4:42,5:43,6:18"
hold,149,5,"3:46,4:55,5:28,6:19,7:1"
girl,146,5,"2:1,3:44,4:54,5:24,6:23"
sit,134,5,"2:2,3:42,4:42,5:23,6:25"
baby,131,4,"3:33,4:73,5:15,6:10"
feel,131,6,"2:2,3:43,4:46,5:24,6:15,7:1"
work,131,6,"2:3,3:36,4:37,5:35,6:19,7:1"
love,130,4,"3:20,4:68,5:27,6:15"
mother,129,5,"2:1,3:41,4:35,5:18,6:34"
year,124,4,"3:46,4:34,5:31,6:13"
need,123,5,"2:1,3:22,4:36,5:45,6:19"
good,121,5,"2:1,3:26,4:44,5:28,6:22"
long,121,4,"3:41,4:36,5:28,6:16"
let,112,5,"2:1,3:19,4:45,5:34,6:13"
ask,111,4,"3:39,4:42,5:22,6:8"
foot,111,4,"3:33,4:52,5:13,6:13"
walk,111,5,"2:1,3:38,4:34,5:19,6:19"
