word,total_count
sethe,47
sixo,28
whiteman,21
whitepeople,14
whitewoman,10
coloredpeople,8
rememory,8
coloredwoman,7
chokecherry,5
chamomile,4
headcloth,4
whiteboy,4
clok,3
pateroller,3
slavewoman,3
stovefire,3
whitebabie,3
blackman,2
bluefern,2
butternut,2
coloredgirl,2
coloredman,2
debtlessness,2
easeful,2
flatiron,2
lisle,2
overbeat,2
peachstone,2
slavegirl,2
uncalled,2
unpicked,2
upfront,2
antislavery,1
backtalk,1
banjos,1
bellied,1
blackboy,1
blackwoman,1
bloodspill,1
busyness,1
cartoonist,1
chickpea,1
clearer,1
cobbling,1
coloredfolk,1
combing,1
cracklight,1
crouching,1
definer,1
disbelievable,1
disremembered,1
dreamwalker,1
dropsy,1
engraver,1
eventfulness,1
feetless,1
fingerful,1
floated,1
gloam,1
glorybound,1
groundlife,1
handclappe,1
houseplay,1
hurter,1
inheriting,1
ironsmith,1
ironwood,1
jackweed,1
junkheape,1
kettleful,1
kneeler,1
laugher,1
leafcovere,1
least,1
litty,1
ma'ammie,1
ma'ammy,1
mealcake,1
meltable,1
merrymaker,1
mishandling,1
motherlove,1
mudhole,1
neighborliness,1
number'll,1
overfeed,1
oxtail,1
pathless,1
petlike,1
pillowslip,1
plash,1
pon,1
raggediest,1
rainsoaked,1
reassume,1
rebraid,1
redbud,1
reeducate,1
rememorie,1
resettlement,1
resisted,1
riled,1
riverman,1
roaster,1
rubbed,1
salsify,1
shucking,1
simmering,1
sister's,1
snatched,1
snowdrop,1
stairstep,1
stamen,1
sth,1
stonecutter,1
stroppin,1
strutted,1
sulked,1
sunshot,1
tenderhearted,1
toolhouse,1
toolroom,1
tougher,1
unanointed,1
uncaught,1
uncautious,1
unchiseled,1
undercooke,1
undreamable,1
uninquisitive,1
unleashed,1
unmentioned,1
unnavigable,1
unnoosed,1
unpinned,1
unrobed,1
unslaved,1
vashti,1
watchless,1
william,1
wore,1
