word,total_count,chapter_count,chapters
man,764,24,"1:3,2:42,3:30,4:47,5:49,6:29,7:60,8:31,9:1,10:35,11:38,12:33,13:48,14:38,15:13,16:6,17:39,19:30,20:46,21:27,22:6,23:12,24:67,25:34"
look,509,23,"1:1,2:22,3:23,4:9,5:29,6:16,7:37,8:21,10:26,11:14,12:5,13:12,14:26,15:17,16:42,17:14,19:36,20:43,21:27,22:4,23:39,24:32,25:14"
say,449,24,"1:1,2:30,3:23,4:28,5:25,6:7,7:47,8:13,10:10,11:10,12:6,13:23,14:28,15:7,16:31,17:18,18:1,19:14,20:23,21:12,22:7,23:29,24:36,25:20"
horse,439,22,"2:2,3:15,4:13,5:2,6:34,7:34,8:6,10:46,11:53,12:29,13:20,14:16,15:5,16:22,17:11,19:48,20:19,21:25,22:6,23:17,24:7,25:9"
judge,437,19,"1:1,3:43,4:34,5:7,6:15,7:44,8:2,10:29,11:16,13:27,15:19,16:54,17:11,19:14,20:28,21:39,22:5,24:29,25:20"
stand,343,23,"1:4,2:17,3:3,4:9,5:19,6:23,7:18,8:6,10:27,11:17,12:5,13:8,14:13,15:10,16:16,17:19,19:31,20:21,21:15,22:4,23:14,24:30,25:14"
kid,328,20,"1:2,2:33,3:15,4:1,5:37,6:2,8:6,10:6,11:9,12:3,14:23,15:26,16:55,17:2,19:32,20:11,21:1,22:7,23:49,25:8"
come,314,23,"1:1,2:17,3:17,4:8,5:18,6:13,7:9,8:8,10:9,11:7,12:15,13:18,14:13,15:5,16:29,17:15,19:26,20:11,21:9,22:7,23:28,24:11,25:20"
ride,314,22,"1:2,2:1,3:12,4:23,5:2,6:24,7:21,8:11,10:29,11:34,12:23,13:19,14:8,16:5,17:13,19:28,20:17,21:23,22:5,23:8,24:5,25:1"
turn,289,23,"1:4,2:15,3:11,4:11,5:12,6:7,7:11,8:8,10:19,11:20,12:5,13:8,14:9,15:8,16:13,17:12,19:23,20:29,21:22,22:1,23:18,24:15,25:8"
hand,270,23,"1:3,2:11,3:12,4:16,5:9,6:7,7:14,8:10,10:9,11:6,12:14,13:7,14:9,15:7,16:17,17:17,19:11,20:34,21:14,22:7,23:15,24:15,25:6"
go,262,23,"1:2,2:22,3:13,4:6,5:16,6:7,7:7,8:11,10:8,11:8,12:6,13:11,14:7,15:12,16:16,17:12,19:24,20:7,21:14,22:4,23:25,24:18,25:6"
old,250,23,"1:1,2:34,3:5,4:11,5:2,6:15,7:10,8:10,10:9,11:8,12:10,13:34,14:12,16:4,17:6,18:1,19:3,20:17,21:18,22:6,23:15,24:15,25:4"
sit,246,23,"1:1,2:11,3:5,4:12,5:9,6:12,7:20,8:11,10:9,11:14,12:5,13:10,14:8,15:10,16:18,17:10,19:22,20:9,21:9,22:4,23:24,24:7,25:6"
watch,245,23,"1:2,2:9,3:13,4:18,5:14,6:7,7:8,8:5,10:8,11:6,12:6,13:7,14:4,15:16,16:27,17:10,19:18,20:17,21:7,22:7,23:14,24:13,25:9"
fire,238,23,"1:5,2:7,3:16,4:19,5:3,6:15,7:6,8:11,9:2,10:18,11:21,12:10,13:15,14:3,16:9,17:7,19:16,20:20,21:15,22:1,23:7,24:10,25:2"
take,229,23,"1:3,2:12,3:10,4:1,5:3,6:3,7:10,8:8,10:12,11:12,12:2,13:14,14:7,15:4,16:12,17:18,19:16,20:22,21:12,22:10,23:11,24:18,25:9"
head,217,22,"2:13,3:5,4:4,5:10,6:13,7:18,8:4,10:16,11:22,12:8,13:4,14:16,15:4,16:11,17:10,19:9,20:11,21:8,22:6,23:11,24:7,25:7"
