word,total_count
expri,67
expriest,14
alcalde,12
farrier,11
harnessmaker,10
singlefile,9
presidio,8
scapular,8
dragoon,6
drover,6
esker,6
playa,6
wagonsheet,6
wickiup,6
argonaut,5
cigarillo,5
everthe,5
packanimal,5
remuda,5
sacristy,5
todo,5
arrowshaft,4
azotea,4
burnedout,4
cantle,4
carreta,4
conducta,4
cout,4
hacienda,4
injin,4
ocotillo,4
packmule,4
pistolball,4
powderflask,4
scalphunter,4
slank,4
snakebit,4
trouserleg,4
anchorite,3
bonestrewn,3
bowieknife,3
butcherpaper,3
caballado,3
caldera,3
cibolero,3
cuartel,3
enshadowe,3
everthing,3
halfcock,3
hospice,3
jacal,3
jefe,3
lobo,3
meatcamp,3
muleteer,3
musketball,3
nitre,3
portmanteau,3
quirte,3
rifleball,3
sangre,3
serape,3
sotol,3
sutler,3
tailing,3
talus,3
tierra,3
unreckonable,3
unshod,3
vidette,3
vigas,3
acequias,2
aguardiente,2
almagre,2
apache,2
apishamore,2
arcature,2
archer,2
arriero,2
augere,2
axletree,2
balden,2
bandylegge,2
basketry,2
benchland,2
benjamin,2
blanketroll,2
bloodslaked,2
blueblack,2
bonepicker,2
bowieknive,2
broached,2
carroza,2
cinderland,2
culdesac,2
dancehall,2
dramhouse,2
dunnage,2
eartrumpet,2
eatinghouse,2
enfilade,2
equipage,2
estancia,2
fairybook,2
fandango,2
fiveshot,2
fletching,2
foller,2
footlamp,2
forestock,2
freightwagon,2
gaunte,2
girthstrap,2
goldseeker,2
groundsloth,2
gunblack,2
halfgrown,2
halfnake,2
harpist,2
jornada,2
laggard,2
latin,2
limegreen,2
longbarreled,2
malpais,2
meatscrap,2
mogul,2
monte,2
muerto,2
packsaddle,2
palmilla,2
pissin,2
pistolbarrel,2
pistolfire,2
pitchtent,2
pizzle,2
ponderable,2
pricklypear,2
priming,2
puede,2
quarterwise,2
rawlooke,2
revetment,2
riflesmoke,2
rimland,2
riverbottom,2
sandhill,2
seabeast,2
selvage,2
shotpouch,2
silica,2
silvermounte,2
snaredrum,2
someway,2
stoneage,2
suzerain,2
tailorwise,2
tapadero,2
thowe,2
tidepool,2
tyrolean,2
vece,2
viene,2
warclub,2
warparty,2
watchfire,2
wayplace,2
whinstone,2
wildlooke,2
withy,2
woundedly,2
accountin,1
accoutre,1
accruing,1
acequia,1
adivinar,1
affray,1
afterclap,1
afterguard,1
agoggle,1
ahorcado,1
alameda,1
alchemic,1
almas,1
aloll,1
alparejas,1
alpenstock,1
altarstone,1
ambercolore,1
ambuscado,1
amigable,1
amigo,1
anothern,1
anticline,1
antiwarrior,1
archimandrite,1
arguable,1
articulating,1
ascendin,1
asquint,1
attainder,1
augury,1
awap,1
azimuth,1
bagnio,1
bajada,1
baldheaded,1
baldric,1
balesome,1
bandera,1
bandsman,1
barbaro,1
barlatch,1
bartop,1
bathless,1
beanpod,1
beclamore,1
bedight,1
bedlamite,1
bedrape,1
beefrib,1
befrighte,1
beggarly,1
beggary,1
beldam,1
beltknife,1
benchvise,1
benight,1
bepopulate,1
beriddle,1
berserker,1
bespoken,1
bipod,1
bistre,1
bitring,1
blackhaire,1
blackie,1
bladebone,1
bloodbat,1
bloodbeat,1
bloodied,1
bloodland,1
bloodloss,1
bloodoath,1
bloodstiffene,1
bluely,1
boardlike,1
bobtail,1
boleta,1
boneflute,1
bonetaile,1
bootsole,1
botanize,1
bradde,1
brandyglasse,1
brassheade,1
breechclout,1
broadbrimme,1
bruit,1
buckbrush,1
bucklere,1
bufone,1
bullmeat,1
bullwhacker,1
burin,1
bursar,1
buskin,1
cabildo,1
caesura,1
calabozo,1
calcined,1
calzone,1
candlestand,1
candlewick,1
cantonment,1
capbox,1
capper,1
carbonize,1
carboy,1
cartbed,1
cartouche,1
cassinette,1
catafalque,1
catclaw,1
causality,1
cautionin,1
cavefolk,1
celebrant,1
centroid,1
chairleg,1
chamfering,1
chancel,1
charivari,1
checkpiece,1
cheekpiece,1
chimeric,1
chippin,1
chittered,1
chorine,1
chowdog,1
chromo,1
churchdome,1
churchspire,1
churlishlooke,1
ciborium,1
clackdish,1
clamoring,1
clangorous,1
claycolored,1
claytiled,1
claywalled,1
clearwater,1
closenapped,1
coalblack,1
coastwise,1
coffeebean,1
cognizance,1
coldforger,1
coneshape,1
congruence,1
conifer,1
conquistador,1
conversin,1
cooperage,1
copa,1
coping,1
copperbacked,1
corbel,1
cornetist,1
cornetplayer,1
coulee,1
countrypeople,1
cranefeather,1
crateboard,1
crazedlooking,1
crazylookin,1
creekwater,1
crenellate,1
cresset,1
crossin,1
crossriver,1
croupier,1
damnata,1
dap,1
darkeye,1
darkeyed,1
dawnstar,1
deadlylooke,1
deadman,1
deathbell,1
deathcama,1
deathcart,1
deathshead,1
debarkee,1
debauched,1
debouch,1
decoct,1
delaware,1
demiculverin,1
demurrer,1
denizenry,1
depopulated,1
desolatelooke,1
despoblada,1
devonian,1
dewsoake,1
dicit,1
diptheria,1
disenfranchisement,1
dishclout,1
dismounting,1
doctorfy,1
dogtown,1
dogvendor,1
dogyard,1
dolmen,1
dosshouse,1
doublerifle,1
downcoast,1
dragmark,1
draintile,1
dram,1
driftlog,1
drygulch,1
duda,1
duledge,1
dullwitte,1
duneland,1
durance,1
dustspout,1
dutchland,1
dutchman,1
eitherhande,1
eldress,1
elision,1
elongation,1
emplane,1
encargo,1
endarkene,1
endarkenment,1
enhearse,1
enshadowed,1
escapement,1
escucharme,1
euchere,1
everwhere,1
extemporary,1
eyelevel,1
eyeshield,1
falconer,1
falstaffian,1
fard,1
farriery,1
fatuus,1
feinted,1
felloe,1
fen,1
ferrylanding,1
fingerbone,1
finial,1
fireblacked,1
fishcolore,1
fistsize,1
fistula,1
flappin,1
flatboat,1
flatcrowne,1
flatcrowned,1
flatwise,1
fled,1
flensed,1
flintknapping,1
flintspark,1
flintstriking,1
floodstained,1
fluepipe,1
flyspecked,1
folktune,1
fontanel,1
footguard,1
footpiece,1
foragin,1
forcing,1
forename,1
foreplain,1
foreplate,1
forgefire,1
fraily,1
framestrap,1
freeflowe,1
freemason,1
freightboxe,1
freightdeck,1
frizzen,1
frockless,1
fruitseed,1
fulgurite,1
furthern,1
gaitere,1
galena,1
galery,1
galleried,1
gamechicken,1
gamecock,1
gametrail,1
gamewagon,1
gaminghouse,1
gamingroom,1
gapin,1
garraffa,1
gastine,1
gazin,1
gibbous,1
girthring,1
girthstraps,1
glace,1
glanton,1
goatbone,1
goathorn,1
godfire,1
godforsook,1
godserver,1
goldtoothe,1
grama,1
granulation,1
grapeshot,1
graylooking,1
grayly,1
greasewood,1
greenriver,1
grindin,1
grogshop,1
groundbird,1
groundsel,1
groutless,1
guarangoddamntee,1
guaranteed,1
guisado,1
