word,total_count,chapter_count,chapters
say,652,38,"6:7,8:13,10:15,12:27,14:64,16:2,18:3,20:4,22:39,24:10,26:4,28:2,30:6,32:10,34:5,36:4,38:7,40:17,42:4,44:6,46:12,48:6,50:14,52:5,54:6,56:3,58:7,60:3,64:20,66:38,68:49,70:23,72:28,74:66,76:16,78:35,80:67,82:5"
look,472,39,"6:4,8:5,10:19,12:14,14:14,16:3,18:10,20:10,22:10,24:14,26:14,28:20,30:22,32:46,34:16,36:11,38:22,40:17,42:5,44:21,46:17,48:9,50:5,52:14,54:13,56:9,58:13,60:9,62:8,64:3,66:6,68:11,70:5,72:3,74:15,76:4,78:8,80:20,82:3"
know,423,39,"6:9,8:10,10:16,12:13,14:25,16:8,18:12,20:9,22:15,24:10,26:11,28:6,30:13,32:26,34:6,36:10,38:23,40:7,42:4,44:9,46:6,48:9,50:8,52:13,54:4,56:10,58:18,60:11,62:2,64:6,66:10,68:11,70:3,72:5,74:19,76:9,78:12,80:15,82:10"
go,406,39,"6:6,8:2,10:8,12:11,14:17,16:8,18:11,20:8,22:6,24:18,26:16,28:7,30:25,32:32,34:15,36:7,38:14,40:12,42:5,44:13,46:9,48:6,50:7,52:10,54:6,56:12,58:19,60:15,62:5,64:4,66:6,68:5,70:7,72:9,74:15,76:7,78:7,80:12,82:4"
think,399,38,"6:1,8:14,10:9,12:7,14:15,16:4,18:20,20:12,22:10,24:13,26:12,28:9,30:19,32:25,34:14,36:12,38:13,40:10,42:6,44:7,46:4,48:8,50:6,52:14,54:7,56:9,58:16,60:5,62:3,64:8,66:5,68:6,72:10,74:21,76:5,78:14,80:16,82:10"
thing,347,39,"6:8,8:11,10:17,12:10,14:8,16:3,18:11,20:16,22:6,24:8,26:5,28:6,30:20,32:34,34:3,36:7,38:10,40:19,42:6,44:11,46:10,48:5,50:5,52:11,54:4,56:4,58:9,60:7,62:6,64:2,66:4,68:12,70:1,72:4,74:9,76:4,78:8,80:13,82:10"
come,281,39,"6:3,8:6,10:1,12:8,14:10,16:2,18:8,20:8,22:16,24:7,26:1,28:8,30:10,32:16,34:9,36:6,38:11,40:5,42:4,44:9,46:5,48:3,50:7,52:5,54:3,56:7,58:11,60:11,62:1,64:8,66:6,68:7,70:3,72:1,74:13,76:13,78:8,80:15,82:6"
see,249,35,"6:2,8:13,10:5,12:10,14:10,16:8,18:12,20:7,22:4,24:7,26:9,28:10,30:7,32:23,34:4,36:7,38:24,40:11,42:7,44:7,46:3,50:4,52:5,54:2,56:2,58:13,62:8,64:1,66:1,68:1,72:2,74:3,76:8,78:2,80:7"
time,245,37,"6:1,8:9,10:10,12:8,14:9,16:1,18:13,20:7,22:9,24:5,26:2,28:5,30:12,32:27,34:8,36:6,38:12,40:7,42:4,44:8,46:5,48:10,50:2,52:2,54:3,56:9,58:7,60:6,62:5,64:6,66:3,68:2,72:1,74:7,78:5,80:5,82:4"
way,243,39,"6:5,8:7,10:5,12:5,14:10,16:1,18:7,20:12,22:5,24:12,26:5,28:5,30:10,32:24,34:5,36:2,38:14,40:4,42:6,44:10,46:5,48:4,50:2,52:13,54:1,56:5,58:9,60:2,62:2,64:3,66:2,68:5,70:3,72:2,74:14,76:4,78:3,80:8,82:2"
