word,total_count,chapter_count,chapters
say,346,22,"5:16,6:11,7:46,8:10,9:11,10:7,11:6,12:16,13:8,14:10,15:10,16:42,17:5,18:8,19:20,20:23,21:15,22:10,23:15,24:16,25:22,26:19"
man,183,21,"5:9,6:1,7:20,8:1,9:12,10:2,11:4,12:2,13:2,15:33,16:34,17:1,18:3,19:10,20:3,21:4,22:1,23:8,24:7,25:15,26:11"
come,159,22,"5:3,6:7,7:5,8:5,9:7,10:2,11:12,12:1,13:2,14:5,15:22,16:19,17:2,18:6,19:6,20:17,21:1,22:5,23:11,24:1,25:6,26:14"
go,155,22,"5:6,6:4,7:14,8:5,9:4,10:2,11:6,12:8,13:8,14:5,15:14,16:19,17:4,18:4,19:13,20:2,21:9,22:1,23:7,24:9,25:3,26:8"
look,142,21,"5:1,7:11,8:11,9:5,10:2,11:5,12:7,13:5,14:2,15:14,16:14,17:5,18:4,19:11,20:4,21:4,22:15,23:5,24:6,25:2,26:9"
time,137,23,"4:2,5:7,6:7,7:15,8:4,9:2,10:5,11:8,12:6,13:1,14:5,15:9,16:13,17:3,18:1,19:14,20:9,21:1,22:4,23:4,24:4,25:5,26:8"
face,126,22,"4:2,5:1,6:1,7:5,8:6,9:2,11:3,12:3,13:4,14:3,15:20,16:10,17:2,18:8,19:5,20:8,21:7,22:19,23:3,24:4,25:1,26:9"
hand,124,21,"5:6,6:7,7:7,8:2,9:1,10:1,11:9,12:2,13:1,15:12,16:16,17:13,18:4,19:5,20:3,21:9,22:7,23:4,24:5,25:2,26:8"
know,124,24,"2:1,3:1,5:4,6:5,7:9,8:1,9:6,10:4,11:1,12:8,13:2,14:4,15:9,16:16,17:1,18:7,19:5,20:15,21:6,22:4,23:3,24:4,25:3,26:5"
think,123,21,"6:1,7:17,8:3,9:3,10:1,11:4,12:11,13:4,14:2,15:6,16:7,17:5,18:1,19:17,20:13,21:4,22:2,23:4,24:5,25:7,26:6"
eye,117,22,"5:6,6:1,7:5,8:5,9:3,10:2,11:6,12:3,13:4,14:3,15:11,16:8,17:7,18:3,19:9,20:4,21:8,22:14,23:6,24:1,25:2,26:6"
