word,total_count,chapter_count,chapters
say,423,10,"2:56,3:49,4:81,5:59,6:9,7:58,8:77,9:6,10:20,11:8"
know,333,11,"1:10,2:48,3:41,4:91,5:38,6:3,7:48,8:39,9:5,10:7,11:3"
girl,272,12,"1:2,2:58,3:14,4:100,5:31,6:2,7:32,8:22,9:2,10:3,11:5,12:1"
day,258,11,"1:4,2:37,3:26,4:72,5:24,6:4,7:45,8:29,9:2,10:4,11:11"
time,249,11,"0:1,1:2,2:39,3:23,4:53,5:24,6:5,7:38,8:48,10:8,11:8"
go,220,11,"1:3,2:25,3:34,4:47,5:35,6:5,7:31,8:29,9:1,10:7,11:3"
mother,186,11,"0:1,1:1,2:35,3:42,4:20,5:14,6:14,7:19,8:32,10:1,11:7"
want,183,12,"0:1,1:2,2:13,3:26,4:54,5:23,6:9,7:26,8:19,9:2,10:6,11:2"
look,179,10,"2:34,3:31,4:22,5:21,6:4,7:28,8:28,9:1,10:6,11:4"
think,172,11,"1:4,2:23,3:19,4:49,5:28,6:10,7:9,8:23,9:1,10:2,11:4"
tell,167,11,"1:1,2:13,3:29,4:37,5:16,6:6,7:20,8:29,9:2,10:10,11:4"
try,167,11,"1:1,2:13,3:13,4:30,5:32,6:8,7:26,8:33,9:2,10:8,11:1"
get,161,11,"1:3,2:37,3:13,4:15,5:30,6:3,7:20,8:26,9:1,10:9,11:4"
year,156,10,"2:22,3:8,4:30,5:23,6:1,7:36,8:25,10:1,11:9,12:1"
life,148,12,"0:1,1:5,2:16,3:16,4:43,5:16,6:4,7:17,8:23,9:1,10:2,11:4"
love,143,11,"0:2,1:2,2:31,3:6,4:41,5:10,6:5,7:11,8:23,10:11,12:1"
come,141,11,"1:5,2:16,3:18,4:38,5:16,6:3,7:18,8:17,9:2,10:5,11:3"
see,133,9,"2:12,3:15,4:21,5:29,6:5,7:16,8:28,9:2,10:5"
house,129,9,"2:18,3:13,4:36,5:4,6:2,7:25,8:23,10:4,11:4"
hand,126,9,"2:22,3:16,4:40,5:16,6:3,7:15,8:11,10:2,11:1"
talk,122,11,"1:3,2:17,3:7,4:30,5:15,6:2,7:21,8:19,9:2,10:1,11:5"
end,121,11,"1:1,2:15,3:6,4:40,5:16,6:5,7:19,8:9,10:1,11:8,12:1"
family,118,11,"0:2,1:4,2:19,3:5,4:23,5:2,6:1,7:48,8:10,10:2,11:2"
head,118,9,"1:2,2:20,3:6,4:30,5:15,6:1,7:18,8:23,10:3"
long,118,11,"0:1,1:3,2:19,3:12,4:27,5:13,6:1,7:13,8:20,10:4,11:5"
night,115,10,"1:2,2:9,3:9,4:33,5:14,7:24,8:15,9:1,10:3,11:5"
thing,113,12,"0:1,1:2,2:12,3:20,4:22,5:14,6:2,7:15,8:11,9:1,10:6,11:7"
eye,111,9,"2:14,3:7,4:31,5:11,6:2,7:18,8:22,10:1,11:5"
man,110,11,"1:5,2:11,3:3,4:46,5:1,6:3,7:19,8:14,9:1,10:4,11:3"
good,109,11,"0:1,1:2,2:12,3:4,4:30,5:16,6:4,7:20,8:9,10:4,11:7"
world,106,11,"0:1,1:5,2:14,3:4,4:43,5:4,7:18,8:12,9:1,10:2,11:2"
ask,103,10,"1:2,2:15,3:9,4:24,5:16,6:3,7:18,8:12,9:1,11:3"
daughter,101,7,"1:1,2:3,3:9,4:22,6:3,7:56,11:7"
