word,total_count
abuela,10
clive,7
campos,6
colmado,6
dominicano,6
goth,6
morena,6
muchacha,6
novela,6
parque,6
prieta,6
diablo,5
sci,5
argentino,4
batey,4
culo,4
fuera,4
gordo,4
guagua,4
hijo,4
moreno,4
pelear,4
perrito,4
playboy,4
taxista,4
tertulia,4
abuelo,3
bruto,3
cabana,3
chabine,3
ciguapa,3
comunista,3
cuero,3
diss,3
fea,3
guapo,3
jiringonza,3
kleptocracy,3
magis,3
merengue,3
motele,3
negrita,3
palomo,3
pujol,3
pulchritude,3
rector,3
supermercado,3
zafa,3
abc,2
academically,2
ajustamiento,2
alegre,2
amor,2
anciano,2
anime,2
azabache,2
bailey,2
balrog,2
belleza,2
blanca,2
blanco,2
braceros,2
bribing,2
bruja,2
bruta,2
buenmoso,2
cabral,2
cacique,2
cagan,2
calamitie,2
camarada,2
campesina,2
carajito,2
caudillo,2
chancleta,2
chileno,2
chooch,2
colmadero,2
copacetic,2
cubano,2
cuco,2
culocrat,2
democratically,2
dissolutely,2
doctora,2
dominatrix,2
dominicana,2
dorme,2
finca,2
flaquita,2
fulano,2
godparent,2
guapos,2
guaraguao,2
haitiano,2
hamaca,2
hirieron,2
historiography,2
homegirl,2
humerus,2
idiota,2
infelice,2
ladroncitos,2
loca,2
marks,2
mejor,2
muchachita,2
muchacho,2
muda,2
mulata,2
mulato,2
neologism,2
nerdboy,2
nerdery,2
nerdiness,2
nerdly,2
optation,2
ossa,2
parietal,2
patria,2
pendeja,2
perejil,2
perejile,2
personaje,2
phitano,2
primavera,2
puertorican,2
querido,2
ripio,2
rubi,2
sapos,2
scromfe,2
sindicato,2
squabbler,2
squade,2
sucio,2
supernerd,2
tellingly,2
tener,2
tertulias,2
teta,2
una,2
ven,2
venientibus,2
viejos,2
whitekid,2
whiteskinned,2
wrenchingly,2
yola,2
abrazo,1
acabar,1
acabaron,1
acerbically,1
achiote,1
aerobics,1
aftershave,1
ahijado,1
alguien,1
alta,1
ameliorative,1
americanized,1
americano,1
americanus,1
annexationatist,1
anoche,1
aparato,1
app,1
appleseed,1
arroz,1
asqueroso,1
assiduity,1
assignation,1
atlas,1
atomically,1
awilda,1
axillary,1
azaroso,1
bacalao,1
bachata,1
bachatero,1
backfield,1
badmash,1
bailarina,1
bata,1
bebe,1
belaco,1
bembe,1
bendiga,1
bendito,1
berber,1
biblio,1
biscocho,1
bochinche,1
bonewall,1
bootie,1
boricua,1
bracero,1
bras,1
brokeness,1
burbuja,1
buzzardy,1
cadena,1
caldo,1
calie,1
cancione,1
capaz,1
capitaleno,1
capsulization,1
cara,1
caracaracol,1
carouse,1
casa,1
catastrophist,1
cattleprod,1
cavitate,1
certainy,1
chacabana,1
chacabanas,1
chancla,1
chesty,1
chickenbone,1
chinstrap,1
ciego,1
clackclack,1
clase,1
closeset,1
cobrador,1
cochino,1
cocolo,1
cogerlo,1
colonias,1
comehuevo,1
comparona,1
concho,1
confab,1
conjunto,1
convo,1
coraje,1
cristiano,1
crushing,1
cubana,1
cudass,1
cuerno,1
cuerpazo,1
cuidate,1
culocracy,1
culto,1
curlie,1
dalit,1
darkskinned,1
declension,1
delicto,1
democracia,1
democratization,1
denying,1
deprecation,1
desgraciado,1
diabla,1
diablura,1
dietician,1
diosa,1
dique,1
disse,1
disseminator,1
distrusting,1
domingo,1
dominicanos,1
doomish,1
dorki,1
draconian,1
dreamshit,1
drived,1
drolly,1
ds,1
dunkin,1
dyad,1
ectomorphic,1
elegante,1
elsewhere,1
enamorao,1
encendida,1
epidural,1
esponja,1
esque,1
esto,1
ethnographer,1
exigente,1
existe,1
fakie,1
fanboy,1
fem,1
feminino,1
fielder,1
fingerfucke,1
flacas,1
flagrante,1
flyest,1
foiled,1
forties,1
frangipani,1
freakery,1
freestyle,1
fuckage,1
fuego,1
fuerte,1
fundamentalism,1
gaijin,1
galletazo,1
gangbange,1
gank,1
gea,1
glumness,1
gobbledygook,1
goddaughter,1
gordita,1
gorditas,1
grande,1
greca,1
grimoire,1
gringa,1
guaguas,1
habichuela,1
hambre,1
handbasket,1
hardnosed,1
helado,1
hematoma,1
hermana,1
hermanita,1
hiphop,1
homeliness,1
homoerotic,1
horribleness,1
hungering,1
hypeman,1
hypermaleness,1
ideologue,1
ig,1
imaginate,1
imbecilic,1
implausibly,1
infierno,1
ingenio,1
innocuousness,1
inspired,1
intellivision,1
itude,1
jacaranda,1
jobless,1
joda,1
jojote,1
joked,1
jueguito,1
kali,1
kebabbe,1
kneader,1
kneading,1
kongo,1
koona,1
korean,1
ladronazo,1
lambesaco,1
lana,1
lapidary,1
lawyere,1
lesbiana,1
lingam,1
litle,1
locution,1
louche,1
loverboy,1
lovergirl,1
lucha,1
mack,1
macke,1
madrinas,1
maduro,1
maenad,1
maestra,1
malapalabra,1
malcriada,1
maldita,1
malecone,1
malinger,1
mamando,1
mansa,1
mariconcito,1
mataron,1
mazed,1
mazel,1
mecha,1
melnibonian,1
menopause,1
mesera,1
mesomorphic,1
messed,1
miiine,1
milagro,1
moncadista,1
monsterpiece,1
monstro,1
morenito,1
morir,1
mota,1
motism,1
muchachas,1
muchachos,1
muchpain,1
muela,1
mujere,1
nada,1
narcissitic,1
nata,1
naturalize,1
necromantic,1
negocio,1
negra,1
nerdier,1
nerdliness,1
noplay,1
northamericana,1
nudie,1
nuttiness,1
o'halloran,1
obliterating,1
orchidaceous,1
oscar,1
otakuness,1
overdress,1
paliza,1
pana,1
paquete,1
parcha,1
parece,1
paso,1
pastelito,1
pastelitos,1
paunchi,1
pechonalidad,1
pegao,1
peledista,1
perico,1
pescado,1
phaser,1
pimpdaddy,1
pimpliness,1
pimpshit,1
pipa,1
pista,1
platanero,1
playerly,1
plepla,1
podrido,1
populare,1
pornographer,1
postpartum,1
potbellie,1
powerlessness,1
preocupe,1
prettyboy,1
prieto,1
procurement,1
promesa,1
pueblito,1
puerca,1
pulperia,1
pulpo,1
punkboy,1
punto,1
puto,1
quemagoma,1
quisqueyano,1
raconteur,1
rada,1
rapacity,1
rarifie,1
rayano,1
reconquista,1
redemptive,1
reinvade,1
rekha,1
reprobate,1
resortless,1
respetable,1
restavek,1
ribbing,1
rinky,1
ripiao,1
rolos,1
rpg,1
salabim,1
sancocho,1
sanmacorisano,1
scarypant,1
scrabby,1
scurvied,1
scuttlebutt,1
seagrape,1
serie,1
sexworker,1
shango,1
shelob,1
siento,1
sinead,1
skank,1
sluttie,1
smith,1
snarke,1
socorro,1
stasi'd,1
stickup,1
strake,1
subbing,1
substituting,1
sucesos,1
sucias,1
sunstroked,1
superstar,1
supuesto,1
sweetmeat,1
swolen,1
sycorax,1
taek,1
talkback,1
tarea,1
taxonomize,1
tirapiedra,1
todologo,1
toosh,1
tov,1
traigo,1
trannie,1
turbidity,1
turtleshell,1
tutelage,1
uncoordinated,1
unelectrified,1
unfetchingly,1
unflaggingly,1
unflawe,1
unfrie,1
unionist,1
unstintingly,1
upness,1
upperbody,1
upsweep,1
vecino,1
verde,1
versos,1
veterano,1
videogame,1
vieja,1
viejas,1
viejito,1
viperous,1
vivir,1
vivre,1
volte,1
voluminously,1
vuelan,1
waitressing,1
wallball,1
who'd,1
wifebeater,1
wilding,1
witchking,1
yakoub,1
yogi,1
yuca,1
yuen,1
zapatero,1
zapote,1
zilch,1
