word,total_count,chapter_count,chapters
man,687,41,"3:18,5:82,7:16,9:13,11:11,13:21,15:2,17:3,19:2,21:14,25:25,27:21,29:37,31:8,33:51,35:24,37:35,39:9,41:9,43:5,45:13,47:16,49:12,51:11,53:9,55:24,57:15,59:14,61:21,63:1,65:4,67:7,69:42,71:9,73:8,75:7,77:28,79:13,81:7,83:9,85:11"
know,500,41,"3:15,5:23,7:10,9:1,11:17,13:3,15:2,17:2,19:10,21:35,25:10,27:14,29:16,31:8,33:8,35:15,37:16,39:4,41:25,43:20,45:16,47:24,49:6,51:1,53:11,55:3,57:6,59:9,61:24,63:3,65:15,67:8,69:23,71:14,73:12,75:12,77:14,79:15,81:17,83:2,85:11"
go,463,40,"3:12,5:12,7:12,9:14,11:14,13:7,17:4,19:15,21:22,25:13,27:5,29:13,31:12,33:14,35:20,37:24,39:12,41:15,43:10,45:6,47:6,49:14,51:7,53:6,55:9,57:11,59:6,61:17,63:3,65:17,67:10,69:20,71:21,73:12,75:17,77:9,79:7,81:4,83:5,85:6"
chaplain,434,18,"5:9,25:45,27:78,29:4,35:4,37:109,39:1,41:8,45:35,49:6,51:1,57:7,61:77,63:1,73:25,75:22,79:1,83:1"
say,421,41,"3:25,5:25,7:3,9:3,11:8,13:5,15:6,17:5,19:3,21:21,25:10,27:11,29:7,31:8,33:8,35:7,37:15,39:12,41:13,43:15,45:18,47:10,49:3,51:4,53:2,55:13,57:5,59:8,61:16,63:1,65:7,67:3,69:26,71:9,73:30,75:10,77:7,79:12,81:9,83:3,85:15"
want,404,39,"3:8,5:23,7:6,9:6,11:9,13:9,17:3,19:17,21:20,25:12,27:10,29:13,31:8,33:5,35:10,37:24,39:8,41:8,43:11,45:4,47:15,49:4,53:4,55:14,57:5,59:10,61:10,63:8,65:13,67:8,69:16,71:12,73:7,75:10,77:19,79:9,81:5,83:5,85:16"
time,383,40,"3:10,5:13,7:14,9:7,11:10,13:20,15:4,17:2,19:7,21:22,25:5,27:8,29:23,31:7,33:11,35:14,37:18,39:2,41:4,43:19,45:9,47:8,49:6,51:8,53:8,55:8,59:11,61:5,63:2,65:10,67:6,69:3,71:5,73:6,75:7,77:17,79:12,81:17,83:9,85:6"
right,331,40,"3:7,5:11,7:6,9:5,11:7,13:5,15:4,17:8,19:10,21:29,25:7,27:5,29:11,31:18,33:3,35:14,37:15,39:5,41:10,43:17,45:5,47:13,49:7,51:4,53:2,55:8,57:3,59:7,61:9,65:8,67:4,69:10,71:5,73:13,75:7,77:3,79:4,81:11,83:5,85:6"
good,310,39,"3:14,5:26,7:3,9:5,11:4,13:6,17:1,19:2,21:23,25:9,27:9,29:4,31:14,33:4,35:12,37:6,39:4,41:9,43:13,45:13,47:9,49:2,51:1,53:5,55:7,57:4,59:17,61:4,65:1,67:3,69:10,71:5,73:6,75:14,77:7,79:5,81:13,83:6,85:10"
get,302,41,"3:3,5:8,7:6,9:2,11:15,13:5,15:1,17:2,19:8,21:30,25:11,27:3,29:10,31:10,33:2,35:14,37:9,39:2,41:19,43:16,45:5,47:7,49:2,51:2,53:5,55:3,57:2,59:8,61:9,63:1,65:5,67:3,69:6,71:5,73:12,75:5,77:7,79:2,81:17,83:9,85:11"
away,297,40,"3:2,5:9,7:1,9:1,11:10,13:5,15:6,17:9,19:14,21:13,25:3,27:9,29:12,31:8,33:9,35:10,37:11,39:2,41:6,43:11,45:5,47:2,49:9,51:3,53:5,55:7,57:10,59:2,61:8,63:2,65:12,67:4,69:23,71:5,73:7,75:15,79:5,81:10,83:5,85:7"
come,294,41,"3:4,5:23,7:3,9:9,11:9,13:2,15:2,17:2,19:11,21:26,25:4,27:7,29:8,31:10,33:2,35:14,37:11,39:1,41:9,43:8,45:8,47:9,49:10,51:3,53:5,55:5,57:5,59:5,61:8,63:1,65:12,67:2,69:15,71:2,73:2,75:3,77:8,79:1,81:7,83:9,85:9"
tell,286,39,"3:15,5:31,7:1,9:2,11:10,13:1,19:6,21:31,25:3,27:3,29:2,31:17,33:2,35:9,37:10,39:3,41:8,43:14,45:3,47:9,49:3,51:1,53:1,55:7,57:6,59:2,61:11,63:1,65:8,67:8,69:4,71:7,73:5,75:6,77:6,79:6,81:17,83:5,85:2"
think,285,40,"3:5,5:12,7:5,9:3,11:10,13:5,15:1,17:1,19:4,21:14,25:19,27:11,29:5,31:8,33:2,35:9,37:11,39:4,41:19,43:7,45:4,47:12,49:3,53:2,55:5,57:4,59:7,61:13,63:1,65:11,67:7,69:9,71:3,73:13,75:11,77:7,79:5,81:7,83:3,85:3"
mission,270,36,"5:10,7:4,9:3,11:10,13:3,15:2,17:4,19:2,21:12,25:11,27:4,29:12,31:13,35:4,37:5,39:2,41:6,43:11,45:2,47:10,49:5,51:3,53:4,59:37,61:5,65:11,67:4,69:6,71:14,73:4,75:9,77:8,79:2,81:7,83:16,85:5"
look,266,40,"3:4,5:14,7:2,9:2,11:12,13:4,15:4,17:6,19:8,21:13,25:9,27:6,29:10,31:12,33:9,35:13,37:5,39:6,41:6,43:6,45:4,47:3,49:6,51:3,53:1,55:15,57:5,59:5,61:8,65:7,67:3,69:8,71:4,73:8,75:10,77:1,79:2,81:10,83:4,85:8"
eye,250,40,"3:5,5:6,7:2,9:7,11:4,13:6,15:4,17:7,19:6,21:11,25:7,27:5,29:16,31:8,33:7,35:10,37:4,39:4,41:5,43:7,45:6,47:7,49:4,51:1,55:6,57:5,59:3,61:6,63:1,65:8,67:3,69:11,71:7,73:13,75:6,77:5,79:5,81:15,83:4,85:3"
face,246,41,"3:4,5:8,7:1,9:4,11:5,13:5,15:2,17:5,19:10,21:7,25:5,27:6,29:10,31:5,33:7,35:12,37:12,39:7,41:5,43:5,45:3,47:3,49:10,51:4,53:4,55:3,57:3,59:1,61:12,63:1,65:18,67:2,69:14,71:2,73:11,75:8,77:3,79:2,81:6,83:6,85:5"
fly,244,33,"5:12,7:4,9:1,11:7,13:6,15:1,17:9,19:1,21:8,27:1,29:7,31:5,35:7,37:4,41:6,43:22,47:4,49:7,53:2,55:1,59:29,61:3,65:17,67:2,69:8,71:11,73:4,75:7,77:5,79:1,81:19,83:18,85:5"
day,233,36,"3:9,5:31,7:7,9:10,11:3,13:11,17:3,19:1,21:19,25:2,27:4,29:7,31:6,33:1,35:12,37:10,39:3,41:3,43:4,45:17,47:4,49:3,51:4,53:5,59:3,61:2,65:2,67:2,69:1,73:2,75:2,77:11,79:6,81:8,83:11,85:4"
begin,232,41,"3:5,5:7,7:3,9:8,11:13,13:5,15:2,17:9,19:6,21:11,25:6,27:4,29:20,31:5,33:5,35:11,37:7,39:2,41:3,43:13,45:2,47:6,49:3,51:2,53:2,55:1,57:6,59:7,61:5,63:2,65:3,67:1,69:7,71:3,73:9,75:4,77:4,79:4,81:6,83:5,85:5"
ask,228,38,"3:9,5:10,7:3,11:9,13:3,15:2,17:2,19:14,21:13,25:6,27:5,29:2,31:3,33:7,35:4,37:10,39:1,41:8,43:9,45:10,47:8,49:1,51:1,55:1,57:3,59:2,61:9,65:8,67:2,69:5,71:3,73:4,75:7,77:11,79:8,81:15,83:3,85:7"
officer,228,36,"3:15,5:16,7:5,9:12,11:7,13:11,17:1,19:4,21:9,25:6,27:9,29:9,31:1,33:3,35:5,37:17,39:2,43:2,45:8,47:7,49:2,53:3,55:3,57:2,59:5,61:23,63:2,65:2,67:8,69:3,71:1,77:7,79:4,81:5,83:4,85:5"
find,217,41,"3:17,5:15,7:3,9:3,11:3,13:4,15:3,17:3,19:11,21:9,25:3,27:2,29:3,31:8,33:2,35:6,37:11,39:4,41:3,43:13,45:1,47:5,49:4,51:3,53:3,55:2,57:2,59:1,61:7,63:1,65:3,67:2,69:9,71:3,73:9,75:11,77:9,79:6,81:4,83:4,85:2"
turn,209,38,"3:3,5:7,7:2,9:9,11:10,13:4,15:9,17:10,19:4,21:7,27:3,29:10,31:9,33:3,35:6,37:5,39:4,41:4,43:10,45:2,47:5,49:8,51:4,53:3,55:2,57:4,59:4,61:10,65:5,67:1,69:8,71:6,73:9,75:7,77:1,81:3,83:5,85:3"
