word,total_count,chapter_count,chapters
say,708,2,"1:358,2:350"
know,418,2,"1:197,2:221"
go,355,2,"1:144,2:211"
old,352,2,"1:156,2:196"
get,341,2,"1:174,2:167"
tell,286,2,"1:134,2:152"
think,282,2,"1:136,2:146"
guy,258,2,"1:142,2:116"
look,248,2,"1:135,2:113"
right,237,2,"1:128,2:109"
hell,218,2,"1:102,2:116"
time,212,2,"1:101,2:111"
start,200,2,"1:92,2:108"
mean,196,2,"1:81,2:115"
want,194,2,"1:80,2:114"
come,193,2,"1:78,2:115"
feel,190,2,"1:96,2:94"
sort,177,2,"1:79,2:98"
way,173,2,"1:80,2:93"
thing,155,2,"1:69,2:86"
ask,152,2,"1:80,2:72"
good,146,2,"1:67,2:79"
sit,146,2,"1:74,2:72"
little,137,2,"1:65,2:72"
keep,134,2,"1:55,2:79"
kid,132,2,"1:57,2:75"
goddam,122,2,"1:67,2:55"
take,122,2,"1:51,2:71"
damn,121,2,"1:66,2:55"
pretty,117,2,"1:69,2:48"
give,115,2,"1:62,2:53"
room,115,2,"1:62,2:53"
girl,112,2,"1:65,2:47"
big,110,2,"1:64,2:46"
like,109,2,"1:44,2:65"
walk,97,2,"1:23,2:74"
lot,96,2,"1:44,2:52"
bed,89,2,"1:46,2:43"
place,86,2,"1:45,2:41"
talk,85,2,"1:35,2:50"
hand,84,2,"1:41,2:43"
nice,83,2,"1:27,2:56"
probably,83,2,"1:43,2:40"
home,81,2,"1:27,2:54"
play,81,2,"1:34,2:47"
hear,79,2,"1:40,2:39"
mother,78,2,"1:36,2:42"
see,78,2,"1:35,2:43"
crazy,77,2,"1:30,2:47"
let,75,2,"1:33,2:42"
funny,71,2,"1:31,2:40"
boy,70,2,"1:31,2:39"
leave,70,2,"1:30,2:40"
school,70,2,"1:20,2:50"
stand,70,2,"1:33,2:37"
sudden,70,2,"1:39,2:31"
listen,69,2,"1:33,2:36"
hat,68,2,"1:35,2:33"
try,68,2,"1:27,2:41"
read,63,2,"1:39,2:24"
people,62,2,"1:28,2:34"
kill,61,2,"1:21,2:40"
write,60,2,"1:30,2:30"
bastard,59,2,"1:28,2:31"
door,57,2,"1:21,2:36"
night,56,2,"1:40,2:16"
away,55,2,"1:26,2:29"
bad,55,2,"1:19,2:36"
long,54,2,"1:21,2:33"
hardly,53,2,"1:28,2:25"
meet,53,2,"1:22,2:31"
movie,53,2,"1:32,2:21"
stop,53,2,"1:27,2:26"
kind,52,2,"1:28,2:24"
stick,52,2,"1:18,2:34"
turn,51,2,"1:28,2:23"
lousy,49,2,"1:29,2:20"
