word,total_count
crumby,20
sonuvabitch,18
carrousel,10
lunt,7
willya,7
horsing,6
checkroom,4
grippy,4
dif,3
ferent,3
heighth,3
hellya,3
hound's,3
oodle,3
perverty,3
tryna,3
yellowness,3
ackley'd,2
awreddy,2
beatup,2
buddyroo,2
earlap,2
goddarn,2
holden,2
how'sa,2
letcha,2
luce,2
snobby,2
whory,2
wuddayacallit,2
adise,1
ainly,1
autographing,1
backassward,1
belongsa,1
blame'll,1
bleedy,1
burny,1
caddy'd,1
camel's,1
catholic,1
ceety,1
cheerer,1
chool,1
chteau,1
clavichord,1
conver,1
danm,1
dopy,1
economize,1
een,1
elous,1
excit,1
faggy,1
fantast,1
fere,1
geeve,1
grandmother'd,1
grool,1
haif,1
hellaya,1
hellja,1
hoodlumy,1
ignor,1
impatienttype,1
innareste,1
insulted,1
intellig,1
it'sort,1
jampack,1
ley,1
lillian,1
lulus,1
lywood,1
marv,1
mob'd,1
muckle,1
oversexe,1
packer,1
pedagogical,1
phoebe'd,1
phonier,1
pimpy,1
playtul,1
pract,1
ren,1
rible,1
rie,1
rollerskate,1
rostrum,1
sculptress,1
speaka,1
spendthrift,1
spookier,1
stradlater'd,1
tellya,1
thermoneter,1
thirt,1
titude,1
toleja,1
trimma,1
twitcher,1
unhairy,1
unscholarly,1
washbowls,1
wavyhaired,1
wheeny,1
whoever'd,1
whosis,1
wideawake,1
wrinkly,1
wutchamacallit,1
y'innareste,1
