word,total_count
postconviction,9
skinhead,8
clovis,6
backhoe,4
foreclosure,4
mcneely,4
mistrial,4
arner,3
hez,3
mary,3
nitpicking,3
oodman,3
uncuffe,3
ass'll,2
carman,2
discriminatory,2
emmitt,2
foldaway,2
fundraiser,2
pollster,2
rehearing,2
remoulade,2
rosen,2
testifier,2
ugent,2
acrobatically,1
admitted,1
allard,1
anhydrous,1
arknes,1
arlene,1
arrived,1
behoode,1
blueblood,1
brainchild,1
brimstoner,1
brownshirt,1
calmer,1
carryout,1
conehead,1
conventioneer,1
crappie,1
creamer,1
deadlocked,1
decaffeinated,1
deregulation,1
eddie,1
egomaniac,1
epicenter,1
etween,1
exe,1
festiveness,1
fields,1
frailer,1
gas'll,1
gassee,1
granting,1
grassless,1
guestbook,1
guiltier,1
habeas,1
heartwarme,1
heckuva,1
hey'd,1
horselaughe,1
hough,1
hounding,1
humanely,1
indexed,1
intermarry,1
interracial,1
jakeleg,1
lee'd,1
manicotti,1
miscegenation,1
modernizing,1
newsbreak,1
noisier,1
noninflammatory,1
paned,1
phelps,1
plainclothed,1
potluck,1
preexecution,1
prepackaged,1
preserved,1
pronouncing,1
prospering,1
prussic,1
reboard,1
reboarde,1
rehuddle,1
reprosecution,1
reshelve,1
risham,1
robbed,1
roughshod,1
signed,1
slattery,1
sleepover,1
slinky,1
socialite,1
songwriter,1
spinnin,1
subcompact,1
sumbitche,1
swinger,1
turbo,1
unclutter,1
uncovering,1
understated,1
unshined,1
wackier,1
warden'll,1
weedeater,1
where'bout,1
zoning,1
zus,1
