word,total_count,chapter_count,chapters
human,429,59,"7:9,8:10,9:1,10:5,11:18,15:24,16:12,17:7,20:9,21:15,22:3,23:7,25:3,26:2,29:11,30:11,31:6,32:7,33:4,35:7,38:2,41:5,43:3,45:3,46:7,49:9,50:8,51:10,52:24,53:10,55:11,56:1,59:8,60:14,61:6,62:2,63:1,65:1,66:10,69:9,70:3,71:5,72:7,73:13,74:3,75:2,76:6,77:1,78:5,79:12,80:4,81:11,82:2,83:7,85:10,86:13,87:3,88:4,91:3"
know,350,66,"7:4,8:5,9:6,10:2,11:17,12:1,15:21,16:6,17:3,20:5,21:9,22:4,23:5,24:1,25:1,26:4,29:8,30:4,31:7,32:5,33:6,34:2,35:2,38:3,39:3,40:1,41:8,42:2,43:3,45:4,46:16,49:6,50:6,51:5,52:3,53:4,54:5,55:3,56:2,59:4,60:10,61:1,62:3,63:10,64:5,65:3,66:3,69:3,70:4,71:5,72:11,73:3,74:2,75:3,76:7,78:4,79:7,80:15,81:2,82:3,83:6,84:9,85:11,86:6,88:5,91:3"
come,333,65,"7:6,8:11,9:5,10:2,11:19,15:24,16:7,17:3,20:3,21:3,23:4,25:2,26:2,29:7,30:8,31:9,32:4,33:7,34:2,35:3,38:4,39:1,40:2,41:4,42:1,43:1,44:5,45:8,46:11,49:2,50:4,51:3,52:10,53:5,54:2,55:8,56:5,59:6,60:1,61:4,62:6,63:4,64:4,65:3,66:5,69:1,70:5,71:9,72:2,73:1,74:1,75:6,76:4,78:3,79:7,80:5,81:3,82:4,83:11,84:5,85:4,86:4,87:9,88:3,91:6"
go,313,61,"7:3,8:9,9:6,10:5,11:29,15:8,16:8,17:1,20:3,21:8,22:3,23:4,24:1,25:5,26:7,29:3,30:3,31:4,32:5,33:1,35:3,38:3,39:7,40:1,41:12,43:1,44:7,45:11,46:9,49:2,50:6,51:6,52:12,53:5,55:13,56:3,59:7,60:1,61:7,62:2,64:1,66:2,69:2,70:4,71:7,72:2,74:3,75:3,76:2,78:2,79:5,80:4,81:4,82:4,83:1,84:1,85:12,86:1,87:7,88:7,91:5"
thing,307,62,"7:4,8:11,9:1,10:3,11:21,15:9,16:2,17:3,20:6,21:8,22:1,23:7,26:4,29:4,30:2,31:2,32:4,33:3,34:1,35:3,39:2,41:6,43:3,44:6,45:6,46:7,49:4,50:2,51:2,52:5,53:2,54:1,55:5,56:4,59:8,60:6,61:5,62:1,63:6,64:3,65:2,66:6,69:6,70:1,71:14,72:3,73:6,74:5,75:6,76:5,78:1,79:7,80:15,81:5,82:2,83:8,84:3,85:9,86:7,87:7,88:5,91:1"
time,304,62,"4:1,7:2,8:2,9:6,10:7,11:16,15:6,16:7,17:5,20:9,21:16,23:3,25:3,26:2,29:8,30:6,31:5,32:2,33:3,34:1,39:3,41:6,43:1,44:4,45:5,46:3,49:5,50:7,51:6,52:16,53:7,54:6,55:1,56:4,59:5,60:5,61:6,62:5,63:3,64:1,65:3,66:6,69:1,70:1,71:6,72:3,73:2,74:2,75:5,76:7,78:7,79:5,80:6,81:9,82:3,83:6,84:1,85:7,86:4,87:3,88:3,91:5"
feel,301,60,"7:4,8:1,9:1,10:1,11:20,15:7,16:7,17:4,20:5,21:7,22:3,23:3,25:1,26:3,29:10,30:4,31:2,32:8,33:7,34:5,35:2,38:3,40:1,41:13,43:1,44:15,45:5,46:6,49:6,50:10,51:5,52:8,53:4,55:17,56:1,59:1,60:4,61:1,62:4,63:2,66:2,69:4,70:5,71:4,72:2,73:1,74:5,75:4,76:3,78:5,79:2,80:17,81:2,82:6,83:4,84:3,85:4,86:8,87:1,88:7"
ship,267,49,"7:9,8:9,10:5,11:26,15:15,16:6,17:8,20:6,21:5,26:1,29:17,30:5,31:10,32:13,33:5,34:4,35:6,38:1,41:1,46:5,49:1,50:2,51:1,52:7,55:2,56:3,59:8,61:1,62:22,63:1,65:1,66:5,69:1,71:7,72:1,73:1,74:1,75:9,78:6,79:3,80:1,81:4,82:1,83:5,85:2,86:2,87:2,88:2,91:8"
long,256,60,"4:1,7:8,8:5,9:3,10:3,11:17,15:9,16:6,17:7,20:4,21:9,22:1,23:9,25:1,26:3,29:1,30:2,31:6,32:1,33:6,39:1,40:1,41:8,43:3,44:1,45:2,46:6,49:3,50:4,51:9,52:8,53:2,54:3,55:5,56:5,59:8,60:4,61:5,62:2,63:2,64:1,65:3,66:6,71:8,72:3,73:6,74:1,75:2,76:3,77:1,78:5,79:4,80:5,81:1,82:2,83:5,84:2,85:4,86:5,88:5"
system,247,56,"7:6,8:2,9:1,10:2,11:25,15:14,16:11,17:6,20:8,21:3,22:2,23:5,25:4,26:2,29:8,30:5,31:7,32:2,33:4,34:1,35:4,38:4,39:5,41:3,43:3,44:4,45:6,46:4,49:8,50:6,51:3,52:18,53:2,55:3,56:2,59:6,60:2,61:4,62:6,63:1,65:3,66:4,69:1,70:2,72:1,74:5,75:2,79:4,80:4,83:1,84:1,85:1,86:1,87:1,88:2,91:2"
