word,total_count
meshner,40
mollusc,36
cephalopod,31
octopode,14
disra,13
iceball,8
notional,7
sessile,6
tardigrade,6
volcanism,6
curate,5
hydrostatic,5
algal,4
anthropomorphism,4
databank,4
dumbe,4
encyste,4
exoprobe,4
forbiddance,4
proprioception,4
anthropocentric,3
anthropoid,3
bootstrappe,3
fabricator,3
quale,3
radially,3
spaceborne,3
strobing,3
substrate,3
tok,3
altiplano,2
archival,2
bacterium,2
biome,2
cephalothorax,2
chromatic,2
chromatophore,2
communications,2
cryptobiotic,2
emote,2
existing,2
fishpond,2
glitchy,2
headware,2
interspecial,2
medusa,2
megacontinent,2
octopoid,2
omnidirectional,2
orrery,2
panni,2
planetoid,2
recombine,2
regimented,2
relatable,2
repurposed,2
rota,2
sensoria,2
straiten,2
synaesthesia,2
taxonomy,2
toolset,2
topology,2
tracked,2
translatable,2
travelogue,2
untranslated,2
venturesome,2
ablate,1
aetiology,1
ageing,1
airscoop,1
albedo,1
alphanumeric,1
ammonite,1
amoebae,1
anaphylactic,1
anterior,1
anthropomorphosis,1
arachnoid,1
archetypally,1
artform,1
ascerbic,1
autotrophic,1
autotrophs,1
averaging,1
aviatrix,1
baglike,1
battlecruiser,1
bauplan,1
beachful,1
biodiversity,1
biodome,1
biota,1
bleaken,1
blobbere,1
blowhole,1
boffin,1
bombast,1
brindled,1
budgeting,1
busying,1
caddis,1
caddisfly,1
callosum,1
cataloguer,1
categorization,1
celebre,1
cephalopodomorphism,1
cephalothoraxe,1
chelicerae,1
chroma,1
cinematic,1
cityscape,1
clasping,1
cnidarian,1
coli,1
commandery,1
committedly,1
comprehensibly,1
condusive,1
conspecific,1
contaminated,1
corvid,1
cox,1
crenulation,1
cryptobiote,1
cumbrously,1
curation,1
datasphere,1
dendritic,1
denotation,1
derived,1
descended,1
determinism,1
disarticulate,1
dismantling,1
dogmatism,1
doyenne,1
dynamically,1
earthwork,1
ecosphere,1
ecostructure,1
endemic,1
endmost,1
entomological,1
erma,1
exacting,1
expectoration,1
expository,1
extemporize,1
extrasolar,1
extremophile,1
extrinsic,1
fabricating,1
facto,1
farness,1
fishtank,1
flippantly,1
formed,1
forming,1
fudging,1
gameplan,1
gangmaster,1
gassery,1
gg,1
gk,1
glitching,1
grandiloquence,1
graspable,1
grav,1
grazer,1
grimmest,1
groundbreaking,1
grublike,1
guru,1
gustatory,1
gyre,1
haemorrhage,1
hgikkkd,1
hierarchically,1
hindbrain,1
hooqueryquery,1
hotchpotch,1
howlingly,1
hydrolung,1
hyperventilation,1
iceman,1
idiolect,1
inception,1
inedibly,1
infrasound,1
investigatory,1
jilted,1
kernish,1
kickstarte,1
laissez,1
layering,1
leerily,1
lesione,1
lobotomizing,1
lortisse,1
lumbering,1
lynchpin,1
malarkey,1
mandibular,1
materiel,1
mechanistically,1
mem,1
merged,1
microbiome,1
mind's,1
mindfulness,1
mindscape,1
minimalist,1
miscellanea,1
moddable,1
molluscs,1
monicker,1
motherlode,1
multicoloure,1
naivety,1
nanomachine,1
nanoviral,1
narrating,1
naturel,1
naysaying,1
neocortex,1
neuralware,1
nihilism,1
nipping,1
nkovi,1
nosedive,1
notionally,1
obfuscating,1
octopusus,1
odyssey,1
oeuvring,1
oleaginous,1
onlooking,1
operatic,1
orie,1
outclass,1
outgun,1
outrange,1
overbre,1
overcompensate,1
overcompensatory,1
overflew,1
overlaid,1
overwrote,1
palaeolithic,1
parison,1
parthenogenetically,1
patterned,1
permeable,1
perpetuation,1
petri,1
phasing,1
photosynthesizing,1
phrasebook,1
phyla,1
pictorially,1
pithed,1
plasticky,1
playback,1
poullister,1
presupposition,1
prokaryote,1
proposer,1
proprietory,1
pseudointelligence,1
psychopomp,1
pupille,1
qualifi,1
qualitatively,1
quisling,1
radiosphere,1
ranged,1
rattlingly,1
recognisance,1
reconfiguring,1
reconstructionist,1
recycled,1
refreshed,1
rejigge,1
replication,1
replying,1
repopulated,1
reprocess,1
restate,1
retranslate,1
retrievable,1
rj,1
saggingly,1
sandcastle,1
sargassum,1
schoolchild,1
scoree,1
scorer,1
secondmost,1
sendimentary,1
sheathing,1
shipbound,1
shipwide,1
siblinghood,1
sigil,1
signalwoman,1
siri,1
slimme,1
snowballing,1
socialization,1
spacebound,1
spacesuite,1
sparing,1
sparke,1
squirrelle,1
stabilizer,1
stepsister,1
stilting,1
straightjacket,1
strainedly,1
streetmap,1
striate,1
stromatolite,1
sunbathe,1
sunniest,1
superlight,1
surveying,1
synaesthetic,1
synthesizing,1
technicolour,1
technocracy,1
teleconferencing,1
telepresence,1
tempering,1
tentacled,1
terraformable,1
tessellating,1
thermoregulatory,1
thwarted,1
timesaving,1
timespan,1
translucence,1
tubthump,1
twitchiness,1
ufwytmv,1
unassimilated,1
unaugmented,1
undercompliment,1
underinformed,1
undermind,1
undiplomatic,1
unequippe,1
unfurls,1
unhearing,1
unintuitive,1
unreliably,1
unseam,1
unseamed,1
unspoiled,1
unstrung,1
urchinous,1
urticated,1
utopianist,1
valence,1
verdigrised,1
viability,1
viron,1
virtuality,1
vivisect,1
wellbee,1
womblike,1
wordplay,1
