word,total_count,chapter_count,chapters
letter,72,14,"1:8,2:3,3:2,4:5,5:2,6:7,7:1,8:10,12:1,13:11,14:5,15:2,16:3,20:12"
woman,54,18,"1:9,2:4,3:2,4:1,5:7,7:3,8:3,9:4,10:1,11:1,12:4,13:2,14:2,15:2,16:4,18:3,19:1,20:1"
tell,46,15,"1:4,2:1,5:4,7:1,8:3,9:6,10:2,11:5,12:6,13:5,15:3,16:2,17:1,18:1,19:2"
child,44,12,"1:13,2:1,8:2,9:2,10:1,11:2,12:1,13:5,15:11,16:1,17:4,19:1"
man,42,17,"1:7,4:1,5:5,7:3,8:4,9:3,10:2,11:1,12:1,13:2,14:1,15:1,16:1,17:3,18:3,19:3,20:1"
self,42,12,"1:2,2:6,5:2,6:1,9:9,10:2,12:3,14:2,15:1,16:4,18:7,20:3"
novel,38,12,"1:4,3:3,4:1,5:7,6:3,7:3,8:1,9:1,14:1,16:2,18:1,20:11"
story,36,13,"1:4,5:5,8:3,9:2,12:5,13:4,14:4,15:2,16:2,17:2,18:1,19:1,20:1"
abuse,32,10,"1:9,2:3,3:1,4:1,5:5,8:5,9:4,10:1,17:1,20:2"
learn,31,14,"1:5,2:1,3:1,5:1,8:4,9:3,10:1,13:2,14:2,15:3,16:2,17:2,19:3,20:1"
find,28,15,"1:7,2:1,3:1,5:2,8:1,9:4,10:1,11:2,12:1,13:1,14:1,15:1,16:1,17:2,20:2"
love,28,13,"1:4,2:1,5:1,7:2,9:1,10:3,11:1,12:1,13:3,14:1,17:1,19:5,20:4"
black,27,9,"1:6,4:4,8:2,12:1,13:2,14:7,15:1,16:2,18:2"
feel,27,13,"1:2,2:1,5:1,6:1,9:2,10:5,13:2,14:2,15:1,16:1,17:1,19:4,20:4"
new,27,13,"1:3,2:1,5:2,6:2,7:1,8:3,9:4,11:3,12:3,13:1,15:2,16:1,19:1"
write,27,12,"1:3,4:1,6:3,7:1,8:3,10:1,13:2,15:2,16:1,17:1,19:1,20:8"
begin,26,13,"1:5,3:1,5:2,8:1,9:2,10:3,11:1,12:1,14:2,15:2,16:2,19:3,20:1"
year,26,11,"1:9,2:3,3:1,5:3,12:1,13:3,15:1,17:2,18:1,19:1,20:1"
see,25,14,"1:1,3:1,7:1,8:1,9:3,10:4,11:1,12:1,13:3,14:1,16:1,17:2,18:1,20:4"
time,25,11,"1:1,6:1,9:1,10:5,11:3,13:2,14:2,15:1,17:2,19:3,20:4"
father,23,6,"1:8,5:2,8:2,9:2,10:5,15:4"
return,23,11,"1:6,2:1,3:1,6:1,9:1,10:1,13:3,15:1,17:3,19:3,20:2"
beat,22,8,"1:4,3:1,5:3,8:2,9:5,10:2,11:4,12:1"
relationship,22,10,"1:5,3:1,5:5,9:2,10:2,11:1,14:2,16:1,19:1,20:2"
say,22,11,"1:1,2:2,7:1,8:2,9:1,10:2,11:2,12:1,13:8,15:1,19:1"
know,21,10,"1:1,7:1,8:4,9:4,10:2,11:2,13:3,15:2,18:1,20:1"
life,21,13,"1:3,2:2,3:1,5:2,6:1,8:3,11:1,12:2,13:2,14:1,16:1,18:1,19:1"
way,21,8,"1:4,5:4,8:1,10:4,12:3,13:1,18:1,20:3"
help,20,12,"1:2,2:2,5:1,7:2,9:5,11:1,12:1,13:2,14:1,15:1,19:1,20:1"
long,20,13,"1:1,2:1,8:1,9:2,10:1,11:2,12:1,14:1,15:3,16:1,18:1,19:2,20:3"
