word,total_count
sofia,18
centeredness,3
assertively,2
epistolary,2
reimagine,2
storeowner,2
actualization,1
conceptualize,1
corrine,1
defeating,1
denigration,1
digressive,1
entrepreneurship,1
ficient,1
foundational,1
heterosexuality,1
lavishe,1
lovesickness,1
nontraditional,1
patriarchy,1
perceiving,1
propertied,1
reimagining,1
remarrie,1
renaming,1
scantily,1
shug,1
submerged,1
submissiveness,1
subordination,1
suf,1
tyrantlike,1
vivaciousness,1
womanizer,1
xpression,1
