word,total,across_the_river_and_into_the_trees,adventures_of_huckleberry_finn,animal_farm,ballad_of_songbirds_and_snakes,bell_jar,beloved,blood_meridian,boy_and_his_dog_at_the_end_of_the_world,brave_new_world,brief_wondrous_life_of_oscar_wao,catch_22,catcher_in_the_rye,chamber,children_of_ruin,children_of_time,color_purple,confession,corrections,death_in_the_afternoon,do_androids_dream_of_electric_sheep,dune,east_of_eden,fahrenheit_451,fight_club,firm,for_whom_the_bell_tolls,foundation,giver,good_man_is_hard_to_find,great_gatsby,green_hills_of_africa,harry_potter_01,harry_potter_02,harry_potter_03,harry_potter_04,harry_potter_05,harry_potter_07,harry_potter_08,hunger_games,i_know_why_the_caged_bird_sings,i_robot,in_cold_blood,invisible_man,iron_heel,it,lilith_s_brood,little_life,lord_of_the_flies,man_in_the_high_castle,martian,men_without_women,moby_dick,nineteen_eighty_four,of_mice_and_men,old_man_and_the_sea,old_mans_war,on_the_road,one_flew_over_the_cuckoos_nest,prelude_to_foundation,road,salems_lot,scarlet_letter,shining,silence_of_the_lambs,slaughterhouse_five,snow_crash,stand,their_eyes_were_watching_god,to_kill_a_mockingbird,tree_grows_in_brooklyn,ubik,visit_from_the_goon_squad
say,69765,858,1080,100,773,377,447,449,652,346,423,421,708,810,195,205,22,668,1483,130,941,2102,2243,278,292,621,2455,343,249,939,232,521,798,1162,1416,2533,3838,1901,70,463,281,312,832,1525,235,2870,1630,2070,272,1,793,633,366,314,415,179,12323,591,516,1383,306,1062,150,796,493,297,930,2629,126,1191,49,87,564
know,29964,342,358,40,419,231,458,127,423,124,333,500,418,632,350,406,21,379,341,196,203,643,1125,199,100,450,565,186,216,223,169,177,304,273,330,610,872,868,246,353,257,261,452,625,211,1257,1088,1594,94,7,222,121,308,322,91,91,3024,369,278,533,117,403,136,425,370,100,356,1443,286,347,44,294,228
look,28088,226,282,24,268,172,369,509,472,142,179,266,248,345,205,280,15,218,310,139,89,442,652,197,80,323,671,93,138,367,170,232,403,415,563,1117,1392,886,256,173,177,140,192,763,90,2006,868,745,219,2,160,201,362,193,150,58,1834,360,570,379,342,591,181,513,282,95,535,1691,200,332,58,147,324
go,25732,136,609,57,274,205,283,262,406,155,220,463,355,316,313,311,4,216,474,279,100,173,920,168,93,202,428,112,107,221,187,305,273,223,340,524,606,375,106,208,260,166,372,482,190,1643,497,818,187,3,282,231,287,149,206,80,2153,605,337,198,275,624,68,568,213,316,426,2099,207,353,37,176,215
think,23581,397,235,28,444,324,262,47,399,123,172,285,282,340,189,297,14,203,348,61,233,786,878,182,41,311,629,92,117,166,121,117,230,258,277,474,771,634,188,280,148,139,304,582,74,1596,635,1036,89,3,174,75,280,184,59,208,1986,160,287,336,152,432,44,446,236,77,234,1592,135,290,31,162,160
come,23242,183,514,89,257,209,343,314,281,159,141,294,193,249,333,365,16,149,436,294,123,428,823,179,72,142,719,134,99,283,202,347,196,221,272,480,513,403,86,176,204,156,302,493,188,1441,514,512,227,7,166,235,400,192,176,120,1293,463,385,277,189,435,161,589,280,147,407,1603,305,320,54,132,152
time,19640,148,369,82,253,154,236,65,245,137,249,383,212,476,304,366,25,269,285,330,145,362,486,175,71,247,335,143,141,159,104,130,151,183,203,321,458,301,151,221,190,130,265,350,209,946,507,734,100,1,402,88,441,261,62,56,1691,314,282,260,90,249,111,312,215,152,360,961,216,236,36,177,161
man,17443,137,285,48,56,133,219,764,63,183,110,687,19,293,89,150,42,272,270,608,67,793,656,194,44,232,659,234,57,224,154,152,38,31,67,115,114,148,32,22,167,126,453,843,310,486,424,252,30,6,47,124,757,212,76,264,246,336,310,202,176,268,274,224,98,106,231,1271,234,224,47,98,60
tell,16064,210,347,17,180,168,244,70,209,45,167,286,286,311,186,231,46,201,268,55,87,256,628,55,80,267,398,91,97,136,80,106,185,201,222,439,557,369,82,123,154,134,210,295,85,775,548,882,35,1,118,38,193,79,85,20,1333,249,298,233,26,206,53,201,184,112,110,695,209,273,21,124,99
hand,14514,95,150,13,255,110,202,270,146,124,126,197,84,238,86,123,7,124,290,157,97,461,403,147,51,151,421,107,77,117,103,79,115,139,217,345,446,357,34,206,112,79,149,283,129,1046,362,321,136,2,61,106,335,158,94,134,639,104,320,188,158,354,141,422,179,47,199,946,84,163,11,72,110
