word,total_count
parolee,6
glioblastoma,4
perjury,4
quesadilla,4
exonerated,3
exoneration,3
recantation,3
defrock,2
disbarment,2
inflammatory,2
lawfully,2
midfield,2
slone,2
teleconference,2
victimhood,2
antigovernment,1
atexx,1
atthew,1
ballcarrier,1
bartende,1
bookkeeper,1
bounding,1
boycotter,1
boyette,1
cajoling,1
cancerous,1
chatterbox,1
cicely,1
coddler,1
correctional,1
deadlift,1
decaf,1
discomforting,1
divisiveness,1
ednesday,1
embezzler,1
enamor,1
enrollment,1
evolving,1
fingerprinting,1
forgone,1
hairdresser,1
initiating,1
janitorial,1
jilt,1
jogged,1
kindergartner,1
likelier,1
longview,1
mistreated,1
noncriminal,1
obbie,1
onte,1
ost,1
pancuronium,1
pantsuit,1
pugilistic,1
reelection,1
rehabbe,1
relaxer,1
ruder,1
schroeder,1
semiprivate,1
she'd,1
shortest,1
sirloin,1
sleaze,1
statewide,1
stenotype,1
subplot,1
synodical,1
thiopental,1
thrus,1
tiebreaker,1
tightfisted,1
unconfessed,1
unconvicted,1
unday,1
untreatable,1
videoe,1
wacko,1
windbag,1
ya'll,1
