word,total_count,chapter_count,chapters
say,1483,18,"5:9,7:136,8:225,10:160,11:2,12:2,13:3,14:3,15:1,16:1,17:11,18:11,19:100,21:225,23:87,24:178,26:316,28:13"
go,474,15,"5:7,7:34,8:68,10:46,11:1,13:2,17:3,18:2,19:28,21:60,23:31,24:73,26:111,28:7,29:1"
come,436,13,"5:11,7:26,8:41,10:40,13:1,15:3,18:4,19:48,21:56,23:28,24:77,26:98,28:3"
want,427,14,"5:1,7:22,8:65,10:56,14:1,15:1,17:3,18:2,19:34,21:46,23:26,24:70,26:95,28:5"
chip,355,9,"5:1,7:93,8:104,10:5,19:2,21:2,24:44,26:97,28:7"
think,348,16,"5:2,7:25,8:62,10:30,12:1,13:1,15:1,17:2,19:22,21:51,23:22,24:47,26:76,28:4,32:1,36:1"
know,341,15,"5:2,7:27,8:38,10:29,15:3,17:5,18:1,19:34,21:48,23:18,24:60,26:72,28:2,31:1,34:1"
look,310,16,"5:6,7:20,8:43,10:26,12:1,14:1,15:3,17:2,18:4,19:23,21:46,23:12,24:49,26:69,28:4,31:1"
feel,306,15,"5:6,7:31,8:37,10:15,11:1,14:1,15:2,16:1,18:1,19:19,21:54,23:27,24:55,26:53,28:3"
take,306,14,"5:4,7:38,8:47,10:20,13:1,17:6,18:1,19:11,21:51,23:19,24:37,26:66,28:4,32:1"
hand,290,14,"5:3,7:25,8:48,10:10,13:1,14:1,15:2,16:1,17:1,19:26,21:38,23:19,24:37,26:78"
time,285,17,"5:7,7:24,8:31,10:29,11:2,13:1,14:1,15:1,16:1,18:5,19:15,21:45,23:14,24:44,26:57,28:7,31:1"
work,281,17,"5:3,7:25,8:40,10:15,11:1,13:5,15:2,17:1,18:1,19:13,21:45,23:33,24:57,26:32,28:4,31:3,34:1"
thing,277,14,"5:5,7:20,8:52,10:15,12:1,13:1,17:1,19:14,21:70,23:13,24:33,26:46,28:4,35:2"
man,270,18,"5:3,7:19,8:56,10:13,11:2,12:3,13:1,14:1,15:1,17:1,18:1,19:10,21:68,23:24,24:31,26:32,28:3,35:1"
tell,268,14,"7:14,8:32,10:31,15:1,17:3,18:6,19:16,21:42,23:21,24:33,26:62,28:5,32:1,35:1"
year,260,14,"5:9,7:27,8:38,10:38,11:2,13:2,15:4,18:1,19:16,21:43,23:23,24:27,26:23,28:7"
get,251,14,"5:2,7:15,8:33,10:24,11:1,16:1,17:4,18:1,19:31,21:39,23:20,24:38,26:41,28:1"
day,249,14,"5:4,7:19,8:29,10:23,11:1,13:3,17:1,18:3,19:7,21:48,23:23,24:44,26:37,28:7"
good,241,15,"1:1,7:26,8:38,10:15,13:1,14:1,15:1,17:6,18:2,19:22,21:38,23:20,24:40,26:27,28:3"
old,237,15,"5:4,7:18,8:35,10:35,12:2,14:1,15:1,17:1,18:2,19:11,21:28,23:20,24:31,26:46,28:2"
little,236,13,"5:2,7:18,8:38,10:17,16:1,17:1,18:2,19:13,21:41,23:15,24:33,26:52,28:3"
room,232,13,"5:10,7:16,8:19,10:20,15:1,17:1,18:1,19:10,21:49,23:19,24:22,26:63,28:1"
head,230,16,"5:4,7:13,8:27,10:20,11:1,13:1,16:1,18:3,19:19,21:42,23:20,24:29,26:47,28:1,31:1,35:1"
house,226,13,"5:7,7:13,8:13,10:24,11:1,15:1,18:1,19:24,21:30,23:31,24:28,26:47,28:6"
ask,222,13,"5:1,7:14,8:24,10:14,11:1,13:2,18:4,19:17,21:33,23:12,24:32,26:65,28:3"
way,214,15,"5:3,7:14,8:28,10:17,13:1,15:1,17:2,18:2,19:15,21:45,23:14,24:32,26:38,29:1,31:1"
right,207,15,"5:1,7:13,8:23,10:22,13:2,17:1,18:2,19:25,21:37,23:9,24:19,26:46,28:3,31:1,34:3"
eye,204,12,"7:18,8:20,10:17,12:1,13:1,17:1,18:2,19:14,21:43,23:22,24:21,26:44"
long,199,15,"5:7,7:23,8:24,10:19,13:5,14:1,15:2,18:1,19:9,21:26,23:14,24:28,26:31,28:8,29:1"
leave,197,16,"5:3,7:15,8:16,10:12,13:2,15:2,17:1,18:1,19:15,21:38,23:14,24:29,26:45,28:2,31:1,35:1"
find,193,15,"5:4,7:17,8:28,10:9,11:2,13:2,15:1,18:2,19:4,21:32,23:13,24:29,26:46,28:3,35:1"
let,191,11,"7:7,8:17,10:20,17:1,18:4,19:18,21:21,23:15,24:36,26:51,28:1"
door,189,9,"5:5,7:36,8:11,10:16,19:20,21:23,23:11,24:26,26:41"
life,182,15,"5:5,7:12,8:17,10:21,12:1,13:1,15:1,19:12,21:34,23:6,24:31,26:32,28:7,30:1,31:1"
night,179,14,"5:1,7:13,8:15,10:9,12:1,13:3,17:1,18:7,19:5,21:52,23:14,24:37,26:18,28:3"
hour,173,14,"5:4,7:13,8:12,10:17,11:2,13:8,17:1,18:3,19:23,21:31,23:9,24:14,26:32,28:4"
see,169,12,"5:2,7:16,8:23,10:14,11:1,18:2,19:10,21:40,23:6,24:26,26:24,28:5"
love,167,14,"5:5,7:14,8:25,10:24,13:4,18:1,19:7,21:23,23:7,24:30,26:18,28:6,30:2,31:1"
light,155,10,"5:5,7:24,8:10,10:13,16:2,19:9,21:22,23:3,24:18,26:49"
sit,155,12,"5:2,7:11,8:31,10:16,12:1,18:1,19:9,21:27,23:11,24:15,26:28,28:3"
face,152,11,"5:3,7:12,8:23,10:16,13:1,19:10,21:23,23:8,24:18,26:37,28:1"
people,152,12,"5:1,7:16,8:14,10:8,14:1,15:2,19:6,21:38,23:4,24:24,26:34,28:4"
give,149,11,"5:3,7:10,8:24,10:15,13:2,19:8,21:16,23:13,24:30,26:26,28:2"
turn,146,15,"5:2,7:21,8:15,10:16,14:1,15:1,18:3,19:12,21:26,23:7,24:11,26:28,28:1,29:1,35:1"
mother,145,10,"5:1,7:13,8:8,10:32,19:5,21:24,23:14,24:16,26:30,28:2"
hear,143,14,"5:7,7:13,8:11,10:17,11:1,13:1,16:1,18:1,19:14,21:33,23:12,24:11,26:20,28:1"
try,143,11,"5:4,7:5,8:21,10:19,17:2,19:7,21:15,23:11,24:15,26:42,28:2"
talk,142,10,"7:9,8:24,10:30,17:1,18:1,19:13,21:20,23:4,24:18,26:22"
need,138,12,"5:3,7:9,8:24,10:18,17:2,18:3,19:12,21:21,23:7,24:19,26:19,28:1"
run,138,10,"7:14,8:14,10:23,13:1,19:7,21:21,23:10,24:23,26:24,28:1"
big,136,13,"5:4,7:14,8:20,10:13,11:3,13:2,17:1,19:8,21:25,23:15,24:14,26:15,35:2"
home,136,13,"5:2,7:12,8:19,10:11,12:1,13:3,19:10,21:13,23:9,24:28,26:24,28:3,35:1"
open,133,10,"5:6,7:23,8:16,10:11,17:1,19:9,21:17,23:5,24:15,26:30"
bed,132,10,"7:6,8:11,10:11,18:2,19:8,21:39,23:8,24:17,26:29,28:1"
kitchen,131,8,"7:4,8:22,10:22,19:8,21:16,23:2,24:30,26:27"
fall,130,12,"5:4,7:9,8:17,10:6,13:2,19:6,21:24,23:6,24:29,26:25,28:1,30:1"
morning,130,11,"5:4,7:11,8:3,10:7,13:2,18:3,19:3,21:33,23:9,24:23,26:32"
girl,128,12,"7:13,8:12,10:2,12:1,13:1,19:5,21:15,23:17,24:34,26:25,28:2,32:1"
call,126,13,"5:1,7:16,8:13,10:16,11:1,15:1,18:4,19:8,21:15,23:7,24:21,26:22,28:1"
father,125,13,"7:17,8:7,10:17,11:2,13:3,17:2,18:2,19:4,21:10,23:15,24:12,26:33,28:1"
young,125,15,"7:19,8:26,10:5,11:1,12:1,13:1,15:2,18:1,19:6,21:28,23:7,24:16,26:9,28:2,29:1"
money,124,14,"5:4,7:16,8:28,10:12,11:3,13:1,15:2,17:1,19:5,21:17,23:6,24:21,26:7,28:1"
week,124,13,"5:1,7:11,8:22,10:12,11:1,13:3,18:2,19:8,21:13,23:6,24:26,26:16,28:3"
well,124,13,"5:2,7:10,8:19,10:10,12:1,13:1,19:5,21:21,23:6,24:17,26:29,28:2,31:1"
woman,122,11,"5:3,7:28,8:10,10:6,19:10,21:24,23:9,24:22,26:8,28:1,29:1"
voice,121,12,"7:14,8:13,10:10,12:1,13:1,19:11,21:15,23:4,24:22,26:28,30:1,35:1"
new,119,13,"5:2,7:12,8:21,10:14,11:1,18:1,19:7,21:13,23:7,24:17,26:17,28:6,29:1"
table,119,11,"5:10,7:3,8:14,10:11,19:11,21:29,23:10,24:12,26:17,28:1,35:1"
buy,117,13,"5:3,7:11,8:17,10:11,11:3,15:2,17:1,18:1,19:8,21:11,23:6,24:18,26:25"
person,117,11,"5:3,7:10,8:14,10:5,18:1,19:5,21:24,23:9,24:28,26:17,32:1"
away,115,13,"5:2,7:9,8:10,10:2,11:1,16:1,19:10,21:21,23:4,24:17,26:34,28:3,29:1"
dinner,115,10,"7:10,8:9,10:10,18:1,19:8,21:30,23:8,24:25,26:11,28:3"
pay,115,10,"5:1,7:9,8:19,10:9,19:1,21:22,23:12,24:18,26:21,28:3"
like,114,11,"5:1,7:8,8:14,10:6,18:1,19:6,21:21,23:9,24:28,26:19,28:1"
chair,113,14,"5:21,7:2,8:14,10:8,11:1,13:1,14:1,15:1,19:8,21:16,23:7,24:9,26:22,28:2"
child,113,11,"5:4,7:7,8:23,10:8,18:2,19:3,21:19,23:12,24:8,26:23,28:4"
maybe,112,10,"7:3,8:13,10:4,18:1,19:11,21:32,23:3,24:21,26:23,35:1"
help,111,15,"5:1,7:11,8:10,10:3,14:2,15:2,16:1,17:2,18:1,21:16,23:5,24:11,26:40,28:5,35:1"
family,110,13,"5:5,7:6,8:18,10:18,18:1,19:7,21:9,23:9,24:10,26:24,30:1,32:1,35:1"
phone,109,10,"7:10,8:37,10:20,11:1,15:1,18:1,19:8,21:6,24:19,26:6"
word,106,10,"5:6,7:10,8:10,10:14,19:6,21:23,23:5,24:14,26:17,28:1"
dollar,105,10,"5:3,7:9,8:33,10:11,12:1,19:6,21:15,23:3,24:12,26:12"
parent,105,12,"7:29,8:8,10:19,11:1,12:1,15:1,19:3,21:2,23:7,24:16,26:17,32:1"
floor,103,8,"7:2,8:18,10:11,19:6,21:26,23:6,24:10,26:24"
hard,103,10,"7:11,8:16,10:3,11:1,18:1,19:8,21:17,23:4,24:22,26:20"
world,103,10,"7:5,8:12,10:9,11:1,19:4,21:37,23:6,24:13,26:15,28:1"
bad,102,11,"5:2,7:6,8:17,10:2,13:1,17:1,19:1,21:22,23:5,24:26,26:19"
stand,102,10,"5:3,7:7,8:14,10:11,19:11,21:16,23:6,24:12,26:21,35:1"
believe,101,11,"5:3,7:6,8:15,10:8,18:1,19:5,21:22,23:6,24:17,26:17,28:1"
end,101,14,"5:6,7:11,8:6,10:9,13:2,15:1,18:1,19:3,21:16,23:9,24:15,26:20,28:1,35:1"
shake,101,11,"5:3,7:6,8:18,10:13,18:1,19:8,21:11,23:8,24:4,26:28,28:1"
great,99,14,"5:4,7:19,8:8,10:4,11:1,12:1,18:2,19:2,21:19,23:5,24:15,26:16,32:1,35:2"
understand,99,12,"7:2,8:16,10:10,13:1,15:1,17:1,18:2,19:8,21:18,23:4,24:4,26:32"
problem,96,11,"7:7,8:20,10:10,17:1,18:1,19:8,21:18,23:8,24:13,26:9,28:1"
sleep,96,12,"5:1,7:6,8:6,10:2,13:5,18:6,19:8,21:21,23:4,24:19,26:16,28:2"
window,96,10,"5:2,7:8,8:16,10:8,19:5,21:8,23:5,24:12,26:31,28:1"
return,95,11,"7:7,8:12,10:4,11:1,13:1,19:9,21:18,23:5,24:16,26:19,28:3"
boy,92,11,"5:1,7:4,8:5,10:21,18:3,19:3,21:34,23:11,24:3,26:6,32:1"
friend,92,12,"5:1,7:14,8:20,10:1,17:3,18:1,19:3,21:16,23:4,24:11,26:16,28:2"
month,92,12,"5:4,7:5,8:15,10:8,11:1,18:2,19:7,21:11,23:6,24:14,26:15,28:4"
