word,total_count,chapter_count,chapters
bull,2055,46,"6:29,7:80,8:62,9:32,10:5,11:24,12:47,13:38,14:31,15:17,16:147,17:91,18:124,19:83,20:29,21:40,22:76,23:146,24:204,25:6,26:83,28:67,29:36,30:81,31:42,32:18,33:14,34:9,35:5,36:3,37:6,38:18,39:5,40:60,41:23,42:8,43:65,44:24,45:30,46:32,47:64,48:9,49:33,51:5,52:3,60:1"
man,608,43,"6:13,7:27,8:12,9:2,10:6,11:10,12:11,13:13,14:6,15:22,16:29,17:18,18:22,19:6,20:14,21:9,22:47,23:56,24:87,25:4,26:26,28:8,29:4,30:22,31:10,32:4,33:9,34:4,35:2,37:2,38:2,39:1,40:13,41:7,43:18,44:5,45:10,46:14,47:14,49:16,51:1,52:1,66:1"
fight,509,55,"6:4,7:8,8:13,9:26,10:8,11:8,12:8,13:12,14:8,15:3,16:34,17:22,18:28,19:27,20:3,21:3,22:7,23:17,24:43,25:6,26:5,28:7,29:7,30:8,31:4,32:3,33:1,34:2,35:1,37:1,38:2,39:2,40:9,41:7,43:12,44:1,45:5,46:9,47:11,48:2,49:1,51:25,52:12,54:4,55:3,56:2,57:2,58:2,59:5,60:9,61:18,62:29,63:7,64:1,65:2"
kill,461,40,"6:2,7:26,8:13,9:8,10:1,11:4,12:12,13:10,14:8,15:6,16:20,17:17,18:30,19:9,20:14,21:13,22:3,23:23,24:116,25:8,26:26,28:15,29:6,30:6,31:7,34:1,38:2,39:1,40:11,41:1,42:3,43:12,44:2,45:5,46:3,47:6,48:1,49:6,51:1,52:3"
matador,444,42,"6:1,7:7,8:13,9:1,11:23,12:12,13:17,14:23,15:11,16:5,17:3,18:19,19:23,20:13,21:1,22:26,23:33,24:31,25:3,26:11,28:25,29:10,30:9,31:8,32:3,33:3,34:1,35:1,37:1,39:1,40:17,41:9,42:12,43:15,44:5,45:8,46:8,47:10,49:7,51:7,52:7,65:1"
bullfighter,438,44,"6:14,7:17,8:9,9:13,10:11,11:13,12:16,13:15,14:24,15:8,16:11,17:9,18:20,19:33,20:5,21:2,22:9,23:41,24:24,25:2,26:2,28:11,29:7,30:25,31:7,32:3,33:3,34:2,36:1,37:3,38:1,40:12,41:10,42:1,43:11,44:6,45:11,46:7,47:9,49:3,50:1,51:2,52:3,64:1"
ring,385,46,"6:15,7:14,8:26,9:20,10:1,11:21,12:2,13:8,14:3,15:6,16:31,17:6,18:17,19:14,20:1,21:19,22:6,23:14,24:20,25:5,26:15,28:19,29:5,30:14,31:8,32:7,34:1,36:1,37:1,39:3,40:14,41:4,42:1,43:8,44:1,45:4,46:4,47:14,48:1,49:2,50:1,51:3,52:2,57:1,60:1,69:1"
good,362,37,"6:15,7:2,8:19,9:25,10:14,11:6,12:1,13:11,14:16,15:5,16:9,17:22,18:9,19:30,20:3,21:12,22:21,23:25,24:41,25:6,26:1,28:5,30:10,32:1,34:1,40:5,42:3,44:4,45:1,46:1,47:1,49:13,51:11,52:5,62:6,63:1,64:1"
horn,332,37,"6:2,7:10,8:15,9:5,11:1,12:9,13:6,14:3,15:3,16:26,17:33,18:10,19:15,20:4,21:4,22:7,23:28,24:51,26:21,28:8,29:6,30:7,31:4,32:4,34:1,35:1,38:2,39:3,40:4,41:3,43:10,44:1,45:5,46:2,47:3,49:14,52:1"
time,330,36,"6:14,7:4,8:8,9:14,10:10,11:5,12:4,13:15,14:11,15:7,16:14,17:15,18:16,19:18,20:7,21:10,22:13,23:25,24:58,25:3,26:5,28:4,30:3,31:1,33:2,34:2,40:3,41:3,43:5,44:2,45:5,46:2,47:2,49:3,51:11,52:6"
bullfight,312,49,"6:33,7:10,8:19,9:29,10:9,11:3,12:10,13:4,14:9,15:6,16:7,17:1,18:15,19:4,20:2,21:2,22:9,23:8,24:20,26:6,28:7,29:2,30:8,31:2,32:1,33:3,38:2,39:1,40:6,41:6,43:9,45:9,46:4,47:5,48:2,51:19,52:1,54:2,55:1,56:1,57:2,58:2,59:1,60:2,62:1,63:1,64:1,65:3,66:2"
cape,312,39,"6:2,7:8,8:1,9:2,10:1,11:11,12:24,13:7,14:7,15:2,16:11,17:4,18:18,19:1,20:36,22:20,23:16,24:22,25:2,26:7,28:9,29:2,30:13,31:6,32:2,33:6,34:2,36:1,37:1,39:3,40:16,41:5,43:6,44:4,45:6,46:5,47:7,49:10,52:6"
come,294,42,"6:3,7:5,8:1,9:16,10:6,11:11,12:7,13:7,14:8,15:10,16:11,17:13,18:14,19:17,20:5,21:2,22:11,23:22,24:47,25:16,26:13,28:6,29:3,30:4,31:2,32:1,34:1,36:1,40:4,41:2,42:1,43:3,44:2,45:2,46:2,47:2,49:4,51:2,52:2,58:1,61:2,62:2"
go,279,40,"6:7,7:8,8:3,9:7,10:7,11:5,12:4,13:16,14:10,15:9,16:10,17:5,18:20,19:5,20:8,21:2,22:1,23:25,24:55,25:7,26:7,28:4,29:5,30:5,31:3,32:1,33:1,34:1,36:1,39:1,40:4,43:9,44:1,45:2,46:2,47:7,49:4,51:5,52:1,62:1"
horse,277,30,"6:45,8:3,9:1,11:18,12:2,13:1,14:4,15:4,16:17,17:10,18:4,20:4,21:63,22:2,23:6,24:1,25:4,26:13,28:3,29:1,30:14,31:2,37:2,39:1,40:2,43:15,44:3,45:1,46:1,51:30"
sword,274,36,"7:7,8:2,10:1,11:4,12:2,13:21,14:5,15:3,17:1,18:6,19:3,20:1,22:2,23:19,24:82,25:1,26:8,28:19,29:6,30:8,31:13,32:11,34:1,35:1,39:1,40:8,41:1,42:1,43:12,44:2,45:5,46:6,47:3,48:1,49:6,52:1"
great,273,35,"6:11,7:4,8:3,9:8,10:5,11:4,12:6,13:10,14:13,15:17,16:8,17:7,18:6,19:9,20:11,21:4,22:10,23:42,24:56,25:6,26:4,29:1,30:4,34:1,38:1,39:1,40:3,41:1,42:1,43:3,45:2,49:1,51:4,52:5,63:1"
pass,272,35,"6:1,8:1,9:1,10:2,11:2,12:11,13:3,14:5,16:7,17:2,18:16,19:6,20:10,21:4,22:8,23:49,24:18,25:2,26:16,28:9,29:2,30:6,31:5,32:2,33:7,39:4,40:10,41:6,43:13,44:1,45:9,46:5,47:14,48:1,49:14"
charge,266,37,"6:4,7:7,8:6,11:1,12:5,13:1,14:2,15:4,16:42,17:9,18:21,19:7,20:5,21:4,22:13,23:23,24:5,26:10,28:7,29:3,30:12,31:5,32:4,33:2,34:2,36:2,37:3,39:2,40:5,41:3,43:11,44:4,45:7,46:4,47:6,49:9,51:6"
muleta,265,38,"7:3,8:1,9:1,10:1,12:4,13:6,14:7,15:2,16:5,17:3,18:8,19:2,20:8,22:3,23:64,24:46,25:2,26:8,28:17,29:1,30:7,31:7,32:2,33:1,34:1,36:1,39:2,40:12,41:4,42:3,43:11,44:1,45:5,46:1,47:10,48:1,49:2,52:2"
place,252,40,"6:2,7:1,8:10,9:17,10:4,11:3,12:5,13:3,14:1,15:8,16:7,17:2,18:21,19:4,20:5,21:7,22:31,23:8,24:16,25:2,26:8,28:6,29:9,30:10,31:6,32:2,33:4,35:1,36:1,37:2,38:1,40:8,43:8,44:4,45:3,46:5,47:11,49:3,52:2,65:1"
work,226,38,"6:4,7:2,8:3,9:1,10:1,11:1,12:8,13:7,14:8,15:3,16:4,17:7,18:13,19:16,20:9,21:5,22:12,23:30,24:21,25:5,26:7,28:7,29:3,30:5,31:1,32:3,33:3,38:1,39:1,40:7,41:3,42:1,43:6,45:1,46:7,47:3,51:4,52:3"
see,224,31,"6:18,7:9,8:7,9:6,10:9,11:1,12:2,13:8,14:6,15:3,16:9,17:15,18:10,19:10,20:6,21:5,22:17,23:18,24:27,25:3,26:2,28:2,30:3,31:2,37:1,40:4,45:2,46:2,47:2,51:13,52:2"
way,202,36,"6:6,7:4,8:5,9:2,10:4,11:5,12:8,13:6,14:6,15:3,16:13,17:8,18:19,19:5,20:4,21:2,22:16,23:14,24:25,25:2,26:2,28:1,30:4,31:3,32:1,33:1,40:5,41:1,42:1,43:7,45:4,47:8,49:1,51:2,52:3,68:1"
year,200,30,"6:6,7:6,8:2,9:8,10:4,12:7,13:12,14:17,15:1,16:15,17:17,18:4,19:11,20:1,22:2,23:11,24:24,25:9,26:2,28:2,29:1,31:1,38:4,40:1,41:3,43:1,45:3,48:2,51:19,52:4"
know,196,30,"6:18,7:9,8:4,9:5,10:10,11:4,12:5,13:3,14:9,15:9,16:11,17:15,18:9,19:10,20:5,21:8,22:5,23:14,24:18,25:7,26:5,29:1,38:1,40:4,43:1,44:1,45:1,47:1,51:1,52:2"
old,173,34,"6:2,7:3,8:3,9:4,10:2,11:1,12:11,13:7,14:9,15:7,16:11,17:12,18:8,19:14,20:13,21:8,22:2,23:5,24:11,25:8,29:1,30:1,31:1,34:1,38:3,39:1,40:1,43:2,44:1,45:1,46:1,47:2,48:1,51:15"
take,163,39,"6:3,7:4,8:4,9:6,10:2,11:2,12:1,13:1,14:1,15:5,16:7,17:4,18:6,19:3,20:8,21:1,22:11,23:18,24:17,25:5,26:9,28:4,30:4,31:2,32:1,34:2,35:1,36:1,40:3,41:2,42:1,43:2,44:4,45:1,46:2,47:5,49:1,51:7,52:2"
bullfighte,159,34,"3:1,6:7,7:7,8:1,9:4,12:5,13:5,14:16,15:2,16:6,17:5,18:8,19:11,20:9,21:3,22:3,23:13,24:12,28:1,30:3,32:1,33:1,34:1,40:4,41:2,43:5,44:1,45:4,46:6,47:2,49:4,51:3,52:2,61:1"
hand,157,35,"6:1,7:1,8:1,11:3,12:8,13:10,14:2,15:1,16:2,17:4,18:4,19:3,20:3,22:4,23:22,24:23,25:1,26:3,28:3,30:10,31:2,33:1,34:1,36:1,37:2,39:1,40:10,41:2,42:2,43:10,44:2,45:4,46:1,49:7,52:2"
day,153,39,"6:2,7:2,8:7,9:7,10:7,11:7,12:5,13:4,14:9,16:3,17:12,18:3,19:7,20:4,21:7,22:2,23:6,24:17,25:5,26:1,29:1,31:2,32:1,37:1,40:2,41:1,43:2,44:2,45:3,46:2,49:1,52:4,55:1,57:1,58:1,60:2,61:3,62:5,63:1"
thing,149,24,"6:34,7:5,8:1,10:7,12:8,13:4,14:6,15:9,16:5,17:9,18:5,19:4,21:9,22:4,23:7,24:16,25:6,26:2,28:1,30:1,43:1,47:2,49:1,51:2"
give,144,38,"6:6,7:1,8:1,9:4,10:2,11:1,12:2,13:3,14:5,16:5,17:7,18:11,20:2,21:2,22:2,23:15,24:20,26:3,28:11,30:3,31:1,32:1,33:1,38:1,41:3,42:2,43:5,45:1,46:3,47:5,49:1,51:2,52:2,54:2,56:2,60:1,62:3,64:2"
head,144,36,"6:1,7:2,8:3,9:1,10:1,11:2,12:2,13:1,15:4,16:8,17:7,18:10,19:2,20:1,21:3,22:6,23:11,24:20,25:4,26:5,28:4,29:3,30:10,31:5,32:1,33:2,35:1,37:1,38:1,40:4,42:1,43:4,45:2,46:3,47:6,49:2"
foot,142,30,"6:1,7:10,8:3,9:2,11:1,12:1,13:4,14:7,15:1,16:5,17:7,18:2,21:5,22:11,23:15,24:26,25:2,26:2,28:3,29:1,30:3,31:2,32:1,36:1,39:2,40:3,43:9,45:2,47:3,49:7"
wound,141,32,"6:5,7:3,10:1,13:5,14:4,15:1,16:4,17:6,18:5,19:9,21:6,22:3,23:12,24:30,25:2,26:2,28:2,29:1,30:6,31:2,32:2,33:2,38:1,40:1,41:2,43:7,44:2,45:1,46:4,49:5,51:1,52:4"
look,139,30,"3:1,6:3,7:6,8:6,9:9,10:8,11:6,12:4,13:3,14:9,15:1,16:4,17:8,18:13,19:2,20:6,21:2,22:1,23:8,24:12,25:5,26:8,30:1,34:1,36:1,40:1,43:1,49:1,51:7,56:1"
call,135,34,"6:1,7:2,8:16,9:5,10:4,12:4,13:4,14:1,15:2,16:3,17:9,18:3,19:3,20:3,21:1,22:8,23:10,24:10,25:1,26:4,28:1,29:5,30:10,33:1,36:1,38:1,40:5,41:2,43:4,45:1,46:2,47:5,49:1,51:2"
picador,133,25,"6:2,8:2,11:14,12:2,15:5,16:16,17:3,18:8,20:4,21:26,22:3,24:6,26:6,28:2,29:3,30:5,31:2,32:2,34:1,40:4,41:1,43:9,44:3,47:2,51:2"
turn,131,35,"7:3,8:3,9:5,10:1,11:1,12:8,13:2,16:10,17:6,18:6,19:2,20:4,21:3,22:5,23:12,24:8,25:1,26:3,28:2,29:4,30:2,31:6,33:2,34:1,36:1,40:7,41:4,43:4,44:1,45:4,46:1,47:4,48:1,49:3,52:1"
say,130,30,"6:2,7:2,9:1,11:1,12:2,13:5,14:2,15:1,16:3,17:24,18:7,19:1,20:8,21:7,22:3,23:15,24:6,25:10,26:1,29:1,30:7,31:1,32:1,39:1,45:2,46:1,47:5,49:2,51:7,52:1"
make,129,34,"6:1,7:5,9:1,10:5,11:5,12:3,13:2,14:3,15:4,16:9,17:5,18:8,19:4,20:2,21:4,22:10,23:7,24:9,25:2,26:7,28:1,29:2,30:2,32:1,37:1,40:2,41:4,42:1,43:4,44:2,46:5,47:2,49:4,51:2"
long,126,33,"6:8,7:1,8:2,9:1,10:4,11:2,12:3,13:3,14:5,15:4,16:9,17:6,18:6,19:5,20:2,21:8,22:1,23:10,24:8,25:11,29:3,30:2,31:2,32:1,33:1,38:1,40:6,41:1,42:3,43:3,51:2,58:1,69:1"
right,126,32,"6:1,9:2,10:2,11:2,12:3,13:8,14:3,15:2,16:4,17:7,18:5,19:4,20:2,21:7,22:6,23:11,24:13,25:1,26:9,28:3,29:1,30:1,31:1,40:2,41:3,43:9,44:3,45:3,47:3,49:3,51:1,52:1"
close,125,30,"6:1,7:3,8:5,9:1,12:6,13:3,14:2,15:1,16:1,17:2,18:5,19:3,20:1,22:5,23:18,24:16,26:4,28:6,29:3,30:10,31:2,32:1,37:1,40:2,43:6,44:4,46:4,47:5,49:3,51:1"
hold,124,35,"7:3,8:2,9:5,10:1,12:4,13:7,15:2,16:6,17:7,18:3,19:1,20:2,21:3,22:2,23:17,24:11,25:4,26:2,28:5,29:1,30:5,31:2,32:2,33:1,37:1,39:1,40:3,41:3,43:6,45:2,47:1,49:6,51:1,53:1,62:1"
usually,123,38,"7:1,8:6,9:9,10:1,11:3,12:1,14:1,15:2,16:6,17:7,18:7,20:1,22:4,23:2,24:6,28:5,29:1,30:6,31:3,32:1,40:1,41:1,45:2,46:3,47:6,52:1,54:1,55:1,56:1,57:1,58:1,59:4,60:1,61:5,62:15,63:3,64:2,65:1"
animal,122,26,"6:18,7:5,12:6,13:2,15:2,16:16,17:13,18:1,19:7,20:4,21:4,22:2,23:8,24:7,26:1,28:3,30:7,31:2,32:2,38:3,40:1,41:1,43:3,45:1,46:1,47:2"
death,122,24,"3:1,6:19,7:8,11:2,12:1,13:7,14:4,15:10,16:3,17:7,18:2,19:2,20:2,21:2,22:3,23:12,24:24,26:6,28:1,34:1,35:1,40:2,43:1,47:1"
banderilla,117,24,"7:1,12:3,13:4,15:9,17:1,18:12,20:1,22:37,23:4,24:4,26:3,28:3,29:5,30:5,31:1,33:2,37:2,40:1,43:5,45:3,46:8,47:1,49:1,52:1"
end,114,32,"3:1,6:2,7:1,9:3,10:1,11:1,12:7,14:2,15:11,16:5,17:7,18:2,19:3,20:6,21:2,22:2,23:7,24:17,25:1,26:7,28:3,30:1,31:2,32:1,36:2,39:1,40:4,43:2,46:1,47:5,49:2,51:2"
brave,110,28,"6:4,7:2,8:1,11:4,12:1,13:9,14:8,16:10,17:12,18:2,19:6,21:1,22:3,23:14,24:11,25:4,26:4,28:1,29:2,38:1,40:1,41:1,42:1,43:1,45:2,47:1,48:1,52:2"
