word,total_count
bullfighting,44
novillero,23
querencia,22
estocade,17
novillada,17
descabello,15
torero,13
recibiendo,12
estocada,11
puntilla,10
cornada,9
morillo,8
alguacil,6
alternativa,6
torear,6
imitator,5
unskillful,5
venta,5
apartado,4
arrobas,4
aviso,4
ayudado,4
banderillear,4
burladero,4
cabestro,4
cagancho,4
estoque,4
mandar,4
mariposa,4
parar,4
peto,4
suavity,4
unsoundness,4
utrero,4
vender,4
veronicas,4
abono,3
ballplayer,3
blando,3
callejon,3
cambio,3
chato,3
cuarteo,3
descabellar,3
dismounted,3
dominator,3
grada,3
levantado,3
llegar,3
malo,3
medio,3
pinchazo,3
pleura,3
poder,3
propina,3
pundonor,3
rabioso,3
relance,3
sobrepuerta,3
sobresaliente,3
sombra,3
templar,3
torera,3
touchstone,3
trickily,3
umped,3
abnegation,2
acquiring,2
bajo,2
camomile,2
capote,2
chiquero,2
classicism,2
confianza,2
corta,2
corto,2
criadilla,2
defrauding,2
delantera,2
descabelloe,2
divisa,2
embiste,2
facultade,2
falsa,2
farol,2
gaonera,2
gentry,2
ginete,2
glosopeda,2
guaranty,2
herradero,2
horchata,2
horsewoman,2
impracticality,2
largas,2
molinete,2
monosabio,2
movido,2
ordinaire,2
overthrowing,2
oxlike,2
parone,2
percebe,2
pierna,2
prolongation,2
puntillero,2
rebolera,2
salida,2
serpentina,2
tacone,2
tela,2
terreno,2
timeliness,2
toros,2
unkillable,2
vuelta,2
abonos,1
aburrimiento,1
acostarse,1
adonde,1
adorno,1
aficion,1
afuero,1
ages,1
aguacil,1
aime,1
alamare,1
alas,1
anaesthetize,1
animalarian,1
antitetanus,1
aprovechar,1
armarse,1
arrastre,1
arriba,1
arriman,1
assis,1
bajonazo,1
ballyhoo,1
bantamweight,1
barelegge,1
bigwristed,1
billete,1
blanquet,1
bluffing,1
bombita,1
botella,1
botellazo,1
brindi,1
buey,1
burriciego,1
burying,1
caballos,1
cachete,1
cachetero,1
cacho,1
calle,1
calliopeist,1
cambiado,1
capeas,1
capeman,1
carile,1
carretera,1
carril,1
cartele,1
catching,1
categorie,1
censorable,1
cigala,1
citroen,1
clarine,1
clotted,1
cogida,1
coldblooded,1
collectable,1
colocar,1
compromised,1
conferring,1
confiar,1
conformation,1
conscienceless,1
consentirse,1
contrabarrera,1
corada,1
corridas,1
corriente,1
cowhood,1
cowhorne,1
cowpuncher,1
crecer,1
crescient,1
crucifier,1
crus,1
cruz,1
cuadrar,1
cuidado,1
cumbre,1
debutant,1
deducer,1
deducing,1
