word,total_count,chapter_count,chapters
say,941,19,"1:46,2:18,3:46,4:103,5:53,6:43,7:112,8:33,9:70,10:20,11:68,12:94,13:39,14:40,15:60,16:38,17:15,18:20,19:23"
think,233,19,"1:18,2:5,3:10,4:13,5:16,6:3,7:18,8:7,9:14,10:5,11:20,12:19,13:16,14:5,15:16,16:3,17:11,18:20,19:14"
know,203,19,"1:14,2:5,3:15,4:22,5:14,6:10,7:18,8:13,9:11,10:7,11:6,12:15,13:11,14:11,15:9,16:9,17:2,18:4,19:7"
android,182,18,"1:2,2:6,3:11,4:19,6:11,7:32,8:11,9:29,10:6,11:2,12:6,13:22,14:9,15:4,16:5,17:1,18:5,19:1"
time,145,19,"1:24,2:2,3:4,4:21,5:6,6:4,7:14,8:9,9:8,10:7,11:2,12:17,13:3,14:7,15:8,16:1,17:2,18:3,19:3"
get,129,19,"1:3,2:2,3:6,4:6,5:11,6:12,7:17,8:3,9:6,10:10,11:11,12:10,13:6,14:4,15:4,16:6,17:4,18:2,19:6"
want,127,19,"1:17,2:6,3:7,4:8,5:10,6:9,7:15,8:3,9:10,10:1,11:3,12:15,13:2,14:2,15:5,16:1,17:3,18:1,19:9"
come,123,19,"1:11,2:6,3:4,4:8,5:5,6:2,7:14,8:10,9:5,10:5,11:5,12:13,13:6,14:1,15:9,16:7,17:4,18:4,19:4"
way,111,19,"1:21,2:5,3:4,4:10,5:4,6:5,7:8,8:3,9:11,10:2,11:4,12:6,13:4,14:4,15:10,16:3,17:1,18:3,19:3"
animal,104,17,"1:20,2:8,3:11,4:2,5:21,6:2,7:1,8:2,9:4,11:3,12:19,14:2,15:1,16:1,17:1,18:2,19:4"
feel,100,18,"1:14,2:4,3:4,4:4,5:6,6:2,7:1,9:14,10:3,11:7,12:13,13:6,14:1,15:5,16:3,17:2,18:4,19:7"
go,100,19,"1:3,2:1,3:1,4:8,5:6,6:4,7:8,8:9,9:5,10:4,11:7,12:8,13:5,14:10,15:6,16:2,17:4,18:2,19:7"
find,97,17,"1:18,2:3,3:6,4:4,5:8,6:7,7:8,8:3,9:4,11:4,12:7,13:3,14:1,15:6,16:3,18:2,19:10"
hand,97,18,"1:7,3:6,4:5,5:5,6:9,7:10,8:3,9:8,10:2,11:3,12:6,13:6,14:3,15:9,16:5,17:1,18:1,19:8"
ask,95,16,"1:4,2:7,3:3,4:11,5:5,6:7,7:20,8:4,9:10,11:3,12:5,13:5,15:3,16:3,18:2,19:3"
test,94,13,"1:2,2:5,3:10,4:14,5:1,6:1,7:30,8:6,9:17,11:1,12:1,13:4,16:2"
look,89,18,"1:7,3:5,4:5,5:3,6:4,7:11,8:2,9:6,10:2,11:3,12:8,13:6,14:6,15:5,16:8,17:2,18:3,19:3"
see,87,18,"1:7,2:4,3:6,4:8,5:2,6:2,7:12,8:2,9:5,10:5,11:2,12:2,14:1,15:6,16:8,17:6,18:1,19:8"
tell,87,19,"1:3,2:2,3:4,4:8,5:8,6:6,7:6,8:2,9:6,10:1,11:6,12:9,13:6,14:1,15:1,16:5,17:3,18:5,19:5"
door,86,19,"1:2,2:3,3:1,4:17,5:1,6:2,7:6,8:10,9:2,10:9,11:5,12:5,13:1,14:1,15:4,16:9,17:3,18:2,19:3"
maybe,82,18,"1:3,3:2,4:4,5:13,6:2,7:8,8:4,9:6,10:4,11:4,12:12,13:4,14:2,15:3,16:3,17:3,18:2,19:3"
