word,total_count
stillsuit,99
thopter,88
sietch,75
suspensor,53
crysknife,39
baliset,37
lasgun,32
glowglobe,30
ornithopter,24
carryall,21
jihad,21
jabbar,20
gom,19
planetologist,19
sandworm,19
fief,16
paracompass,15
stilltent,15
catchpocket,13
kyne,13
slavemaster,12
weirding,12
ecologist,11
shipper,11
snooper,11
hutment,10
muad'dib,10
semuta,10
sandrider,9
filmbook,8
harkonnen,8
inkvine,8
kindjal,8
wormsign,8
kanly,7
literjon,7
pogrom,7
shigawire,7
weirde,7
bashar,6
cielago,6
niner,6
offworld,6
panoplia,6
propheticus,6
pru,6
tahaddi,6
watercounter,6
bindu,5
drachm,5
glowtab,5
hm,5
palmarie,5
psychokinesthetic,5
solaris,5
watermaster,5
yawm,5
aba,4
amtal,4
compaction,4
coriolis,4
doorfield,4
doorseal,4
elacca,4
faufreluche,4
filmclip,4
jetpod,4
palanquin,4
qanat,4
razzia,4
selamlik,4
sihaya,4
slipface,4
solido,4
yali,4
adab,3
arrakis,3
bakka,3
catchtube,3
chromoplastic,3
clifftop,3
demibrother,3
distractor,3
drumsand,3
ecumenism,3
esther,3
eunuch,3
fenring,3
gesserit,3
highborn,3
jasmium,3
magnifier,3
mantene,3
mentat,3
multipick,3
plasteel,3
pyon,3
sandtrout,3
sandwave,3
sapho,3
scarp,3
siridar,3
tau,3
terranic,3
truthtrance,3
unfixed,3
usul,3
wahad,3
aldehyde,2
antifatigue,2
arunne,2
ayat,2
baklawa,2
birthworld,2
bled,2
browline,2
buglike,2
burhan,2
burred,2
catalepsis,2
chanty,2
chauma,2
chaumurky,2
cheop,2
chukka,2
communinet,2
crinkling,2
crysknive,2
cutteray,2
decagram,2
decaliter,2
distran,2
eto,2
fai,2
filmbase,2
fingerboard,2
governorship,2
hajra,2
hatchetman,2
hookman,2
hornspout,2
huddling,2
hufuf,2
jubba,2
krimskell,2
lawfulness,2
manling,2
mape,2
misece,2
mish,2
moonshadowed,2
mudir,2
nervature,2
nightbird,2
noukker,2
offworlder,2
operable,2
pentashield,2
poisoned,2
portygul,2
proce,2
pundi,2
qirtaiba,2
rachag,2
recath,2
repkit,2
ridgetop,2
sandride,2
sandslope,2
sandsnork,2
sandtide,2
sandworker,2
sarfa,2
scythelike,2
semiformal,2
shadout,2
simpatico,2
southland,2
spacebag,2
stealer,2
subdistrict,2
swordmaster,2
taqwa,2
thwok,2
trinocular,2
truthsense,2
umma,2
unsheath,2
verite,2
waterman,2
watersack,2
weaselish,2
whipsnap,2
ablation,1
adhesion,1
adroitness,1
afterjet,1
aguile,1
aiee,1
almighdy,1
amaranth,1
ampoliros,1
aplomage,1
arbitral,1
archeologist,1
arming,1
astuteness,1
atreide,1
attacher,1
attitudinal,1
auliya,1
banding,1
bandslide,1
baradye,1
barbman,1
barony,1
bedcushion,1
bela,1
bewt,1
bibliographic,1
bis,1
bladeless,1
blinksquirt,1
blunting,1
botanical,1
bourkas,1
bravo,1
brighd,1
broodmare,1
broomp,1
buddislamic,1
burda,1
burseg,1
cacti,1
caid,1
candelilla,1
canto,1
caprock,1
capsign,1
capturing,1
castellate,1
catalyze,1
catchbasin,1
catchphrase,1
causeth,1
centerpost,1
centrifugally,1
cepeda,1
cf,1
chanter,1
chantey,1
chenopod,1
cher,1
choam,1
cityfolk,1
cliffbase,1
clouding,1
cloudmilk,1
clustered,1
coagulation,1
composing,1
concubinage,1
conforming,1
consolidation,1
corpsman,1
counterblow,1
counterespionage,1
countersurge,1
cousine,1
coverflight,1
cresting,1
crustal,1
curettement,1
curving,1
dampened,1
dartgun,1
dawnbreak,1
daysign,1
daywatch,1
deepness,1
depreciated,1
desensitize,1
devilishly,1
devised,1
dewsparkle,1
disciplining,1
disguising,1
dissembler,1
distillate,1
distinctiveness,1
docker,1
dolsa,1
doorplate,1
doorsign,1
downflash,1
downflashe,1
driest,1
druse,1
duchy,1
duraluminum,1
earldom,1
ebaline,1
eeeeeeeeeeeh,1
effluvia,1
enclosing,1
enfin,1
enriched,1
enticingly,1
entretisser,1
entrisseur,1
epicanthic,1
evensong,1
ever'thing,1
excursionist,1
extenuating,1
faceflap,1
fanmetal,1
farsighted,1
feate,1
fillissin,1
filmbooke,1
filt,1
fiqh,1
flaccidity,1
floggin,1
flowmeter,1
fogwood,1
follasy,1
foreconsciousness,1
freeform,1
fruitfulness,1
fungusoid,1
galach,1
garvarg,1
generalist,1
gestalte,1
gestalten,1
ghafla,1
ghanima,1
globelighted,1
glowtube,1
goader,1
gobi,1
graben,1
grd,1
greened,1
gridex,1
groun,1
groundswell,1
guardcar,1
gyve,1
hajr,1
halfshield,1
handglobe,1
handreach,1
hands're,1
hareem,1
hellfiend,1
hellplace,1
hermetic,1
hiereg,1
holds,1
hoopwheel,1
hosphor,1
hotbe,1
houris,1
hoverflight,1
hrobosa,1
hufir,1
hunner,1
hurtfulness,1
hydrochloric,1
hyperalertness,1
hyperawareness,1
hyperconsciousness,1
hyperfunctioning,1
hyperillumination,1
ibad,1
ijaz,1
ikhut,1
immanence,1
immersed,1
impaction,1
imprinter,1
inbred,1
inbreed,1
indeterminacy,1
indirection,1
inflowing,1
inhibitory,1
inimitability,1
interfingere,1
interleaving,1
irresponsibly,1
ixian,1
jetflare,1
journeyman,1
kavi,1
kiswa,1
knuckled,1
kulon,1
kwisatz,1
landholding,1
landsraad,1
lapped,1
lasbeam,1
laving,1
leathered,1
leto,1
letup,1
ligation,1
limnologist,1
lockport,1
lthough,1
luckier,1
lupine,1
mahdi,1
mailed,1
mantrap,1
masseuse,1
may've,1
megalopoli,1
menage,1
methyl,1
micromanual,1
mihna,1
miniaturization,1
minimic,1
moonflashe,1
mounded,1
multidrive,1
multiplie,1
multishelled,1
mushtamal,1
naga,1
naib,1
nakala,1
narviium,1
needlestick,1
nimbleness,1
nullification,1
occupier,1
oeyh,1
ofttime,1
oie,1
onflowe,1
onna,1
opafire,1
orthographic,1
outflanker,1
outflowing,1
outthrusting,1
overcasting,1
overday,1
overfeint,1
overlate,1
overloud,1
paintbush,1
pauperize,1
payable,1
peatlike,1
pera,1
perakri,1
phosphor,1
pigweed,1
placation,1
planetological,1
planetology,1
pleniscenta,1
plotline,1
pooling,1
potting,1
prana,1
preciseness,1
prejia,1
preset,1
proces,1
projecto,1
prolonger,1
promethean,1
propertie,1
punra,1
pyretic,1
pyrocket,1
quatricentennial,1
quintessence,1
rabban,1
radiograph,1
reassessment,1
redivide,1
redolence,1
redoubtable,1
reinfecte,1
relaxant,1
remained,1
resig,1
respondu,1
rhythmless,1
richece,1
ridged,1
ringwall,1
riptide,1
roiling,1
rumbler,1
s'you,1
sacklike,1
sadus,1
salat,1
saltation,1
sandcloud,1
sandcrawler,1
sandfish,1
sandflow,1
sandlice,1
sandmaster,1
sandslide,1
sandswimmer,1
sandwalk,1
sandwalker,1
sandwall,1
sardaukar,1
sayal,1
schismatic,1
schlag,1
seeress,1
selfdom,1
semidormant,1
semihuman,1
semihypnotic,1
semimystic,1
semishield,1
semislave,1
semisweet,1
semitrance,1
senatorial,1
separator,1
serv,1
servok,1
shaitan,1
shari,1
shatterproof,1
sheathed,1
shellfire,1
shipwall,1
shrive,1
sidelight,1
sidelighting,1
sif,1
sirat,1
sirian,1
sirra,1
sist,1
situated,1
skycover,1
slacked,1
slackness,1
slapstick,1
slavishly,1
slumping,1
snuggling,1
solidification,1
sondagi,1
sook,1
soothsay,1
sparking,1
speechwriter,1
spiceblow,1
spicebrush,1
spicelike,1
spiceworker,1
spicing,1
squinting,1
stabilizing,1
starlighted,1
steppe,1
storm'll,1
stravidium,1
strongpoint,1
subfief,1
subiay,1
sukare,1
summa,1
sunnan,1
surcease,1
susurrant,1
swordhand,1
t're,1
tamarisk,1
there'd,1
therewith,1
tilgar,1
timed,1
tipped,1
townswoman,1
tremolo,1
tried,1
trimaran,1
troubador,1
twere,1
ukair,1
ultrafast,1
unbloode,1
unblunted,1
uncleansed,1
uncurl,1
undulant,1
unfixe,1
unlearning,1
unn,1
unpoisoned,1
unpure,1
unregulated,1
unrivaled,1
unrumple,1
unspent,1
untuned,1
updangle,1
upthrusting,1
veriform,1
wakeshot,1
wali,1
warcraft,1
waterflask,1
waterseal,1
watertube,1
wele,1
whadduh,1
whipscar,1
whiteless,1
windpacked,1
wolfishly,1
wormface,1
wormfly,1
wormheade,1
yakha,1
yueh,1
