word,total_count,chapter_count,chapters
book,372,37,"1:1,2:1,3:33,5:66,7:68,9:32,11:2,12:16,13:1,14:4,16:4,17:1,18:7,19:1,20:3,21:12,23:21,24:1,25:12,26:1,28:1,29:2,30:7,31:6,32:6,33:5,34:3,35:10,36:5,37:7,38:1,39:10,41:15,43:1,44:1,46:1,47:4"
say,278,11,"3:2,5:136,7:76,9:47,12:1,21:8,23:2,25:1,35:2,37:1,41:2"
know,199,19,"3:3,5:66,7:51,9:40,12:6,14:1,16:3,17:1,20:4,21:6,23:1,25:1,31:1,32:2,34:1,35:3,36:2,39:3,41:4"
look,197,11,"3:2,5:74,7:42,9:61,21:5,23:2,25:1,30:1,34:2,35:2,41:5"
man,194,16,"3:2,5:61,7:48,9:59,20:3,21:4,23:4,25:1,29:1,30:2,32:1,33:1,34:2,35:2,39:2,41:1"
think,182,17,"3:6,5:63,7:38,9:46,18:2,20:4,21:9,23:2,25:1,30:1,31:1,32:1,34:1,35:3,36:1,37:1,41:2"
come,179,19,"3:3,5:56,7:30,9:45,12:4,16:1,18:2,20:3,21:9,23:6,25:5,30:1,33:1,34:1,35:5,36:2,39:1,41:3,44:1"
time,175,22,"3:2,5:53,7:25,9:50,12:3,13:1,14:3,16:3,18:3,19:1,20:3,21:8,23:6,25:1,29:1,30:2,32:1,35:3,36:1,37:1,39:3,41:1"
go,168,12,"3:10,5:60,7:17,9:58,20:2,21:8,23:5,25:2,31:1,35:2,36:1,41:2"
thing,165,14,"3:15,5:50,7:33,9:40,11:1,12:1,18:1,20:1,21:14,23:1,35:2,39:1,41:4,45:1"
burn,149,21,"3:5,5:38,7:15,9:44,12:12,16:1,18:1,21:3,22:1,23:2,25:2,26:1,30:3,31:3,32:2,33:2,34:3,35:4,36:2,37:1,41:4"
hand,147,13,"5:52,7:36,9:45,12:3,16:1,20:1,21:1,23:3,24:1,25:1,34:1,39:1,41:1"
feel,124,9,"3:1,5:54,7:26,9:36,23:2,25:2,34:1,38:1,41:1"
want,119,13,"3:2,5:38,7:25,9:27,12:1,14:2,21:12,25:1,30:1,31:2,35:5,37:1,41:2"
