word,total_count,chapter_count,chapters
say,292,22,"1:4,2:10,3:7,4:11,5:14,6:29,7:23,8:17,9:22,10:11,11:11,12:12,13:21,14:35,15:20,16:8,17:3,18:14,19:10,20:3,21:4,22:3"
fight,222,14,"5:74,6:1,8:1,9:22,10:6,11:16,12:9,13:31,14:10,15:15,17:18,18:7,19:1,20:11"
club,160,14,"5:47,6:1,8:3,9:17,10:5,11:8,12:9,13:20,14:10,15:12,16:1,17:16,18:7,20:4"
night,107,19,"2:7,3:4,4:1,5:7,6:8,7:1,8:4,9:11,10:2,11:10,12:14,13:5,14:10,15:4,16:7,17:2,18:1,19:4,20:5"
know,100,20,"1:3,2:1,3:6,4:2,5:8,6:4,7:5,8:5,9:10,10:1,11:7,12:7,13:3,14:12,15:6,16:4,18:7,19:4,20:3,21:2"
want,98,20,"1:6,2:5,3:2,4:7,5:11,6:2,7:2,8:5,9:9,10:4,11:7,12:4,13:4,14:11,15:4,16:4,17:2,18:3,19:2,20:4"
go,93,21,"2:6,3:7,4:2,5:7,6:10,7:1,8:7,9:6,10:3,11:2,12:6,13:6,14:6,15:3,16:2,17:1,18:3,19:7,20:1,21:4,22:3"
guy,87,11,"4:8,5:20,9:4,11:6,12:20,13:11,14:8,16:1,17:7,19:1,20:1"
look,80,20,"1:2,2:3,3:3,5:10,6:4,7:5,8:2,9:14,10:4,11:2,12:3,13:5,14:4,15:2,16:8,17:2,18:3,19:2,21:1,22:1"
tell,80,18,"2:4,3:2,4:5,5:4,6:6,7:1,8:6,9:11,10:3,11:5,12:12,13:4,14:2,15:3,16:5,18:4,19:1,22:2"
come,72,20,"1:4,2:2,3:2,5:7,6:3,7:4,8:3,9:6,10:3,11:2,12:13,13:6,14:4,15:1,17:1,18:2,19:3,20:3,21:2,22:1"
ask,71,17,"1:1,3:4,4:5,5:7,6:4,7:2,8:3,9:6,10:1,11:7,12:9,13:3,14:13,15:1,16:3,18:1,22:1"
time,71,18,"1:1,2:8,3:14,4:2,5:6,6:2,7:1,8:5,9:10,11:3,12:2,13:3,14:3,15:3,16:3,17:1,18:2,20:2"
people,59,20,"1:3,2:2,3:10,4:5,5:2,7:5,8:1,9:6,10:2,11:5,12:1,14:3,15:2,16:2,17:1,18:2,19:2,20:1,21:2,22:2"
rule,56,9,"5:10,9:15,11:7,12:5,13:7,14:2,15:1,17:6,18:3"
life,54,16,"1:1,2:5,3:8,4:2,5:2,6:4,7:2,9:4,11:2,13:2,14:12,15:4,16:3,19:1,21:1,22:1"
talk,53,15,"1:1,2:2,5:8,6:3,8:4,9:12,10:2,11:1,12:5,13:2,14:3,15:3,16:2,17:2,19:3"
work,53,17,"1:1,2:1,3:6,4:1,5:2,6:4,7:2,9:5,10:6,12:9,13:4,14:3,15:2,16:1,18:3,21:2,22:1"
hand,51,13,"3:5,4:1,5:2,6:4,7:12,9:5,10:3,12:3,14:5,15:2,16:2,17:4,18:3"
fall,46,15,"1:7,4:4,5:4,6:2,7:3,8:1,9:2,10:3,13:4,15:6,16:5,17:1,18:1,20:1,21:2"
monkey,46,10,"1:2,12:18,13:5,14:3,15:7,16:6,18:1,19:1,20:1,21:2"
car,45,11,"3:6,4:1,5:3,6:1,8:9,12:1,13:19,14:2,17:1,18:1,21:1"
gun,45,10,"1:11,2:2,6:1,8:1,9:1,11:9,14:8,17:1,21:10,22:1"
boss,44,11,"3:1,5:7,6:7,7:1,9:12,11:1,12:5,13:2,16:1,18:4,19:3"
man,44,16,"1:1,2:4,5:9,9:1,10:1,11:3,12:5,13:1,14:5,15:2,16:1,17:6,18:1,19:1,20:1,21:2"
space,44,10,"1:2,12:18,13:4,14:4,15:6,16:6,18:1,19:1,20:1,21:1"
little,43,16,"1:1,2:3,6:5,7:1,8:1,9:10,11:1,12:3,13:3,14:3,15:4,16:2,18:1,19:2,20:2,22:1"
black,42,12,"2:1,4:3,5:2,6:4,7:1,9:1,11:2,12:20,13:3,16:1,19:3,22:1"
mechanic,42,3,"13:31,14:5,18:6"
sleep,42,12,"2:11,3:1,6:3,8:4,9:4,11:1,12:4,14:1,15:4,16:5,17:3,22:1"
thing,42,20,"1:1,2:2,3:1,4:5,5:2,6:4,8:2,9:4,10:1,11:1,12:2,13:3,14:3,15:1,16:4,17:1,19:1,20:1,21:2,22:1"
die,41,16,"1:3,2:2,3:7,5:2,6:3,7:2,9:3,10:1,12:1,13:8,14:4,15:1,18:1,20:1,21:1,22:1"
meet,41,16,"2:4,3:4,4:3,5:4,6:1,9:4,11:6,12:3,13:1,14:2,15:1,16:1,18:1,19:2,20:3,22:1"
think,41,17,"2:2,3:1,4:2,6:1,7:1,8:2,9:8,10:3,11:2,13:2,14:1,15:7,16:2,17:3,18:1,19:2,21:1"
week,41,12,"2:5,3:1,5:7,6:1,8:1,9:6,10:4,11:8,12:1,13:4,14:2,15:1"
eye,36,14,"2:5,3:3,5:4,6:1,7:3,9:3,11:2,12:2,14:4,15:1,16:1,17:1,19:5,22:1"
get,36,15,"1:2,2:1,3:4,4:1,5:4,6:3,7:2,8:2,9:2,11:5,12:1,13:6,14:1,18:1,20:1"
home,36,12,"2:1,3:2,4:5,5:2,6:3,8:3,9:2,12:11,14:2,16:2,17:2,19:1"
world,36,15,"1:3,4:2,5:4,6:4,8:1,9:1,10:2,11:7,13:1,14:4,15:2,16:2,19:1,21:1,22:1"
group,35,10,"2:15,3:2,5:1,7:1,9:9,11:1,12:2,15:2,21:1,22:1"
wake,35,12,"3:6,4:2,5:1,6:2,13:1,14:9,15:5,16:5,17:1,18:1,19:1,20:1"
maybe,34,14,"1:3,2:3,4:2,5:6,8:1,9:4,10:1,11:4,12:1,13:2,15:1,16:3,18:2,19:1"
need,34,14,"2:1,4:2,5:5,6:9,7:1,8:4,9:3,10:1,11:1,13:1,14:3,16:1,18:1,19:1"
dead,33,12,"1:2,3:3,5:1,9:6,11:2,13:2,14:5,15:2,17:1,18:2,19:2,20:5"
face,32,13,"2:3,5:6,6:3,8:1,9:2,10:1,11:8,12:2,13:1,14:2,15:1,19:1,20:1"
floor,32,14,"1:4,4:6,5:2,6:1,7:3,8:3,10:3,11:1,12:2,16:1,18:1,19:1,20:3,22:1"
