word,total_count,chapter_count,chapters
say,621,7,"1:99,3:110,4:148,5:112,6:106,8:34,10:12"
know,450,7,"1:70,3:76,4:106,5:80,6:81,8:27,10:10"
look,323,7,"1:48,3:75,4:87,5:48,6:44,8:20,10:1"
think,311,7,"1:60,3:47,4:72,5:55,6:51,8:21,10:5"
year,291,7,"1:115,3:56,4:57,5:30,6:20,8:6,10:7"
door,282,6,"1:30,3:36,4:59,5:64,6:64,8:29"
ask,271,7,"1:49,3:54,4:54,5:46,6:46,8:19,10:3"
walk,270,7,"1:18,3:42,4:91,5:43,6:47,8:28,10:1"
tell,267,7,"1:33,3:58,4:74,5:30,6:60,8:10,10:2"
work,266,7,"1:66,3:48,4:65,5:36,6:39,8:11,10:1"
want,264,7,"1:52,3:50,4:57,5:48,6:45,8:10,10:2"
hour,255,7,"1:57,3:41,4:52,5:41,6:43,8:17,10:4"
get,252,7,"1:27,3:35,4:46,5:37,6:77,8:26,10:4"
time,247,7,"1:44,3:50,4:45,5:54,6:37,8:15,10:2"
watch,244,7,"1:25,3:38,4:57,5:61,6:33,8:26,10:4"
leave,237,7,"1:33,3:32,4:48,5:58,6:43,8:21,10:2"
man,232,7,"1:32,3:30,4:61,5:47,6:31,8:30,10:1"
day,226,7,"1:59,3:28,4:53,5:31,6:36,8:11,10:8"
sit,226,7,"1:25,3:38,4:51,5:58,6:39,8:12,10:3"
room,219,7,"1:28,3:19,4:43,5:49,6:42,8:35,10:3"
good,212,6,"1:46,3:42,4:40,5:47,6:23,8:14"
small,207,7,"1:34,3:40,4:37,5:44,6:24,8:18,10:10"
office,204,6,"1:43,3:38,4:44,5:30,6:42,8:7"
go,202,7,"1:18,3:30,4:45,5:39,6:41,8:24,10:5"
talk,202,7,"1:27,3:32,4:47,5:50,6:38,8:7,10:1"
find,201,7,"1:31,3:37,4:32,5:27,6:46,8:17,10:11"
smile,199,7,"1:40,3:51,4:41,5:35,6:21,8:9,10:2"
file,194,6,"1:20,3:23,4:30,5:87,6:32,8:2"
wait,194,7,"1:24,3:35,4:44,5:37,6:39,8:14,10:1"
money,163,7,"1:35,3:13,4:31,5:26,6:35,8:19,10:4"
partner,160,7,"1:75,3:22,4:27,5:17,6:14,8:3,10:2"
table,160,6,"1:27,3:42,4:39,5:40,6:5,8:7"
lawyer,159,7,"1:53,3:31,4:34,5:25,6:9,8:5,10:2"
little,158,7,"1:21,3:20,4:38,5:41,6:27,8:8,10:3"
minute,157,6,"1:5,3:25,4:35,5:44,6:32,8:16"
away,156,7,"1:22,3:31,4:41,5:21,6:24,8:15,10:2"
floor,153,6,"1:26,3:15,4:27,5:39,6:42,8:4"
take,152,7,"1:21,3:29,4:28,5:33,6:28,8:12,10:1"
hand,151,6,"1:19,3:25,4:44,5:41,6:16,8:6"
week,151,7,"1:40,3:26,4:21,5:37,6:25,8:1,10:1"
need,147,7,"1:14,3:27,4:39,5:34,6:25,8:7,10:1"
come,142,7,"1:20,3:25,4:27,5:21,6:32,8:14,10:3"
firm,136,7,"1:61,3:24,4:30,5:13,6:6,8:1,10:1"
run,136,7,"1:5,3:26,4:35,5:23,6:40,8:6,10:1"
phone,130,7,"1:6,3:24,4:26,5:11,6:49,8:13,10:1"
night,129,6,"1:12,3:22,4:18,5:28,6:28,8:21"
see,127,7,"1:8,3:21,4:32,5:20,6:19,8:23,10:4"
close,125,7,"1:18,3:31,4:24,5:29,6:16,8:5,10:2"
right,122,6,"1:15,3:15,4:36,5:18,6:27,8:11"
month,121,6,"1:25,3:22,4:31,5:21,6:17,8:5"
pay,121,6,"1:26,3:15,4:15,5:25,6:19,8:21"
place,121,7,"1:16,3:24,4:26,5:30,6:16,8:8,10:1"
lot,120,7,"1:22,3:14,4:23,5:28,6:18,8:14,10:1"
try,120,7,"1:17,3:23,4:22,5:28,6:22,8:6,10:2"
follow,119,6,"1:4,3:12,4:42,5:34,6:23,8:4"
open,119,7,"1:19,3:12,4:28,5:30,6:21,8:7,10:2"
head,116,7,"1:18,3:22,4:28,5:26,6:11,8:9,10:2"
eye,115,6,"1:21,3:20,4:24,5:21,6:13,8:16"
home,115,7,"1:27,3:30,4:27,5:18,6:8,8:2,10:3"
listen,112,7,"1:6,3:24,4:24,5:22,6:25,8:8,10:3"
long,112,7,"1:17,3:27,4:23,5:21,6:11,8:10,10:3"
new,112,7,"1:40,3:23,4:20,5:18,6:6,8:4,10:1"
call,111,6,"1:16,3:22,4:12,5:15,6:30,8:16"
car,105,6,"1:12,3:12,4:24,5:17,6:30,8:10"
wife,104,7,"1:18,3:25,4:28,5:20,6:10,8:2,10:1"
bar,103,6,"1:17,3:36,4:23,5:17,6:7,8:3"
desk,103,7,"1:22,3:18,4:27,5:13,6:16,8:6,10:1"
stop,103,7,"1:17,3:14,4:23,5:24,6:19,8:5,10:1"
black,102,7,"1:16,3:13,4:23,5:25,6:14,8:10,10:1"
dark,102,7,"1:8,3:18,4:19,5:23,6:20,8:12,10:2"
star,100,7,"1:17,3:9,4:31,5:17,6:16,8:9,10:1"
morning,99,6,"1:17,3:23,4:5,5:18,6:25,8:11"
