word,total_count
voyle,29
tarrance,19
fibbie,8
carport,6
scuba,6
taxation,6
bikinis,5
reggae,5
daiquiris,4
lazarov,4
piccata,4
quiche,4
ranee,4
catamaran,3
collator,3
divemaster,3
esquire,3
jenkin,3
longneck,3
remodeling,3
rumhead,3
airfare,2
chloral,2
duckhead,2
expandable,2
incriminating,2
mezzanine,2
nonlawyer,2
pompano,2
restaple,2
smurfer,2
snorkeler,2
sunshade,2
unbillable,2
unbilled,2
unconfirmed,2
yung,2
a'nd,1
amberjack,1
an,1
applicator,1
assor,1
awarding,1
backwinde,1
ber,1
bitchier,1
blabbermouth,1
blackfish,1
bleaching,1
blondness,1
bluntness,1
boss'll,1
boys're,1
bronzeness,1
brunet,1
buick,1
caiv,1
camcorder,1
cappellini,1
captivating,1
catboat,1
chauifeur,1
chitte,1
cially,1
ciate,1
clubbish,1
coaming,1
countersuit,1
cowpoke,1
creamed,1
cuteji,1
dini,1
drawal,1
dustbuster,1
egardless,1
egger,1
eocassette,1
exclusivity,1
fajita,1
flab,1
fondler,1
fondling,1
footrace,1
forthrightly,1
frontpage,1
generating,1
genoa,1
gyrh,1
h'is,1
hable,1
handprinted,1
henclimbed,1
hourglasse,1
imate,1
inadmissible,1
indicting,1
ise,1
itt,1
jde,1
jibstay,1
lada,1
lardasse,1
launderer,1
leyball,1
licker,1
loafere,1
luau,1
luffing,1
madra,1
mainsail,1
maltre,1
mbney,1
mentary,1
miercole,1
n'ot,1
nightlife,1
nonassumable,1
nonconforming,1
nonfisherman,1
nonnegotiator,1
nonpartner,1
nonsacre,1
num,1
oflf,1
oflice,1
oif,1
oifshore,1
oiuihe,1
ond,1
outback,1
pajd,1
panol,1
penwolf,1
phis,1
pina,1
porrk,1
preppie,1
preppier,1
propriate,1
puter,1
reinserte,1
rejuvenated,1
samsonite,1
saute,1
scuzzball,1
semis,1
sftrange,1
shoved,1
silencer,1
sleazebag,1
smurfe,1
sneaked,1
sonofa,1
spinnaker,1
stmte,1
stonewashed,1
suaveness,1
sulfite,1
supertanker,1
swampmobile,1
teenybop,1
teetotaler,1
the'waffle,1
tinue,1
toia,1
towji,1
trislandef,1
tubettini,1
uckward,1
unassembled,1
uncopied,1
uncrowded,1
unfeminine,1
unilingual,1
unstaple,1
unstapled,1
vacuuming,1
vang,1
vp,1
wallpapering,1
watchea,1
womanizing,1
wtfe,1
zon,1
