word,total_count,chapter_count,chapters
say,2455,42,"3:84,4:112,5:62,6:72,7:29,8:37,9:24,10:73,11:80,12:183,13:159,14:48,15:97,16:87,17:49,18:128,19:79,20:60,21:66,22:27,23:30,24:38,25:36,26:31,27:49,28:9,29:61,30:22,31:22,32:18,33:67,34:20,35:17,37:2,38:32,39:14,40:64,41:26,42:34,43:69,44:65,45:173"
come,719,43,"3:22,4:33,5:14,6:12,7:5,8:4,9:1,10:15,11:12,12:56,13:20,14:5,15:25,16:19,17:25,18:13,19:4,20:31,21:9,22:12,23:16,24:17,25:11,26:7,27:11,28:3,29:46,30:15,31:3,32:13,33:13,34:2,35:4,36:8,37:1,38:12,39:7,40:11,41:11,42:7,43:16,44:37,45:111"
look,671,42,"3:23,4:30,5:13,6:29,7:3,8:5,9:2,10:16,11:14,12:56,13:29,14:16,15:23,16:21,17:8,18:15,19:13,20:17,21:6,22:1,23:14,24:13,25:14,26:7,27:11,28:6,29:43,30:3,31:11,32:3,33:8,34:8,35:3,36:6,37:3,38:2,39:2,40:21,42:9,43:3,44:29,45:112"
man,659,43,"2:2,3:78,4:26,5:42,6:15,7:9,8:1,10:7,11:8,12:89,13:17,14:3,15:4,16:21,17:21,18:17,19:5,20:34,21:9,22:1,23:9,24:11,25:12,26:3,27:11,28:2,29:38,30:6,31:4,32:4,33:7,34:16,35:2,36:6,37:3,38:13,39:2,40:6,41:6,42:3,43:13,44:35,45:38"
think,629,43,"3:20,4:10,5:14,6:9,7:8,8:1,9:2,10:9,11:8,12:18,13:25,14:4,15:38,16:14,17:47,18:31,19:17,20:51,21:8,22:4,23:6,24:11,25:18,26:5,27:2,28:3,29:29,30:7,31:5,32:27,33:28,34:1,35:3,36:11,37:2,38:3,39:4,40:19,41:12,42:1,43:8,44:12,45:74"
know,565,44,"2:1,3:31,4:16,5:18,6:11,7:4,8:1,9:6,10:15,11:14,12:29,13:32,14:6,15:30,16:17,17:18,18:15,19:3,20:48,21:13,22:3,23:1,24:9,25:7,26:3,27:2,28:7,29:12,30:7,31:7,32:14,33:28,34:4,35:2,36:8,37:5,38:8,39:14,40:12,41:5,42:2,43:12,44:30,45:35"
head,434,42,"3:13,4:13,5:5,6:5,7:4,8:5,9:8,10:11,11:6,12:54,13:18,14:16,15:17,16:26,17:2,18:18,19:8,20:13,21:6,22:10,23:5,24:2,25:5,26:4,27:4,28:2,29:32,30:8,31:3,32:2,33:16,34:1,35:2,36:3,37:2,38:5,39:7,40:3,42:5,43:5,44:9,45:51"
go,428,43,"3:12,4:15,5:5,6:14,7:4,8:3,9:4,10:15,11:8,12:37,13:19,14:3,15:16,16:12,17:14,18:11,19:7,20:25,21:4,22:8,23:5,24:5,25:2,26:5,27:4,28:6,29:8,30:6,31:4,32:7,33:10,34:9,35:10,36:1,37:3,38:2,39:5,40:12,41:4,42:7,43:7,44:18,45:52"
hand,421,41,"3:13,4:28,5:9,6:15,7:1,8:7,9:6,10:8,11:3,12:45,13:17,14:3,15:16,16:13,17:4,18:17,19:5,20:18,21:5,22:4,23:7,24:4,25:7,26:6,27:10,29:11,30:2,31:2,32:1,33:6,34:3,35:7,36:6,38:8,39:7,40:11,41:4,42:4,43:14,44:14,45:50"
tell,398,43,"3:11,4:21,5:8,6:5,7:5,8:1,9:8,10:9,11:3,12:37,13:20,14:5,15:31,16:8,17:8,18:19,19:5,20:21,21:11,22:2,23:1,24:2,25:3,26:3,27:3,28:10,29:6,30:5,31:6,32:9,33:34,34:5,35:7,36:4,37:3,38:3,39:1,40:9,41:1,42:4,43:7,44:15,45:19"
see,392,42,"3:12,4:20,5:11,6:6,7:1,8:1,9:2,10:16,11:2,12:46,13:12,14:3,15:10,16:17,17:5,18:7,19:3,20:17,21:14,22:3,23:11,24:9,25:11,27:8,28:2,29:12,30:4,31:4,32:4,33:13,34:3,35:2,36:2,37:1,38:2,39:3,40:6,41:2,42:3,43:1,44:17,45:64"
good,374,40,"3:13,4:29,5:8,6:7,7:9,8:7,10:7,11:4,12:12,13:21,14:2,15:24,16:10,17:9,18:1,19:4,20:25,21:3,22:2,23:1,24:4,25:4,26:2,27:3,28:3,29:7,31:2,32:15,33:25,34:2,36:3,37:8,38:5,39:3,40:13,41:5,42:2,43:19,44:8,45:43"
pablo,358,30,"3:17,4:21,6:23,7:10,8:1,10:8,11:10,12:47,13:3,15:3,16:22,17:5,18:51,19:22,20:5,21:4,22:1,23:7,24:2,25:4,27:1,30:1,31:8,35:2,37:2,38:1,40:20,41:8,43:17,45:32"
time,335,42,"3:9,4:15,5:11,6:6,7:3,8:1,9:1,10:8,11:4,12:19,13:21,14:1,15:33,16:12,17:5,18:5,19:2,20:25,21:8,22:3,24:8,25:7,26:6,27:2,28:8,29:11,30:4,31:2,32:8,33:9,35:3,36:8,37:2,38:2,39:8,40:4,41:2,42:4,43:7,44:11,45:26,46:1"
thing,333,39,"3:8,4:9,5:10,6:8,7:1,8:3,9:7,10:11,11:9,12:22,13:8,15:29,16:6,17:9,18:1,19:1,20:24,21:21,22:4,24:5,25:3,26:10,27:1,28:10,29:4,30:2,31:3,32:11,33:28,34:1,36:2,38:3,39:7,40:12,41:3,42:1,43:1,44:9,45:26"
ask,292,40,"3:13,4:21,5:7,6:7,7:1,8:5,10:23,11:6,12:11,13:25,14:3,15:12,16:7,17:7,18:11,19:7,20:8,21:10,22:3,23:1,24:3,25:3,26:2,27:2,28:4,29:7,30:5,31:4,32:3,33:4,34:2,37:1,38:4,39:1,40:10,41:4,42:5,43:2,44:19,45:19"
bridge,286,31,"3:28,4:13,5:31,6:16,7:1,9:1,10:7,11:5,13:10,14:1,15:4,16:2,17:5,18:3,19:3,20:4,21:1,24:7,25:1,26:1,31:2,32:6,33:1,36:2,37:2,40:2,41:1,42:1,43:10,44:4,45:111"
woman,286,33,"4:22,5:1,6:23,7:12,8:17,9:5,10:25,11:23,12:24,13:10,14:10,15:14,16:2,18:15,19:5,20:3,21:6,23:1,24:1,25:2,27:4,29:1,31:1,32:2,33:11,34:4,35:14,36:1,37:2,40:7,41:2,43:2,45:14"
horse,271,28,"3:28,4:4,6:1,7:20,10:7,11:3,12:4,13:7,15:4,16:9,18:4,19:1,21:1,23:24,24:7,25:9,26:1,27:7,28:1,29:32,30:7,32:2,35:4,40:4,41:12,43:11,44:1,45:56"
hear,269,38,"3:7,4:2,5:5,6:6,7:9,10:12,11:3,12:26,13:17,14:2,15:3,16:5,17:3,18:11,19:3,20:5,21:8,22:3,23:7,24:7,25:4,26:5,27:4,28:1,29:11,30:4,31:1,32:3,33:4,34:8,36:3,37:2,38:8,40:1,42:2,43:6,44:15,45:43"
hold,254,37,"3:2,4:4,5:5,6:2,9:12,11:4,12:27,13:5,14:2,15:7,16:7,17:6,18:6,19:3,20:6,21:3,22:7,23:12,24:6,25:1,26:1,27:6,29:9,31:2,32:6,33:13,34:1,35:2,36:8,37:1,38:3,39:7,40:7,42:3,43:2,44:14,45:42"
feel,252,39,"3:5,4:8,5:4,6:13,7:2,8:3,9:9,10:8,11:2,12:9,13:4,15:22,16:4,17:6,18:3,19:1,20:10,22:13,23:1,24:2,25:9,26:2,27:1,29:5,30:5,31:1,32:4,33:7,34:1,35:5,36:5,37:3,39:5,40:2,41:5,42:2,43:15,44:6,45:40"
face,239,39,"3:7,4:10,5:6,6:10,7:3,8:4,9:5,10:2,11:4,12:22,13:14,14:3,15:5,16:8,17:1,18:2,19:4,20:18,21:8,22:1,23:7,24:1,25:2,26:1,27:3,29:9,30:1,31:3,32:1,33:13,34:7,36:2,39:1,40:7,41:1,42:2,43:2,44:12,45:27"
thou,233,36,"3:8,4:3,5:6,6:7,7:8,8:3,9:4,10:9,11:3,12:4,13:5,14:2,15:6,16:1,18:6,19:2,21:17,22:8,23:2,24:6,25:4,26:5,27:5,29:5,30:2,31:2,33:26,36:1,38:1,39:3,40:13,41:2,42:1,43:22,44:1,45:30"
road,225,23,"3:11,5:6,10:8,12:3,13:7,15:2,16:4,17:13,20:4,21:1,24:1,25:4,29:1,30:1,31:3,32:3,36:1,38:1,41:1,42:6,43:6,44:29,45:109"
speak,224,39,"3:4,4:21,5:10,6:8,7:5,9:1,10:7,11:2,12:24,13:17,14:4,15:5,16:6,17:1,18:10,19:6,20:6,21:6,22:2,23:2,24:2,25:2,26:3,27:3,29:8,30:3,31:1,32:3,33:5,34:3,36:1,37:1,38:2,39:3,40:5,42:1,43:5,44:13,45:13"
stand,220,39,"3:5,4:1,5:4,6:11,7:7,8:1,9:1,10:5,11:3,12:48,13:3,14:3,15:4,16:18,17:5,18:6,19:6,20:5,21:2,22:4,23:7,25:1,27:4,29:12,30:2,32:2,33:4,34:3,35:1,36:2,37:2,38:2,39:1,40:2,41:1,42:2,43:7,44:7,45:16"
old,217,34,"3:36,4:16,5:15,6:11,8:1,10:4,12:4,13:7,15:5,16:13,17:10,18:2,19:2,20:3,21:5,23:1,24:2,25:7,26:2,27:2,28:2,29:6,30:2,31:6,32:8,33:1,35:1,39:2,40:4,41:1,42:2,43:8,44:8,45:18"
watch,212,34,"3:6,4:5,5:5,6:11,7:2,8:3,10:15,11:2,12:12,13:4,15:3,16:16,17:4,18:7,19:3,20:2,21:1,22:3,23:2,24:6,25:4,27:5,29:11,30:6,31:1,32:1,33:2,35:1,36:3,37:1,39:10,43:7,44:9,45:39"
long,201,39,"3:4,4:11,5:3,6:6,7:3,8:1,9:6,10:3,12:13,13:4,14:2,15:9,16:6,17:10,18:1,19:2,20:15,21:3,22:7,23:1,24:7,25:2,26:1,27:2,28:1,29:5,30:6,31:3,32:2,33:17,35:2,36:2,37:2,38:1,39:2,40:1,43:1,44:8,45:26"
right,198,38,"1:2,3:9,4:3,5:2,6:4,7:1,9:2,10:2,11:1,12:5,13:11,14:3,15:11,16:2,17:2,18:1,19:1,20:13,21:3,22:1,23:2,24:5,25:8,26:1,28:19,29:9,30:1,32:7,33:3,35:2,36:1,38:2,40:2,41:2,42:1,43:3,44:7,45:44"
gypsy,196,21,"4:49,5:7,6:9,7:20,8:2,10:13,11:2,12:1,13:3,15:6,16:15,19:5,21:13,24:17,25:5,26:1,27:3,33:1,40:3,43:1,45:20"
kill,184,30,"3:3,4:7,5:20,6:4,7:10,10:3,11:4,12:25,13:2,15:1,16:7,17:7,18:7,19:3,20:6,21:3,24:1,25:7,26:1,28:13,29:9,30:2,32:1,33:12,37:2,38:2,40:5,42:1,44:5,45:11"
take,182,37,"3:5,4:11,5:3,6:13,7:1,8:1,10:3,11:1,12:17,13:4,15:12,16:6,17:2,18:3,19:2,20:14,21:1,22:5,23:6,24:3,26:3,27:6,28:1,29:2,30:5,31:2,32:3,33:5,35:2,37:2,38:2,40:1,41:1,42:2,43:8,44:8,45:16"
leave,181,38,"3:10,4:10,5:5,6:1,7:2,8:1,10:3,11:6,12:11,13:7,14:5,15:9,16:5,17:8,18:6,19:1,20:9,21:3,22:1,23:3,24:8,26:1,27:2,29:4,30:6,31:1,33:8,34:3,35:2,36:2,37:1,39:3,40:7,41:2,42:1,43:3,44:8,45:13"
way,178,37,"3:9,4:6,5:8,6:8,7:4,8:2,10:3,11:4,12:4,13:13,14:1,15:6,16:1,17:6,18:4,20:15,21:1,23:2,24:6,25:1,26:1,27:3,28:3,30:1,31:1,32:6,33:4,34:2,35:4,36:2,37:1,38:4,39:2,40:10,43:2,44:7,45:21"
people,177,34,"3:8,4:6,5:5,6:2,7:1,10:6,11:2,12:26,13:8,14:1,15:16,16:6,17:1,18:6,20:23,21:2,23:2,25:2,26:1,28:7,29:2,30:1,31:3,32:3,33:8,34:6,37:5,38:2,39:1,40:2,42:1,43:2,44:4,45:6"
little,176,39,"3:7,4:10,5:3,6:9,7:4,8:1,9:4,10:3,11:3,12:11,13:10,14:3,15:7,16:4,17:4,18:4,19:2,20:15,21:2,22:3,23:2,24:1,25:2,26:4,27:2,28:2,29:2,32:4,33:3,34:5,36:3,38:2,39:1,40:3,41:3,42:2,43:2,44:3,45:21"
let,175,36,"3:5,4:6,5:4,6:5,7:2,9:1,10:2,11:3,12:30,13:5,14:4,15:1,16:5,17:5,18:11,19:4,20:3,21:5,22:2,23:2,24:3,25:4,26:4,27:2,29:2,30:1,32:2,33:8,34:1,36:2,38:5,39:3,40:2,41:4,44:5,45:22"
lie,169,30,"3:1,4:6,5:2,7:1,9:3,10:7,12:14,14:2,15:6,16:2,17:1,20:10,21:2,22:6,23:3,24:2,25:4,26:2,28:1,29:18,30:1,33:17,35:1,36:2,37:6,39:3,40:1,43:4,44:6,45:35"
like,168,32,"3:11,4:6,5:4,6:3,10:6,11:7,12:11,13:11,14:1,15:16,16:5,17:9,18:5,19:1,20:23,21:1,23:1,24:2,25:5,28:2,29:1,30:1,32:5,33:9,34:2,36:3,38:2,39:1,40:2,42:1,44:3,45:8"
talk,167,32,"3:4,4:10,5:1,6:6,7:3,8:4,9:1,10:9,11:5,12:7,13:16,14:8,15:3,16:2,17:3,18:5,19:7,20:10,21:3,25:6,26:2,28:2,29:3,31:1,32:5,33:18,34:4,38:4,40:3,42:1,44:2,45:9"
turn,166,35,"3:8,4:4,5:7,6:5,8:1,9:5,10:5,11:4,12:10,13:10,14:6,15:4,16:3,17:1,18:7,19:4,20:9,21:1,23:3,24:2,25:4,26:1,29:8,30:1,33:2,34:1,35:1,37:2,39:3,40:1,41:3,42:4,43:2,44:9,45:25"
day,162,34,"3:3,4:2,5:2,7:2,8:2,10:4,11:5,12:18,13:6,15:12,16:3,17:9,18:3,19:2,20:17,21:3,24:2,25:2,26:3,27:2,29:3,30:4,32:3,33:9,34:1,35:1,36:5,38:1,39:3,40:3,41:2,43:5,44:3,45:17"
tree,155,30,"3:6,4:5,5:6,6:2,7:7,10:4,11:2,12:11,13:4,14:2,15:3,16:2,17:7,20:1,21:3,22:3,23:5,24:8,25:7,26:1,27:1,29:1,30:3,33:5,39:1,41:1,42:1,43:9,44:6,45:38"
want,155,38,"3:7,4:4,5:2,6:5,8:3,9:2,10:4,11:5,12:12,13:12,14:3,15:10,16:5,17:2,18:6,19:1,20:12,21:2,22:1,23:1,24:1,26:1,27:2,28:5,29:5,30:3,31:1,32:7,33:3,36:3,37:1,38:1,39:1,40:2,42:3,43:2,44:2,45:13"
line,153,25,"3:8,4:3,5:3,10:4,11:2,12:73,13:3,14:2,15:1,16:2,17:1,18:2,20:8,21:2,24:1,27:4,28:1,29:2,31:2,33:4,36:1,38:2,42:6,44:12,45:4"
