word,total_count,chapter_count,chapters
say,343,3,"1:89,2:111,3:143"
man,234,3,"1:49,2:54,3:131"
know,186,3,"1:26,2:84,3:76"
time,143,3,"1:31,2:56,3:56"
year,136,3,"1:42,2:52,3:42"
come,134,3,"1:26,2:51,3:57"
go,112,3,"1:12,2:50,3:50"
hand,107,3,"1:9,2:27,3:71"
way,98,3,"1:8,2:55,3:35"
ship,95,3,"1:9,2:35,3:51"
good,94,3,"1:19,2:32,3:43"
look,93,3,"1:12,2:41,3:40"
power,92,3,"1:3,2:53,3:36"
think,92,3,"1:11,2:41,3:40"
eye,91,3,"1:6,2:40,3:45"
tell,91,3,"1:12,2:34,3:45"
old,82,3,"1:5,2:35,3:42"
get,80,3,"1:12,2:32,3:36"
nuclear,80,2,"2:33,3:47"
thing,75,3,"1:7,2:36,3:32"
little,73,3,"1:20,2:26,3:27"
long,73,3,"1:15,2:27,3:31"
work,72,3,"1:14,2:30,3:28"
right,71,3,"1:9,2:33,3:29"
day,70,3,"1:9,2:30,3:31"
want,70,3,"1:9,2:22,3:39"
mean,65,3,"1:13,2:25,3:27"
smile,65,3,"1:10,2:35,3:20"
great,64,3,"1:12,2:31,3:21"
planet,64,3,"1:9,2:36,3:19"
leave,62,3,"1:10,2:32,3:20"
let,62,3,"1:15,2:30,3:17"
face,61,3,"1:5,2:24,3:32"
order,61,3,"1:5,2:38,3:18"
force,60,3,"1:9,2:24,3:27"
voice,60,3,"1:6,2:29,3:25"
end,59,3,"1:15,2:22,3:22"
trader,58,1,3:58
point,57,3,"1:9,2:21,3:27"
find,56,3,"1:14,2:19,3:23"
people,56,3,"1:12,2:19,3:25"
turn,55,3,"1:4,2:29,3:22"
light,54,3,"1:7,2:26,3:21"
open,54,3,"1:10,2:21,3:23"
word,53,3,"1:16,2:19,3:18"
begin,52,3,"1:19,2:16,3:17"
king,52,2,"2:50,3:2"
new,52,3,"1:10,2:22,3:20"
take,52,3,"1:13,2:22,3:17"
world,52,3,"1:13,2:16,3:23"
matter,50,3,"1:13,2:26,3:11"
speak,50,3,"1:9,2:27,3:14"
ask,49,3,"1:6,2:12,3:31"
room,48,3,"1:15,2:21,3:12"
understand,48,3,"1:6,2:23,3:19"
wait,48,3,"1:13,2:17,3:18"
away,46,3,"1:7,2:18,3:21"
crisis,46,2,"2:18,3:28"
hear,46,3,"1:8,2:16,3:22"
gold,45,3,"1:2,2:4,3:39"
hold,45,3,"1:5,2:16,3:24"
space,45,3,"1:11,2:12,3:22"
story,45,3,"1:30,2:3,3:12"
young,45,3,"1:6,2:23,3:16"
science,43,3,"1:16,2:22,3:5"
see,43,3,"1:16,2:12,3:15"
course,42,3,"1:9,2:25,3:8"
head,42,3,"1:4,2:17,3:21"
war,42,3,"1:1,2:24,3:17"
follow,41,3,"1:11,2:22,3:8"
help,41,3,"1:5,2:24,3:12"
moment,41,3,"1:17,2:16,3:8"
need,41,3,"1:9,2:11,3:21"
place,41,3,"1:5,2:22,3:14"
action,40,3,"1:6,2:24,3:10"
star,40,3,"1:7,2:11,3:22"
life,39,3,"1:11,2:11,3:17"
lose,39,3,"1:9,2:15,3:15"
priest,39,2,"2:26,3:13"
give,38,3,"1:8,2:22,3:8"
suppose,38,3,"1:4,2:15,3:19"
fall,37,3,"1:15,2:9,3:13"
mayor,37,2,"2:18,3:19"
stop,37,3,"1:10,2:18,3:9"
book,36,3,"1:24,2:10,3:2"
month,36,3,"1:6,2:19,3:11"
sit,36,3,"1:7,2:18,3:11"
use,36,3,"1:6,2:15,3:15"
fact,35,3,"1:4,2:20,3:11"
grow,35,3,"1:7,2:12,3:16"
half,35,3,"1:5,2:16,3:14"
high,35,3,"1:6,2:14,3:15"
listen,35,3,"1:3,2:15,3:17"
set,35,3,"1:10,2:10,3:15"
stand,35,3,"1:6,2:15,3:14"
write,35,3,"1:26,2:4,3:5"
religion,34,2,"2:16,3:18"
return,34,3,"1:4,2:16,3:14"
try,34,3,"1:6,2:14,3:14"
week,34,3,"1:4,2:17,3:13"
rise,33,3,"1:8,2:14,3:11"
bring,32,3,"1:7,2:9,3:16"
control,32,3,"1:2,2:9,3:21"
finger,32,3,"1:7,2:8,3:17"
future,32,3,"1:9,2:12,3:11"
ponyet,32,1,3:32
