word,total_count,chapter_count,chapters
say,249,22,"3:15,4:16,5:5,6:6,7:11,8:13,9:7,10:11,11:12,12:14,13:16,14:18,15:16,16:15,17:3,18:9,19:11,20:12,21:9,22:20,23:4,26:6"
know,216,25,"3:19,4:15,5:4,6:9,7:7,8:8,9:7,10:7,11:5,12:8,13:7,14:4,15:16,16:15,17:1,18:6,19:12,20:12,21:8,22:16,23:12,24:2,25:6,26:9,28:1"
time,141,24,"3:8,4:7,5:7,6:2,7:2,8:10,9:6,10:4,11:3,12:8,13:12,14:10,15:8,16:12,18:4,19:3,20:2,21:3,22:5,23:6,24:4,25:6,26:8,28:1"
look,138,24,"3:6,4:7,5:11,6:9,7:4,8:3,9:7,10:5,11:3,12:8,13:3,14:12,15:6,16:5,17:4,18:8,19:8,20:6,21:2,22:6,23:5,24:3,25:1,26:6"
memory,137,16,"2:1,11:1,12:5,13:6,14:10,15:18,16:17,17:1,18:22,19:5,20:14,21:2,22:16,23:7,24:4,25:8"
feel,131,24,"3:17,4:3,5:2,6:1,7:6,8:1,9:2,10:6,11:4,12:2,13:17,14:5,15:3,16:8,17:2,18:10,19:10,20:1,21:2,22:4,23:5,24:1,25:13,26:6"
think,117,22,"3:9,4:7,5:6,6:4,7:7,8:3,9:4,10:1,11:4,12:4,13:6,14:8,15:5,16:6,18:7,19:5,20:9,21:5,22:8,23:3,25:2,26:4"
go,107,21,"3:5,4:8,5:1,6:2,7:2,8:7,9:3,10:5,12:8,13:3,14:6,15:10,16:6,18:3,19:5,20:6,21:3,22:10,23:3,25:4,26:7"
community,102,20,"2:1,3:11,4:2,5:3,6:3,8:12,9:5,10:9,11:3,12:7,14:1,15:6,16:2,18:4,19:6,20:5,22:9,23:9,24:3,25:1"
come,99,23,"3:3,4:4,5:1,6:3,7:2,8:6,9:5,10:2,11:4,12:5,13:6,14:4,15:4,16:6,17:3,18:1,19:9,20:5,21:2,22:6,23:9,25:2,26:7"
little,98,21,"3:8,4:3,5:3,6:5,7:2,8:13,9:4,11:1,12:5,13:6,14:4,15:4,16:5,18:6,19:2,20:5,21:7,22:4,23:5,25:3,26:3"
tell,97,21,"3:3,5:2,6:4,7:7,8:1,9:1,10:3,11:3,12:5,13:9,14:7,15:7,16:4,18:2,19:1,20:6,21:8,22:9,23:2,24:1,26:12"
ask,92,21,"3:8,4:5,5:1,6:2,7:6,8:1,9:1,10:1,11:5,12:7,13:5,14:7,15:8,16:5,18:8,19:2,20:7,21:5,22:2,23:3,26:3"
day,89,22,"3:3,4:7,5:5,6:1,7:1,8:9,9:3,10:2,11:1,12:1,13:3,14:6,15:11,16:4,17:1,18:4,19:4,20:3,22:5,23:7,24:3,26:5"
