word,total_count
newchild,56
newchildren,12
cott,11
groupmate,7
nurturer,6
comfy,4
sleepingroom,4
threading,4
apologi,2
bikeport,2
absorbant,1
andrei,1
bedcovering,1
bicycles,1
birthweight,1
boyishness,1
chippie,1
crouched,1
december,1
featherlike,1
females,1
firestarting,1
handwork,1
hueless,1
iffen,1
interdependence,1
nineteen,1
nize,1
oday,1
pasttime,1
recog,1
rel,1
snacktime,1
tabulate,1
tattletale,1
tearstain,1
tussling,1
twiggie,1
unintentioned,1
vibrance,1
