word,total_count,chapter_count,chapters
say,939,12,"6:125,7:87,8:67,9:55,10:47,11:74,12:132,13:21,14:126,16:97,17:53,18:55"
look,367,12,"6:37,7:38,8:14,9:34,10:22,11:52,12:48,13:10,14:43,16:37,17:13,18:19"
come,283,12,"6:25,7:22,8:14,9:23,10:14,11:29,12:41,13:14,14:22,16:33,17:15,18:31"
man,224,12,"6:20,7:25,8:26,9:1,10:12,11:42,12:5,13:19,14:10,16:26,17:14,18:24"
know,223,12,"6:22,7:14,8:11,9:19,10:20,11:27,12:21,13:7,14:27,16:31,17:11,18:13"
go,221,12,"6:15,7:26,8:7,9:27,10:22,11:19,12:38,13:8,14:17,16:23,17:7,18:12"
old,210,13,"3:1,6:18,7:19,8:51,9:13,10:9,11:19,12:3,13:26,14:7,16:17,17:15,18:12"
boy,207,12,"6:14,7:25,8:11,9:1,10:11,11:37,12:68,13:4,14:21,16:8,17:3,18:4"
face,202,12,"6:14,7:28,8:10,9:9,10:21,11:23,12:20,13:5,14:30,16:17,17:14,18:11"
get,183,12,"6:11,7:16,8:11,9:20,10:15,11:18,12:17,13:8,14:19,16:23,17:11,18:14"
child,179,12,"6:35,7:8,8:1,9:7,10:39,11:17,12:41,13:4,14:15,16:6,17:3,18:3"
see,172,12,"6:11,7:15,8:9,9:10,10:9,11:37,12:15,13:10,14:15,16:12,17:14,18:15"
stand,172,12,"6:12,7:23,8:5,9:9,10:7,11:26,12:17,13:10,14:23,16:17,17:10,18:13"
think,166,12,"6:9,7:12,8:3,9:22,10:20,11:13,12:9,13:11,14:35,16:17,17:5,18:10"
eye,160,13,"3:1,6:9,7:23,8:11,9:11,10:8,11:19,12:15,13:5,14:17,16:20,17:10,18:11"
time,159,12,"6:11,7:18,8:2,9:13,10:13,11:21,12:17,13:6,14:15,16:30,17:8,18:5"
sit,157,12,"6:15,7:23,8:10,9:13,10:14,11:20,12:17,13:13,14:11,16:8,17:8,18:5"
begin,153,12,"6:12,7:17,8:12,9:9,10:23,11:16,12:16,13:9,14:17,16:11,17:4,18:7"
turn,153,12,"6:17,7:16,8:8,9:6,10:10,11:26,12:16,13:5,14:13,16:14,17:8,18:14"
head,149,12,"6:18,7:16,8:10,9:7,10:11,11:19,12:17,13:17,14:10,16:15,17:2,18:7"
tell,136,12,"6:8,7:11,8:13,9:10,10:6,11:5,12:14,13:8,14:20,16:22,17:2,18:17"
woman,130,12,"6:8,7:8,8:48,9:6,10:7,11:23,12:8,13:1,14:6,16:4,17:4,18:7"
way,120,12,"6:5,7:9,8:5,9:10,10:11,11:14,12:13,13:8,14:13,16:17,17:8,18:7"
hand,117,12,"6:7,7:11,8:13,9:4,10:5,11:8,12:10,13:7,14:13,16:13,17:12,18:14"
people,116,12,"6:9,7:15,8:3,9:3,10:5,11:7,12:2,13:4,14:26,16:23,17:9,18:10"
little,111,12,"6:15,7:15,8:1,9:8,10:5,11:2,12:21,13:9,14:13,16:7,17:6,18:9"
take,111,13,"3:1,6:6,7:18,8:11,9:10,10:3,11:9,12:5,13:8,14:18,16:10,17:6,18:6"
ask,108,12,"6:11,7:7,8:12,9:10,10:8,11:6,12:14,13:3,14:14,16:13,17:3,18:7"
place,108,12,"6:5,7:3,8:8,9:3,10:1,11:8,12:19,13:8,14:6,16:25,17:9,18:13"
want,104,12,"6:14,7:9,8:12,9:4,10:6,11:13,12:8,13:4,14:14,16:8,17:6,18:6"
walk,103,12,"3:1,7:14,8:2,9:8,10:2,11:24,12:8,13:6,14:21,16:8,17:6,18:3"
long,100,12,"6:4,7:18,8:7,9:9,10:6,11:8,12:6,13:5,14:11,16:13,17:3,18:10"
car,96,10,"6:19,7:12,8:23,10:4,11:13,12:1,14:1,16:20,17:1,18:2"
foot,96,12,"6:5,7:16,8:5,9:5,10:5,11:23,12:9,13:6,14:3,16:12,17:4,18:3"
leave,94,12,"6:5,7:13,8:6,9:4,10:5,11:10,12:14,13:1,14:9,16:11,17:6,18:10"
mother,93,11,"6:23,7:6,8:6,9:11,10:21,12:12,13:1,14:9,16:2,17:1,18:1"
voice,93,11,"6:7,7:16,8:3,9:5,10:4,11:14,12:11,14:10,16:8,17:7,18:8"
black,91,12,"6:6,7:4,8:3,9:4,10:8,11:12,12:9,13:16,14:4,16:8,17:10,18:7"
girl,89,10,"6:5,7:4,8:8,9:1,10:23,12:1,13:4,14:32,16:7,17:4"
good,89,12,"6:14,7:7,8:9,9:13,10:4,11:3,12:3,13:1,14:22,16:7,17:4,18:2"
feel,87,13,"3:1,6:2,7:3,8:4,9:11,10:3,11:23,12:4,13:5,14:12,16:8,17:2,18:9"
stop,87,12,"6:4,7:5,8:6,9:9,10:5,11:20,12:12,13:1,14:11,16:7,17:3,18:4"
house,79,11,"6:13,7:7,8:9,9:2,10:4,11:8,12:13,14:4,16:11,17:3,18:5"
hold,75,12,"6:9,7:11,8:7,9:5,10:4,11:13,12:4,13:4,14:5,16:6,17:6,18:1"
thing,75,11,"6:6,7:1,8:7,9:2,10:9,11:2,12:12,13:8,14:13,16:10,18:5"
door,74,12,"6:3,7:11,8:5,9:14,10:4,11:6,12:5,13:2,14:8,16:6,17:4,18:6"
hear,73,11,"6:4,7:8,9:3,10:10,11:6,12:11,13:5,14:8,16:9,17:5,18:4"
white,73,10,"6:11,7:6,8:2,11:15,12:10,13:3,14:3,16:12,17:5,18:6"
day,70,12,"6:8,7:8,8:8,9:3,10:2,11:5,12:2,13:1,14:12,16:7,17:5,18:9"
find,69,12,"6:9,7:12,8:1,9:6,10:2,11:9,12:1,13:4,14:4,16:11,17:3,18:7"
arm,68,11,"6:7,7:9,8:8,9:5,10:1,11:8,12:9,13:2,14:2,16:11,17:6"
away,68,13,"3:1,6:4,7:8,8:6,9:4,10:2,11:11,12:6,13:4,14:10,16:5,17:2,18:5"
give,67,12,"6:2,7:5,8:2,9:6,10:3,11:10,12:5,13:4,14:10,16:5,17:9,18:6"
watch,67,12,"6:2,7:8,8:8,9:1,10:7,11:8,12:7,13:1,14:5,16:9,17:8,18:3"
step,65,12,"3:2,6:4,7:2,8:5,9:26,11:6,12:4,13:1,14:4,16:6,17:2,18:3"
forward,64,12,"6:1,7:12,8:6,9:2,10:2,11:13,12:3,13:4,14:6,16:9,17:4,18:2"
let,64,12,"6:8,7:8,8:4,9:2,10:5,11:8,12:9,13:3,14:6,16:2,17:1,18:8"
open,64,12,"6:4,7:11,8:4,9:6,10:3,11:5,12:5,13:4,14:6,16:8,17:6,18:2"
red,64,12,"6:10,7:13,8:1,9:1,10:11,11:1,12:3,13:3,14:6,16:9,17:4,18:2"
run,64,12,"6:6,7:5,8:5,9:2,10:2,11:9,12:9,13:6,14:3,16:5,17:5,18:7"
small,63,12,"6:4,7:5,8:3,9:3,10:3,11:10,12:14,13:1,14:6,16:6,17:3,18:5"
year,63,12,"6:2,7:3,8:2,9:13,10:4,11:6,12:1,13:7,14:10,16:5,17:7,18:3"
work,62,12,"6:2,7:1,8:4,9:1,10:2,11:3,12:9,13:1,14:6,16:14,17:10,18:9"
hat,60,10,"6:9,7:4,8:9,11:16,12:3,13:4,14:4,16:5,17:2,18:4"
minute,58,12,"6:10,7:4,8:2,9:5,10:1,11:11,12:5,13:1,14:9,16:3,17:2,18:5"
word,57,10,"7:3,8:5,9:4,11:1,12:5,13:15,14:7,16:10,17:4,18:3"
ai,56,12,"6:7,7:7,8:7,9:4,10:1,11:3,12:9,13:1,14:5,16:7,17:3,18:2"
nigger,56,7,"6:2,9:1,10:1,11:20,16:22,17:7,18:3"
window,56,8,"6:5,7:3,8:8,10:9,11:13,12:14,16:1,17:3"
mouth,55,11,"6:5,7:7,9:4,10:7,11:6,12:6,13:1,14:3,16:9,17:3,18:4"
move,54,12,"6:4,7:10,8:4,9:7,10:2,11:5,12:6,13:2,14:3,16:6,17:1,18:4"
blue,53,11,"6:9,7:5,8:5,10:6,11:2,12:5,13:1,14:8,16:8,17:2,18:2"
end,53,12,"6:2,7:7,8:3,9:6,10:6,11:6,12:3,13:2,14:8,16:4,17:4,18:2"
right,53,11,"6:16,7:4,8:8,9:4,10:2,11:6,12:2,13:2,14:4,16:2,18:3"
road,53,11,"6:10,7:8,8:4,9:2,10:2,11:2,12:12,14:1,16:6,17:4,18:2"
talk,53,12,"6:5,7:1,8:2,9:2,10:5,11:1,12:5,13:4,14:5,16:7,17:5,18:11"
wood,53,7,"6:15,7:5,10:2,11:3,12:22,14:5,18:1"
grandmother,52,2,"6:51,10:1"
wait,52,12,"6:1,7:11,8:1,9:8,10:2,11:4,12:5,13:3,14:3,16:2,17:1,18:11"
big,50,11,"6:2,7:3,8:2,9:4,10:5,11:4,12:17,13:6,14:1,16:4,17:2"
light,50,11,"6:1,7:6,8:2,10:10,11:15,12:2,13:4,14:3,16:5,17:1,18:1"
dark,49,12,"3:1,6:4,7:7,8:4,9:6,10:5,11:8,12:4,13:1,14:2,16:4,17:3"
drive,47,11,"6:2,7:4,8:10,10:7,11:2,12:5,13:1,14:2,16:10,17:2,18:2"
high,47,10,"6:3,7:10,9:5,10:4,11:3,12:5,13:3,14:2,16:6,17:6"
lady,47,7,"6:24,8:7,10:2,12:6,13:2,14:4,18:2"
sun,47,10,"6:2,7:9,8:6,9:1,10:3,11:4,12:7,13:4,16:8,18:3"
hang,46,12,"6:3,7:11,8:7,9:2,10:5,11:5,12:4,13:1,14:2,16:2,17:2,18:2"
priest,46,3,"10:2,16:27,18:17"
tree,45,9,"6:10,7:5,8:3,10:3,11:2,12:15,14:1,16:5,18:1"
like,44,11,"6:5,7:1,9:5,10:4,11:7,12:3,13:3,14:6,16:4,17:3,18:3"
room,44,10,"6:1,7:13,9:6,10:2,11:6,12:2,13:3,14:6,16:4,17:1"
pass,43,10,"6:4,7:5,8:2,10:1,11:21,12:3,13:1,14:3,16:2,17:1"
point,43,11,"6:7,8:6,9:2,10:2,11:2,12:6,13:1,14:7,16:7,17:2,18:1"
slowly,43,10,"6:3,7:8,8:5,9:2,10:1,11:9,12:2,13:2,16:6,17:5"
try,43,12,"6:3,7:4,8:1,9:3,10:2,11:4,12:7,13:4,14:8,16:3,17:2,18:2"
leg,42,10,"6:4,7:1,9:2,10:2,11:2,12:3,14:16,16:6,17:1,18:5"
live,42,11,"6:6,7:4,8:5,9:6,11:3,12:4,13:6,14:3,16:3,17:1,18:1"
start,42,12,"6:2,7:3,8:1,9:5,10:5,11:4,12:5,13:6,14:1,16:4,17:1,18:5"
chair,41,12,"6:2,7:3,8:5,9:5,10:1,11:4,12:7,13:6,14:2,16:2,17:2,18:2"
mutter,41,11,"6:1,7:3,8:2,9:6,11:4,12:6,13:1,14:3,16:10,17:4,18:1"
floor,40,10,"3:1,6:4,7:5,8:4,9:13,10:5,11:5,16:1,17:1,18:1"
gray,40,10,"6:6,7:9,8:3,9:2,10:1,11:8,12:3,13:5,16:2,17:1"
