word,total_count
gul,6
twict,6
oncet,4
thisaway,4
damm,3
innerlining,3
preemy,3
thown,3
aloose,2
beauti,2
brooder,2
daid,2
gulley,2
highchair,2
howcome,2
insuck,2
monstrance,2
nic,2
peachicken,2
runnum,2
soward,2
toljer,2
usherette,2
abashed,1
adhering,1
afflicted,1
arn't,1
arrre,1
attact,1
bamme,1
beaue,1
birdrrrd,1
birrrrd,1
bolero,1
borry,1
burrttddt,1
censer,1
chate,1
chim,1
chiropodist,1
chiropracter,1
chrustian,1
circuitously,1
croom,1
daddy'll,1
ddbirrrttdt,1
dignifying,1
disagreeableness,1
displaced,1
encircling,1
enlarging,1
exaction,1
fatback,1
ferris,1
firstopppppmry,1
getcher,1
gladiola,1
gonter,1
goot,1
gottem,1
grandmamma,1
grillework,1
hardened,1
hightoppe,1
hippopotamus,1
inraduce,1
jointure,1
kepaholt,1
latter,1
letz,1
littlest,1
losest,1
morrre,1
nashnul,1
ner,1
nickelodeon,1
niggerl,1
overfreighted,1
peafowl,1
pervide,1
porrrrr,1
reckernize,1
righteousl,1
ringfield,1
screeke,1
secont,1
shallying,1
sher,1
shilly,1
slothful,1
smocked,1
sorehead,1
sugarpie,1
teet,1
terrectly,1
theseyer,1
thet,1
throatful,1
timbrous,1
tuxseeder,1
twaddle,1
unbaited,1
unrecognition,1
unreformed,1
upsidedown,1
uve,1
where,1
wrongsideout,1
yean,1
