word,total_count,chapter_count,chapters
say,232,10,"2:2,3:24,4:23,5:15,6:24,7:23,8:22,9:62,10:17,11:20"
come,202,10,"2:4,3:20,4:12,5:15,6:37,7:14,8:14,9:44,10:20,11:22"
go,187,10,"2:1,3:12,4:20,5:21,6:21,7:25,8:5,9:46,10:20,11:16"
look,170,9,"3:21,4:22,5:17,6:21,7:23,8:9,9:31,10:8,11:18"
know,169,11,"1:2,2:4,3:19,4:12,5:23,6:21,7:5,8:13,9:30,10:21,11:19"
man,154,11,"1:1,2:1,3:17,4:14,5:30,6:22,7:9,8:8,9:19,10:11,11:22"
think,121,11,"1:2,2:2,3:12,4:12,5:14,6:14,7:17,8:4,9:18,10:7,11:19"
house,104,10,"3:12,4:2,5:7,6:12,7:16,8:7,9:17,10:15,11:15,12:1"
time,104,11,"1:6,2:4,3:4,4:10,5:10,6:14,7:6,8:9,9:14,10:16,11:11"
hand,103,10,"3:8,4:9,5:12,6:12,7:10,8:4,9:25,10:7,11:15,12:1"
little,103,11,"1:1,2:2,3:15,4:7,5:13,6:14,7:8,8:6,9:19,10:7,11:11"
want,97,11,"1:4,2:4,3:8,4:7,5:8,6:12,7:3,8:8,9:26,10:7,11:10"
get,95,9,"3:8,4:14,5:6,6:5,7:8,8:5,9:30,10:5,11:14"
eye,89,9,"3:10,4:8,5:6,6:8,7:10,8:5,9:21,10:6,11:15"
car,88,11,"1:1,2:1,3:2,4:6,5:7,6:9,7:3,8:2,9:32,10:14,11:11"
see,85,10,"1:2,3:7,4:1,5:6,6:16,7:7,8:5,9:19,10:7,11:15"
moment,83,11,"1:10,2:1,3:9,4:7,5:11,6:3,7:11,8:6,9:15,10:3,11:7"
room,83,9,"3:11,4:11,5:2,6:8,7:17,8:4,9:16,10:7,11:7"
turn,82,11,"1:1,3:9,4:8,5:10,6:6,7:9,8:5,9:18,10:10,11:5,12:1"
old,81,10,"1:2,3:7,4:7,5:7,6:15,7:11,8:5,9:13,10:4,11:10"
tell,80,10,"2:1,3:6,4:7,5:8,6:8,7:6,8:6,9:16,10:11,11:11"
way,80,10,"1:3,3:12,4:5,5:10,6:8,7:4,8:7,9:13,10:10,11:8"
night,73,9,"3:6,4:2,5:17,6:9,7:4,8:7,9:6,10:12,11:10"
away,72,10,"1:2,3:8,4:8,5:5,6:5,7:3,8:2,9:17,10:8,11:14"
take,72,10,"2:1,3:4,4:3,5:7,6:9,7:13,8:4,9:8,10:11,11:12"
face,71,9,"3:9,4:7,5:9,6:4,7:6,8:6,9:19,10:7,11:4"
girl,71,10,"1:2,2:3,3:11,4:6,5:23,6:13,8:6,9:4,10:2,11:1"
door,69,10,"2:1,3:2,4:8,5:11,6:7,7:11,8:4,9:15,10:3,11:7"
voice,69,10,"1:1,3:9,4:7,5:10,6:4,7:9,8:4,9:17,10:3,11:5"
year,69,13,"1:5,2:4,3:10,4:3,5:2,6:11,7:6,8:11,9:8,10:2,11:5,12:1,13:1"
people,68,12,"1:2,2:2,3:11,4:5,5:10,6:9,7:3,8:12,9:6,10:2,11:5,15:1"
thing,68,11,"1:1,2:2,3:18,4:5,5:4,6:6,7:7,8:6,9:5,10:8,11:6"
hear,66,11,"1:1,2:1,3:14,4:2,5:3,6:5,7:5,8:6,9:16,10:5,11:8"
long,66,10,"2:4,3:9,4:3,5:8,6:8,7:3,8:3,9:5,10:15,11:8"
begin,65,10,"2:1,3:5,5:6,6:9,7:9,8:3,9:12,10:8,11:10,12:2"
light,63,10,"2:1,3:8,4:4,5:4,6:3,7:14,8:5,9:12,10:5,11:7"
leave,61,10,"2:1,3:5,4:3,5:5,6:6,7:1,8:7,9:14,10:10,11:9"
sit,61,9,"3:7,4:9,5:4,6:7,7:8,8:7,9:8,10:7,11:4"
day,60,11,"1:1,3:7,4:5,5:4,6:9,7:5,8:5,9:10,10:8,11:5,12:1"
young,58,10,"1:9,2:3,3:8,5:11,6:13,7:1,8:4,9:2,10:2,11:5"
find,57,9,"3:6,4:2,5:8,6:9,7:1,8:4,9:11,10:11,11:5"
love,54,11,"1:9,2:2,3:2,5:2,6:1,7:3,8:3,9:21,10:9,11:1,14:1"
stand,53,11,"2:1,3:7,4:5,5:6,6:1,7:3,8:3,9:15,10:6,11:5,12:1"
ask,52,10,"2:1,3:6,4:6,5:5,6:8,7:5,8:5,9:8,10:4,11:4"
open,50,11,"1:1,2:2,3:4,4:1,5:3,6:2,7:8,8:2,9:13,10:9,11:5"
try,50,10,"2:3,3:4,4:4,5:6,6:3,7:2,8:4,9:10,10:9,11:5"
drive,48,10,"1:1,3:3,4:3,5:7,6:5,7:3,8:3,9:15,10:5,11:3"
minute,48,9,"3:6,4:1,5:6,6:3,7:5,8:4,9:10,10:7,11:6"
right,47,10,"3:6,4:4,5:4,6:8,7:3,8:5,9:4,10:3,11:8,15:2"
hour,46,9,"3:2,4:1,5:5,6:6,7:8,8:5,9:7,10:5,11:7"
white,46,9,"3:8,4:7,5:2,6:10,7:1,8:5,9:9,10:2,11:2"
feel,45,10,"1:4,2:2,3:7,4:2,5:6,7:4,8:2,9:6,10:8,11:4"
give,45,11,"1:1,2:2,3:7,4:5,5:7,6:4,8:5,9:6,10:5,11:2,12:1"
afternoon,43,9,"3:2,4:9,5:1,6:6,7:1,8:2,9:9,10:7,11:6"
good,43,11,"1:1,2:3,3:6,4:3,5:10,6:4,7:3,8:2,9:3,10:3,11:5"
word,43,10,"1:1,3:8,5:4,6:3,7:3,8:2,9:10,10:3,11:5,12:4"
sport,42,7,"5:6,6:9,7:11,8:1,9:11,10:3,11:1"
head,40,9,"3:5,4:3,5:4,6:4,7:7,8:2,9:9,10:2,11:4"
let,40,10,"2:1,3:3,4:2,5:2,6:5,7:1,8:3,9:16,10:1,11:6"
suddenly,40,10,"2:1,3:3,4:3,5:6,6:4,7:1,8:3,9:10,10:3,11:6"
talk,40,9,"2:1,3:8,5:4,6:4,7:6,8:1,9:7,10:7,11:2"
life,39,11,"1:6,2:2,3:6,4:2,5:4,6:3,7:2,8:3,9:6,10:3,11:2"
move,39,10,"2:1,3:5,4:7,5:3,6:4,8:4,9:6,10:4,11:4,12:1"
start,39,10,"1:1,3:4,4:3,5:4,6:5,7:1,8:3,9:6,10:5,11:7"
call,38,11,"2:1,3:2,4:4,5:2,6:5,7:2,8:2,9:4,10:3,11:11,12:2"
small,38,11,"2:2,3:2,4:8,5:2,6:2,7:5,8:2,9:9,10:4,11:1,12:1"
wait,38,10,"2:1,3:3,4:3,5:3,6:2,7:5,8:4,9:11,10:3,11:3"
walk,38,10,"1:1,3:3,4:3,5:4,6:2,7:4,8:5,9:8,10:3,11:5"
window,38,7,"3:5,4:4,5:2,7:6,9:8,10:9,11:4"
cry,37,9,"3:2,4:5,5:3,6:3,7:4,8:2,9:14,10:2,11:2"
new,37,14,"1:6,2:1,3:3,4:1,5:5,6:2,7:3,8:2,9:6,10:3,11:2,12:1,16:1,17:1"
table,37,8,"3:7,4:3,5:6,6:6,7:2,8:1,9:8,10:4"
break,36,9,"3:3,4:4,5:2,6:3,7:2,8:3,9:8,10:5,11:6"
fall,36,10,"1:5,3:2,5:2,6:2,7:5,8:2,9:12,10:4,11:1,12:1"
change,35,11,"1:6,3:1,4:6,5:5,6:3,7:2,8:3,9:3,10:4,11:1,12:1"
like,35,13,"1:1,2:1,3:4,4:4,5:7,6:2,7:2,8:4,9:4,10:1,11:3,16:1,17:1"
live,35,14,"1:1,2:3,3:4,4:8,5:4,6:2,7:2,8:2,9:1,10:2,11:2,12:1,13:1,15:2"
stop,35,8,"3:4,4:2,5:2,7:4,8:1,9:10,10:6,11:6"
woman,35,7,"3:6,4:5,5:6,6:1,8:9,9:6,11:2"
