word,total_count
ashheap,5
fitzgerald,4
ga,3
gonnegtion,3
hydroplane,3
cious,2
commuting,2
dilatory,2
orgastic,2
prac,2
adventitious,1
appendicitus,1
aquaplane,1
attempting,1
blazingly,1
caravansary,1
commutation,1
contributary,1
deare,1
dishevelled,1
dissimilarity,1
echolalia,1
elaborateness,1
elongating,1
emendation,1
explicate,1
extemporizing,1
faster'n,1
fitz,1
fractiousness,1
fragilely,1
fruiterer,1
gas'line,1
gaudiness,1
gayetie,1
glitz,1
gratulate,1
gruffness,1
immutability,1
impressionability,1
inconsequence,1
indiscernible,1
indistinguishably,1
individualistically,1
ineptly,1
inhospitably,1
insularity,1
irrecoverable,1
jonquil,1
kyke,1
marvelling,1
misogynistic,1
modish,1
mumbled,1
myrtle'll,1
nob,1
nutcracker,1
obstetrical,1
oppressiveness,1
outstay,1
overwound,1
paintless,1
pasquinade,1
pathfinder,1
pitful,1
plagiaristic,1
preyed,1
prig,1
prodigality,1
pulpless,1
puppyish,1
railed,1
rajah,1
responsiveness,1
revalue,1
shiftlessness,1
sickantire,1
somnambulatory,1
spectroscopic,1
sportswoman,1
stopus,1
substantiality,1
tactlessly,1
there're,1
thickish,1
ulster,1
unadaptable,1
uncollected,1
uncommunicable,1
undeserted,1
undespairingly,1
unequally,1
unessential,1
unrestfully,1
unthoughtful,1
vinous,1
washrag,1
wonder'ff,1
yachting,1
younger,1
