word,total_count,chapter_count,chapters
say,521,13,"2:58,3:19,4:39,5:50,6:79,7:9,8:11,9:52,10:6,11:35,12:37,13:60,14:66"
come,347,13,"2:36,3:9,4:24,5:29,6:59,7:16,8:10,9:19,10:4,11:20,12:18,13:31,14:72"
go,305,13,"2:16,3:8,4:19,5:25,6:56,7:14,8:6,9:15,10:7,11:26,12:7,13:33,14:73"
look,232,13,"2:8,3:11,4:10,5:15,6:25,7:12,8:7,9:15,10:4,11:17,12:19,13:33,14:56"
see,201,13,"2:12,3:3,4:23,5:19,6:19,7:5,8:4,9:8,10:3,11:14,12:9,13:31,14:51"
good,186,13,"1:1,2:30,3:5,4:18,5:13,6:34,7:8,8:5,9:12,11:7,12:7,13:15,14:31"
know,177,14,"1:2,2:23,3:4,4:16,5:14,6:24,7:6,8:5,9:19,10:1,11:15,12:5,13:8,14:35"
head,174,13,"2:3,3:10,4:6,5:14,6:27,7:4,8:7,9:8,10:8,11:11,12:9,13:23,14:44"
shoot,173,13,"2:14,3:12,4:20,5:18,6:19,7:17,8:4,9:11,10:3,11:14,12:4,13:6,14:31"
pop,172,13,"2:14,3:5,4:14,5:27,6:51,7:3,8:3,9:16,10:2,11:9,12:13,13:2,14:13"
get,157,13,"2:9,3:1,4:18,5:8,6:18,7:7,8:7,9:12,10:5,11:11,12:17,13:12,14:32"
man,152,13,"2:20,3:2,4:10,5:4,6:4,7:2,8:2,9:7,10:3,11:13,12:11,13:36,14:38"
big,137,13,"2:9,3:4,4:5,5:6,6:17,7:5,8:5,9:6,10:4,11:6,12:9,13:20,14:41"
bull,137,11,"2:9,3:1,4:8,6:24,8:7,9:3,10:3,11:6,12:9,13:13,14:54"
country,133,11,"2:10,4:14,5:15,6:16,8:8,9:18,10:2,11:7,12:3,13:9,14:31"
time,130,13,"2:19,3:3,4:11,5:16,6:21,7:9,8:4,9:9,10:1,11:5,12:5,13:5,14:22"
hill,129,13,"2:3,3:1,4:18,5:7,6:14,7:7,8:13,9:10,10:2,11:9,12:8,13:2,14:35"
old,128,12,"2:4,3:3,4:6,5:1,6:9,8:3,9:11,10:1,11:9,12:14,13:33,14:34"
tree,120,12,"2:10,3:4,4:13,5:7,6:25,7:2,8:7,9:8,11:8,12:3,13:15,14:18"
long,119,13,"2:12,3:4,4:6,5:9,6:16,7:6,8:3,9:15,10:3,11:5,12:6,13:15,14:19"
think,117,12,"2:12,3:2,4:13,5:8,6:17,7:3,9:5,10:3,11:5,12:8,13:8,14:33"
tell,106,14,"1:1,2:19,3:2,4:2,5:5,6:12,7:1,8:1,9:15,10:1,11:10,12:5,13:12,14:20"
hunt,102,12,"2:12,4:16,5:5,6:12,7:2,8:6,9:11,10:1,11:5,12:6,13:4,14:22"
track,100,12,"2:9,3:2,4:3,5:2,6:14,7:3,8:1,9:3,11:20,12:6,13:5,14:32"
way,100,13,"2:14,3:3,4:3,5:8,6:16,7:3,8:1,9:11,10:2,11:6,12:1,13:11,14:21"
feel,99,12,"2:5,3:4,4:13,5:11,6:12,7:3,8:7,9:3,11:6,12:3,13:9,14:23"
start,96,13,"2:7,3:3,4:9,5:5,6:9,7:4,8:3,9:4,10:2,11:7,12:6,13:10,14:27"
kudu,94,12,"2:18,3:1,4:2,5:2,6:1,8:9,9:9,10:9,11:9,12:10,13:15,14:9"
camp,93,13,"2:4,3:6,4:12,5:8,6:9,7:3,8:5,9:6,10:3,11:5,12:6,13:12,14:14"
car,92,11,"2:6,3:4,4:3,5:1,7:10,8:2,9:7,11:9,12:15,13:14,14:21"
