word,total_count
kudu,94
oryx,16
shamba,8
eland,6
n'dio,5
bathi,3
braggie,3
saltlick,3
sisal,3
trailing,3
waterbuck,3
breeched,2
campi,2
damu,2
fisi,2
grebe,2
impalla,2
incher,2
kongoni,2
masai,2
quinine,2
reedbuck,2
rutting,2
sana,2
spearman,2
spearsman,2
strawy,2
sweatband,2
withe,2
accenting,1
angleworm,1
askari,1
b'wana,1
backgrounding,1
biter,1
blackwater,1
boltless,1
bood,1
brideful,1
bridging,1
browsing,1
bushbuck,1
bustard,1
cahor,1
chai,1
citronella,1
coco,1
congratulator,1
copra,1
curlews,1
dichter,1
dictionarie,1
donga,1
drizzlingly,1
emetine,1
encountering,1
flighted,1
gerenuk,1
godwit,1
headskin,1
hoptoad,1
huguenot,1
hyenic,1
indemnification,1
klaxone,1
knifely,1
kuro,1
leggedly,1
memsahib,1
miler,1
mucking,1
ngoma,1
nighthawk,1
niglit,1
orrid,1
outrightly,1
outwalk,1
panga,1
pangas,1
piga,1
roadhness,1
rockslide,1
roostery,1
sanseviera,1
savannah,1
scalpeling,1
senseviera,1
shenzi,1
shootable,1
shovelling,1
simba,1
sinkable,1
smardt,1
storekeepe,1
straiglitene,1
tarahalla,1
teil,1
tendacious,1
uncrushable,1
unhelpe,1
unhesitant,1
unhooded,1
unnumbered,1
unreasonableness,1
unresponsibility,1
unsalte,1
untragic,1
vertebral,1
vulcanize,1
was,1
whunk,1
wifely,1
wildebeeste,1
wooshing,1
yowler,1
