word,total_count
skrewts,26
hic,18
leprechaun,18
skrewt,18
shamrock,12
mediwizard,5
eclair,4
haff,4
armadillo,3
barty,3
curtsying,3
dorr,3
merperson,3
mersong,3
ope,3
rennervate,3
bubotuber,2
cobbe,2
gaunter,2
hornbeam,2
mer,2
mulled,2
omniocular,2
orse,2
penfriend,2
seemply,2
servicing,2
shrugging,2
aaaaaaaarrrrrgh,1
aaaaaaand,1
aaaaahe,1
again,1
alvay,1
alvays,1
andling,1
apar,1
arrgh,1
asn't,1
bedroome,1
betweentime,1
bewitchment,1
blancmange,1
blueish,1
bluey,1
bouillabaisse,1
bugging,1
c'est,1
carriages'll,1
chairwizard,1
champions'll,1
chortling,1
cloaked,1
club'll,1
cockatrice,1
competin,1
densest,1
disembarking,1
disgraced,1
disobliging,1
dumbledore'd,1
eauxbaton,1
eavy,1
eckeltricity,1
eef,1
elderflower,1
elpe,1
enchantingly,1
enjoyably,1
entaire,1
erm,1
espite,1
esson,1
evildoer,1
floaty,1
gateau,1
gobbe,1
gran'd,1
grandmuzzer,1
harebraine,1
headmistresse,1
herbology,1
horselike,1
hrough,1
inattentively,1
injust,1
kids'll,1
kilte,1
krum'll,1
l'avon,1
lairy,1
larger,1
lutche,1
magine,1
manky,1
ministry'll,1
mistakes,1
molared,1
ne,1
nevair,1
nosing,1
oldemort,1
on't,1
oooohe,1
ooooohe,1
orchideous,1
ormtail,1
ostage,1
pacifying,1
patroller,1
peckish,1
perdue,1
phut,1
pigwidgeon,1
pillock,1
practicing,1
reawoken,1
rebirthe,1
reckon'll,1
regurgitated,1
resubmitte,1
rosier,1
saleswizard,1
sanctimoniously,1
sanest,1
scaly,1
scenes,1
seasickness,1
semifinal,1
shabbiness,1
shortlist,1
skeletally,1
sleeplessly,1
smarm,1
sneakoscope,1
somersaulting,1
spoilsport,1
storming,1
straigh,1
swooshing,1
swotty,1
tetchy,1
trustin,1
tudent,1
tuffet,1
tutting,1
uge,1
unaspected,1
unblock,1
unblockable,1
underrepresented,1
undoable,1
unknit,1
unnaturalness,1
unrivale,1
unsweetene,1
untouche,1
upfield,1
urmstrang,1
urt,1
uzzer,1
vant,1
vare,1
verybody,1
vinter,1
vith,1
vole,1
von't,1
vont,1
vood,1
votche,1
votever,1
wheezily,1
wolverine,1
wormtail,1
yecchh,1
zair,1
