word,total_count,chapter_count,chapters
say,463,26,"1:15,2:5,3:19,4:16,5:27,6:18,7:31,8:21,9:31,10:33,12:5,13:8,14:1,15:19,16:19,17:1,18:3,19:15,20:33,21:3,22:41,23:34,24:11,25:17,26:15,27:22"
know,353,27,"1:10,2:14,3:18,4:5,5:6,6:18,7:19,8:8,9:13,10:9,11:14,12:14,13:12,14:5,15:13,16:14,17:11,18:18,19:19,20:17,21:14,22:15,23:15,24:8,25:15,26:8,27:21"
think,280,27,"1:7,2:12,3:6,4:9,5:8,6:11,7:8,8:7,9:18,10:13,11:12,12:15,13:4,14:8,15:11,16:10,17:6,18:9,19:11,20:7,21:10,22:13,23:17,24:11,25:13,26:12,27:12"
time,221,27,"1:11,2:12,3:12,4:9,5:6,6:7,7:11,8:6,9:6,10:6,11:5,12:6,13:16,14:4,15:8,16:9,17:14,18:6,19:3,20:5,21:6,22:7,23:7,24:10,25:6,26:5,27:18"
go,208,27,"1:4,2:8,3:6,4:12,5:6,6:4,7:8,8:3,9:12,10:7,11:10,12:7,13:7,14:5,15:6,16:4,17:6,18:5,19:14,20:23,21:9,22:3,23:12,24:2,25:7,26:4,27:14"
hand,206,27,"1:5,2:8,3:7,4:6,5:10,6:4,7:9,8:2,9:9,10:11,11:3,12:3,13:17,14:9,15:5,16:6,17:7,18:8,19:5,20:7,21:11,22:8,23:9,24:3,25:17,26:6,27:11"
try,184,27,"1:9,2:6,3:10,4:5,5:4,6:6,7:6,8:5,9:14,10:4,11:3,12:7,13:10,14:7,15:7,16:2,17:5,18:6,19:8,20:9,21:7,22:8,23:10,24:2,25:8,26:8,27:8"
come,176,27,"1:8,2:9,3:10,4:5,5:4,6:7,7:9,8:8,9:13,10:8,11:7,12:1,13:4,14:6,15:9,16:5,17:4,18:7,19:9,20:7,21:5,22:3,23:9,24:2,25:5,26:5,27:7"
right,176,27,"1:4,2:4,3:3,4:5,5:8,6:4,7:11,8:3,9:12,10:7,11:8,12:3,13:2,14:2,15:7,16:6,17:5,18:6,19:14,20:8,21:9,22:8,23:11,24:5,25:5,26:6,27:10"
look,173,27,"1:13,2:7,3:3,4:7,5:15,6:11,7:11,8:4,9:10,10:6,11:3,12:6,13:6,14:4,15:2,16:1,17:3,18:6,19:11,20:11,21:2,22:4,23:3,24:4,25:2,26:9,27:9"
good,164,27,"1:13,2:2,3:7,4:6,5:1,6:2,7:7,8:3,9:9,10:8,11:4,12:9,13:4,14:4,15:5,16:7,17:8,18:6,19:6,20:10,21:7,22:7,23:10,24:6,25:4,26:3,27:6"
tribute,163,25,"1:4,2:5,3:5,4:7,5:12,6:5,7:16,8:8,9:11,10:8,11:17,12:8,13:5,15:2,16:10,17:5,18:8,19:3,20:2,21:2,23:3,24:3,25:5,26:4,27:5"
thing,160,27,"1:5,2:1,3:10,4:7,5:6,6:3,7:4,8:2,9:9,10:3,11:5,12:7,13:3,14:3,15:9,16:6,17:4,18:3,19:8,20:8,21:6,22:12,23:10,24:4,25:6,26:6,27:10"
want,152,27,"1:4,2:4,3:5,4:2,5:2,6:3,7:7,8:6,9:7,10:10,11:5,12:4,13:5,14:3,15:9,16:2,17:3,18:6,19:6,20:7,21:2,22:14,23:12,24:7,25:3,26:7,27:7"
eye,142,27,"1:7,2:7,3:4,4:2,5:5,6:6,7:11,8:3,9:8,10:5,11:4,12:4,13:5,14:6,15:5,16:3,17:3,18:3,19:9,20:6,21:6,22:5,23:4,24:3,25:9,26:5,27:4"
