word,total_count
jacker,22
groosling,14
peeta,10
haymitch,7
foxface,4
tessera,4
groosle,2
hairband,2
adjusting,1
airtime,1
antiinfection,1
barbedwire,1
believably,1
bonier,1
breadbasket,1
closecroppe,1
crowdline,1
deadliest,1
designteam,1
drivencrazy,1
dyed,1
eligibility,1
euuuh,1
flaunted,1
foulsmelle,1
ger,1
greenand,1
halfgallon,1
hardpacked,1
headpiece,1
heartbreaker,1
highlighting,1
humanmade,1
hundredpound,1
impulsiveness,1
insectlike,1
lesser,1
lightheade,1
lor,1
moisturize,1
mouser,1
nightlock,1
outfox,1
outscore,1
outshine,1
overcook,1
overpowered,1
parsnip,1
pokeweed,1
pressingly,1
readied,1
refasten,1
reorder,1
rewatch,1
rootgathering,1
rowdily,1
sate,1
selfalteration,1
seventyfour,1
sophisticatedlooke,1
splotchy,1
staman,1
starcrosse,1
stings,1
tartness,1
threefoot,1
toface,1
unattainably,1
underfeed,1
untangling,1
waterbird,1
weightlifting,1
youalone,1
