word,total_count,chapter_count,chapters
say,281,36,"2:2,4:6,5:1,6:3,7:6,8:10,9:4,10:4,11:9,12:6,13:5,14:12,15:8,16:1,17:25,18:5,19:13,20:8,21:1,22:7,23:12,24:21,25:12,26:22,27:13,28:6,29:2,30:2,31:11,32:13,33:10,34:5,35:5,36:4,37:4,38:3"
go,260,37,"2:3,3:6,4:1,5:1,6:3,7:5,8:11,9:1,10:5,11:17,12:5,13:7,14:19,15:4,17:8,18:7,19:9,20:12,21:5,22:2,23:10,24:15,25:15,26:14,27:7,28:8,29:1,30:2,31:7,32:12,33:7,34:3,35:6,36:9,37:7,38:5,39:1"
know,257,36,"2:5,3:1,4:6,6:5,7:8,8:9,9:3,10:7,11:7,12:9,13:8,14:6,15:11,16:4,17:11,18:11,19:7,20:10,22:7,23:8,24:19,25:12,26:8,27:8,28:4,29:4,30:6,31:7,32:6,33:7,34:2,35:7,36:6,37:10,38:6,40:2"
come,204,36,"2:4,4:2,5:4,6:2,7:8,8:11,9:1,10:8,11:4,12:7,13:10,14:12,15:6,16:3,17:8,18:4,19:10,20:10,21:2,22:3,23:4,24:16,25:15,26:5,27:6,28:5,29:1,30:2,31:1,32:5,33:8,34:1,35:7,36:3,37:4,38:2"
time,190,35,"2:1,3:3,4:3,6:5,7:5,8:18,9:3,10:3,11:7,12:7,13:5,14:4,15:4,16:2,17:10,18:4,19:5,20:7,21:1,22:10,23:5,24:10,25:10,26:2,27:4,28:4,29:5,30:4,31:3,32:8,33:3,35:5,36:6,37:8,38:6"
look,177,34,"2:8,3:2,4:5,5:2,6:6,7:12,8:12,9:2,10:3,11:6,12:1,13:5,14:3,15:7,16:2,17:9,18:5,19:6,20:6,21:3,22:9,24:10,25:10,26:6,27:2,28:4,29:1,32:6,33:7,34:1,35:1,36:5,37:6,38:4"
man,167,30,"3:1,4:4,5:3,6:9,8:8,9:2,11:4,12:8,13:4,15:12,17:2,18:1,19:2,20:10,21:9,22:1,24:3,25:9,26:2,27:21,28:1,29:2,31:18,32:12,33:2,34:1,35:11,36:1,37:3,38:1"
child,165,33,"2:4,3:4,4:10,5:2,6:8,7:6,8:18,10:4,11:6,12:8,13:3,14:3,15:2,16:1,17:5,18:3,19:6,20:8,21:3,22:11,23:1,24:14,25:10,26:1,27:2,28:3,30:1,31:1,32:7,33:5,34:2,36:1,38:2"
tell,154,34,"1:1,2:1,3:1,4:2,5:2,7:2,8:4,10:4,11:8,12:5,13:6,14:14,15:9,16:2,17:2,18:7,19:8,20:6,22:1,23:5,24:10,25:2,26:2,27:4,28:4,29:1,30:2,31:9,32:8,33:4,35:3,36:5,37:5,38:5"
think,148,35,"2:2,4:3,5:1,6:4,7:3,8:5,9:1,10:4,11:8,12:4,13:5,14:3,15:5,16:2,17:11,18:3,19:6,20:3,22:10,23:4,24:3,25:6,26:2,27:3,28:1,29:2,30:1,31:3,32:12,33:6,34:2,35:3,36:4,37:9,38:4"
