word,total_count,chapter_count,chapters
robot,498,16,"2:13,3:45,4:4,5:70,6:58,7:57,8:5,9:30,10:3,11:120,12:19,13:1,14:59,15:3,16:10,17:1"
say,312,15,"2:7,3:19,4:1,5:27,6:29,7:45,8:3,9:22,10:3,11:39,12:59,13:2,14:28,16:27,17:1"
know,261,14,"2:7,3:19,4:2,5:25,6:10,7:43,8:1,9:42,10:3,11:32,12:19,13:1,14:28,16:29"
go,166,12,"2:1,3:23,5:13,6:22,7:38,8:1,9:11,11:14,12:22,13:1,14:11,16:9"
come,156,14,"2:1,3:20,4:1,5:17,6:19,7:9,8:1,9:11,10:1,11:27,12:26,14:13,16:9,17:1"
human,140,11,"2:9,3:6,5:8,6:16,7:11,9:2,11:24,12:11,13:1,14:33,16:19"
look,140,13,"2:5,3:20,4:3,5:15,6:14,7:22,8:1,9:13,10:1,11:9,12:19,14:11,16:7"
think,139,14,"2:3,3:7,4:3,5:14,6:11,7:13,8:1,9:20,11:25,12:8,13:1,14:15,15:1,16:17"
tell,134,11,"2:3,3:11,5:6,6:4,7:12,9:27,10:1,11:31,12:13,14:16,16:10"
eye,130,10,"2:2,3:18,5:11,6:23,7:9,9:28,11:16,12:8,14:12,16:3"
time,130,12,"2:4,3:14,4:1,5:15,6:5,7:28,9:7,11:24,12:8,14:7,15:1,16:16"
man,126,14,"2:1,3:4,4:2,5:2,6:4,7:6,8:1,9:9,10:2,11:24,12:11,13:2,14:35,16:23"
get,109,10,"2:1,3:8,5:11,6:9,7:29,9:15,11:7,12:20,14:4,16:5"
want,109,12,"2:1,3:12,4:1,5:7,6:4,7:9,9:19,10:1,11:29,12:13,14:7,16:6"
voice,105,12,"2:1,3:10,5:13,6:12,7:8,8:1,9:25,11:8,12:16,13:1,14:8,16:2"
right,104,11,"2:2,3:7,4:1,5:11,6:9,7:24,9:6,11:11,12:17,14:9,16:7"
let,91,10,"2:1,3:5,5:10,6:13,7:9,9:7,11:10,12:15,14:7,16:14"
way,90,12,"2:2,3:6,5:8,6:4,7:19,9:6,10:1,11:13,12:11,14:10,15:1,16:9"
work,88,10,"2:2,3:1,5:8,6:5,7:22,9:6,11:25,12:1,14:6,16:12"
answer,87,10,"3:8,5:2,6:8,7:7,9:18,10:1,11:2,12:17,14:4,16:20"
face,85,11,"2:2,3:9,5:6,6:12,7:6,9:16,10:1,11:6,12:5,14:17,16:5"
find,83,10,"3:14,5:7,6:2,7:10,9:10,11:12,12:5,14:9,15:2,16:12"
leave,83,9,"3:8,5:2,6:6,7:11,9:7,11:26,12:12,14:6,16:5"
good,80,12,"3:6,4:1,5:10,6:9,7:8,9:7,10:1,11:6,12:5,14:16,15:1,16:10"
hand,79,11,"2:1,3:5,4:2,5:9,6:12,7:5,9:13,11:4,12:9,14:13,16:6"
order,77,9,"3:3,5:18,6:4,7:22,9:1,10:1,11:20,14:6,16:2"
turn,77,9,"3:13,5:11,6:10,7:4,9:11,11:8,12:7,14:11,16:2"
little,75,13,"2:3,3:20,4:1,5:4,6:4,7:2,8:1,9:8,10:1,11:10,12:5,14:8,16:8"
feel,73,10,"2:2,3:3,5:9,6:11,7:8,9:2,11:11,12:17,14:3,16:7"
long,73,12,"2:3,3:11,5:7,6:6,7:6,8:2,9:6,11:7,12:8,13:1,14:4,16:12"
suppose,71,9,"3:2,5:3,6:4,7:11,9:9,10:1,11:11,12:14,14:16"
brain,69,9,"2:4,5:8,6:5,7:13,9:4,11:8,12:9,14:13,16:5"
try,69,12,"2:2,3:3,4:2,5:5,6:4,7:9,9:11,10:2,11:16,12:6,14:7,16:2"
wrong,69,9,"3:3,5:9,7:23,8:2,9:8,11:7,12:4,14:2,16:11"
speak,68,12,"2:2,3:2,4:3,5:4,6:6,7:1,9:19,11:12,12:7,14:7,16:4,17:1"
thing,68,10,"2:1,3:12,5:7,6:8,7:10,9:8,11:8,12:5,14:5,16:4"
ask,67,9,"3:6,5:1,6:1,7:4,9:14,11:16,12:11,14:5,16:9"
head,67,9,"3:8,5:6,6:13,7:18,9:10,11:4,12:3,14:4,16:1"
take,65,12,"2:4,3:10,5:5,6:1,7:5,9:5,10:1,11:12,12:11,13:1,14:5,16:5"
mean,64,13,"1:1,3:6,5:3,6:7,7:4,8:1,9:6,10:1,11:9,12:11,13:2,14:8,16:5"
away,62,9,"3:20,5:10,6:3,7:5,9:7,11:8,12:6,14:2,16:1"
matter,62,10,"3:2,4:1,5:3,6:5,7:2,9:2,11:20,12:8,14:9,16:10"
day,57,11,"2:2,3:9,5:8,6:4,7:13,9:2,10:1,11:7,12:5,14:3,16:3"
room,56,10,"2:2,3:12,5:2,6:18,7:1,9:7,11:2,12:9,14:2,16:1"
break,55,9,"3:3,5:5,6:3,7:7,9:5,11:5,12:15,14:10,16:2"
wait,55,10,"3:12,5:4,6:5,7:6,8:1,9:8,11:5,12:6,14:6,16:2"
finger,54,9,"3:2,5:7,6:6,7:21,9:4,11:4,12:5,14:2,16:3"
question,54,9,"3:5,5:4,6:6,7:4,9:3,11:13,12:8,14:4,16:7"
mind,53,12,"2:3,3:3,5:3,6:3,7:4,8:2,9:15,10:1,11:4,12:4,14:7,16:4"
slowly,53,9,"3:2,5:9,6:9,7:3,9:9,11:4,12:11,14:5,16:1"
far,52,11,"3:3,4:1,5:8,6:7,7:6,9:3,10:1,11:3,12:8,14:7,16:5"
give,52,10,"2:2,3:6,5:7,6:8,7:9,9:3,11:4,12:5,14:2,16:6"
word,52,10,"2:1,3:6,5:4,6:3,7:1,9:8,11:10,12:7,14:6,16:6"
course,51,11,"2:2,3:8,4:3,5:5,6:2,7:4,9:8,10:1,11:4,14:9,16:5"
hear,51,11,"2:3,3:4,4:1,5:3,6:4,7:1,9:10,11:4,12:13,14:5,16:3"
light,51,9,"3:1,5:10,6:6,7:13,9:1,10:1,12:9,14:5,16:5"
year,51,15,"2:5,3:8,4:1,5:6,6:2,7:1,8:1,9:3,10:1,11:3,12:2,13:2,14:3,15:2,16:11"
machine,50,8,"2:2,3:11,5:3,6:3,9:3,11:1,12:17,16:10"
place,50,8,"3:6,5:6,6:8,7:3,11:7,12:5,14:6,16:9"
point,50,12,"2:3,3:3,4:1,5:4,6:5,7:4,9:3,11:8,12:9,13:1,14:3,16:6"
ship,49,7,"3:1,6:3,9:1,11:7,12:35,13:1,16:1"
smile,49,10,"2:2,3:4,5:1,6:4,7:2,9:7,11:5,12:4,14:16,16:4"
watch,49,11,"2:2,3:5,5:3,6:4,7:22,9:2,11:2,12:1,13:1,14:6,16:1"
foot,48,9,"3:7,4:1,5:8,6:7,7:12,9:4,11:6,12:2,14:1"
positronic,48,9,"2:2,5:4,6:3,7:7,9:5,11:5,12:4,14:14,16:4"
sit,48,11,"2:1,3:5,5:4,6:5,7:6,9:1,10:1,11:13,12:4,14:7,16:1"
follow,47,10,"2:2,3:3,5:5,6:6,7:5,9:2,11:5,12:5,14:6,16:8"
new,47,10,"2:1,3:1,4:1,5:3,6:5,7:8,9:1,11:2,14:4,16:21"
