word,total_count
lanning,38
gamma,21
etheric,9
insosuit,9
photocell,9
photoelectric,8
robopsychologist,8
roboticist,8
impressione,5
oxalic,5
impressionment,4
positron,3
robopsychology,3
synchronized,3
aircoaster,2
appertaining,2
calvin,2
clangor,2
gyro,2
lanne,2
nonmetallic,2
parallelepipe,2
roboticity,2
visorphone,2
acidity,1
antirobot,1
argumentatively,1
astrophysical,1
basaltic,1
basest,1
beety,1
bellying,1
besweated,1
biophysic,1
biophysicist,1
biotin,1
bogert,1
boron,1
boys,1
brainpath,1
callisthenic,1
carbonyl,1
chins,1
climactically,1
complacence,1
controls,1
coordinating,1
counterpotential,1
cra,1
darned,1
deus,1
doctorhood,1
donnaish,1
dotlet,1
dv,1
evitable,1
extensible,1
fascinatedly,1
flanking,1
fluoresce,1
frigidaire,1
generalizer,1
glassite,1
glinty,1
glister,1
graduated,1
graphed,1
growingly,1
harmfully,1
harshen,1
hoarseness,1
hydrolysis,1
impolitic,1
industrialism,1
ingroove,1
intelligibility,1
interdistinguishe,1
jawed,1
laborsave,1
levver,1
luminiferous,1
lumpily,1
machinely,1
mahout,1
maladjustment,1
militarism,1
min,1
molybdenum,1
monoxide'll,1
mussable,1
neath,1
nestor,1
neurophysiology,1
nonhumanity,1
nonimaginary,1
obsolescent,1
occiput,1
overflown,1
ovum,1
pallard,1
pantingly,1
parsecs,1
penet,1
phosphate,1
piercingness,1
pothook,1
preheating,1
priori,1
producing,1
pteroylglutamic,1
quantitatively,1
quintillion,1
ragingly,1
receivership,1
reflecting,1
reforestation,1
restiveness,1
robots,1
schooled,1
scrubbily,1
semidrowse,1
serviced,1
shshsh,1
shutoff,1
sleekness,1
spectroreflector,1
stereoscopy,1
subether,1
subrobotic,1
sun'll,1
sunpower,1
suppositious,1
synthetically,1
tangibly,1
tinplate,1
transliterable,1
unbeautiful,1
unconcerne,1
uncushioned,1
unenviable,1
unfeelingly,1
ungrammatically,1
unjarringly,1
unlabeled,1
unlimbere,1
unsense,1
unwearyingly,1
upty,1
visi,1
visivox,1
vitalizing,1
wiz,1
yootiful,1
