word,total_count,chapter_count,chapters
say,832,8,"4:73,5:120,6:99,7:127,8:155,9:83,10:91,11:84"
man,453,8,"4:50,5:45,6:46,7:54,8:70,9:67,10:60,11:61"
know,452,8,"4:50,5:72,6:82,7:44,8:61,9:43,10:61,11:39"
go,372,8,"4:27,5:58,6:66,7:44,8:57,9:40,10:47,11:33"
think,304,8,"4:33,5:42,6:44,7:43,8:50,9:31,10:37,11:24"
come,302,9,"2:1,4:34,5:40,6:42,7:45,8:39,9:27,10:41,11:33"
time,265,9,"2:1,4:23,5:28,6:35,7:26,8:34,9:38,10:40,11:40"
day,241,8,"4:30,5:41,6:33,7:32,8:31,9:19,10:35,11:20"
year,237,9,"2:5,4:51,5:18,6:38,7:26,8:19,9:25,10:29,11:26"
want,228,8,"4:26,5:29,6:33,7:30,8:37,9:23,10:28,11:22"
get,221,9,"2:1,4:26,5:31,6:52,7:28,8:25,9:14,10:28,11:16"
tell,210,8,"4:17,5:24,6:39,7:15,8:43,9:23,10:31,11:18"
see,199,8,"4:25,5:32,6:22,7:28,8:25,9:14,10:30,11:23"
boy,196,8,"4:21,5:19,6:22,7:39,8:30,9:19,10:26,11:20"
good,195,8,"4:31,5:22,6:41,7:17,8:21,9:19,10:31,11:13"
look,192,8,"4:19,5:29,6:24,7:31,8:32,9:18,10:27,11:12"
old,191,8,"4:30,5:26,6:30,7:29,8:17,9:19,10:19,11:21"
feel,188,8,"4:14,5:21,6:26,7:19,8:29,9:24,10:29,11:26"
thing,188,8,"4:22,5:37,6:26,7:16,8:14,9:27,10:26,11:20"
take,178,8,"4:17,5:21,6:26,7:27,8:29,9:18,10:25,11:15"
life,173,9,"2:3,4:11,5:13,6:32,7:8,8:20,9:29,10:25,11:32"
hear,171,8,"4:17,5:33,6:21,7:19,8:24,9:16,10:22,11:19"
work,171,9,"2:2,4:29,5:18,6:35,7:22,8:17,9:14,10:27,11:7"
house,169,8,"4:17,5:42,6:23,7:22,8:29,9:13,10:13,11:10"
family,168,9,"2:3,4:16,5:28,6:27,7:19,8:18,9:21,10:20,11:16"
way,168,8,"4:18,5:27,6:28,7:17,8:25,9:17,10:22,11:14"
find,165,9,"2:1,4:12,5:29,6:28,7:25,8:31,9:11,10:16,11:12"
people,163,8,"4:18,5:16,6:23,7:19,8:20,9:21,10:28,11:18"
ask,162,8,"4:11,5:16,6:23,7:18,8:30,9:25,10:18,11:21"
eye,156,8,"4:14,5:19,6:18,7:18,8:23,9:17,10:26,11:21"
real,154,9,"2:1,4:19,5:17,6:29,7:11,8:24,9:14,10:24,11:15"
hand,149,9,"2:1,4:15,5:22,6:22,7:25,8:22,9:13,10:15,11:14"
little,149,8,"4:19,5:7,6:21,7:14,8:22,9:21,10:22,11:23"
live,149,9,"2:1,4:17,5:17,6:38,7:27,8:17,9:10,10:15,11:7"
room,149,8,"4:27,5:30,6:21,7:18,8:23,9:9,10:10,11:11"
leave,146,8,"4:18,5:16,6:28,7:24,8:21,9:15,10:11,11:13"
young,143,9,"2:1,4:18,5:18,6:16,7:19,8:15,9:21,10:17,11:18"
friend,142,9,"2:1,4:25,5:20,6:24,7:16,8:14,9:14,10:16,11:12"
mean,142,8,"4:16,5:16,6:25,7:19,8:12,9:20,10:19,11:15"
car,138,8,"4:17,5:19,6:33,7:24,8:19,9:8,10:12,11:6"
long,133,8,"4:18,5:12,6:24,7:20,8:15,9:12,10:19,11:13"
child,128,8,"4:23,5:14,6:27,7:16,8:13,9:10,10:14,11:11"
father,125,9,"2:1,4:19,5:18,6:12,7:19,8:15,9:11,10:19,11:11"
remember,125,8,"4:12,5:12,6:15,7:15,8:31,9:5,10:28,11:7"
girl,124,8,"4:20,5:14,6:11,7:17,8:21,9:12,10:21,11:8"
home,123,8,"4:24,5:20,6:16,7:15,8:13,9:9,10:14,11:12"
right,119,8,"4:16,5:20,6:18,7:13,8:14,9:13,10:8,11:17"
head,117,8,"4:16,5:15,6:12,7:11,8:18,9:14,10:17,11:14"
place,117,8,"4:15,5:15,6:24,7:15,8:13,9:9,10:16,11:10"
write,116,9,"2:2,4:7,5:6,6:19,7:17,8:13,9:14,10:22,11:16"
cal,114,8,"4:15,5:23,6:15,7:12,8:12,9:10,10:15,11:12"
mother,114,9,"2:2,4:20,5:13,6:15,7:12,8:15,9:9,10:17,11:11"
talk,113,8,"4:11,5:11,6:18,7:14,8:23,9:12,10:15,11:9"
turn,113,9,"2:1,4:11,5:16,6:14,7:14,8:18,9:15,10:9,11:15"
night,112,8,"4:12,5:16,6:10,7:17,8:18,9:13,10:14,11:12"
case,111,8,"4:2,5:10,6:17,7:10,8:15,9:19,10:17,11:21"
murder,111,9,"2:1,4:2,5:18,6:13,7:5,8:14,9:23,10:17,11:18"
stil,110,8,"4:18,5:13,6:17,7:15,8:15,9:8,10:15,11:9"
stand,109,8,"4:13,5:12,6:9,7:14,8:9,9:19,10:15,11:18"
happen,106,8,"4:8,5:25,6:19,7:6,8:14,9:11,10:15,11:8"
believe,105,8,"4:4,5:16,6:16,7:6,8:17,9:14,10:20,11:12"
stop,103,8,"4:3,5:15,6:17,7:22,8:17,9:8,10:11,11:10"
let,102,8,"4:12,5:13,6:20,7:17,8:19,9:6,10:9,11:6"
maybe,102,8,"4:7,5:17,6:18,7:17,8:10,9:10,10:13,11:10"
try,98,9,"2:1,4:9,5:13,6:19,7:9,8:15,9:9,10:13,11:10"
drive,97,8,"4:13,5:18,6:15,7:17,8:11,9:7,10:9,11:7"
face,97,8,"4:11,5:14,6:10,7:7,8:17,9:10,10:19,11:9"
door,96,8,"4:7,5:18,6:10,7:13,8:20,9:9,10:8,11:11"
hour,96,8,"4:15,5:16,6:8,7:13,8:15,9:7,10:14,11:8"
later,95,9,"2:1,4:12,5:10,6:14,7:13,8:10,9:13,10:11,11:11"
start,94,9,"2:1,4:7,5:10,6:18,7:15,8:15,9:8,10:15,11:5"
wear,93,8,"4:20,5:16,6:9,7:13,8:10,9:8,10:10,11:7"
court,92,7,"4:1,6:1,7:2,8:18,9:26,10:20,11:24"
death,92,8,"4:5,5:9,6:6,7:6,8:8,9:21,10:13,11:24"
like,91,8,"4:7,5:10,6:22,7:8,8:11,9:10,10:13,11:10"
tel,91,8,"4:5,5:11,6:19,7:9,8:18,9:10,10:12,11:7"
trial,90,4,"8:14,9:26,10:27,11:23"
course,88,8,"4:10,5:10,6:11,7:9,8:16,9:8,10:16,11:8"
week,88,8,"4:12,5:7,6:11,7:12,8:14,9:10,10:14,11:8"
kid,87,8,"4:9,5:13,6:29,7:16,8:6,9:3,10:8,11:3"
run,87,8,"4:12,5:11,6:18,7:17,8:12,9:3,10:12,11:2"
state,87,8,"4:4,5:7,6:6,7:2,8:7,9:25,10:12,11:24"
person,85,8,"4:10,5:17,6:13,7:5,8:13,9:8,10:10,11:9"
sit,84,8,"4:6,5:16,6:12,7:13,8:11,9:11,10:6,11:9"
wife,84,8,"4:11,5:15,6:18,7:7,8:11,9:8,10:12,11:2"
window,84,8,"4:7,5:8,6:11,7:10,8:17,9:7,10:17,11:7"
give,82,8,"4:9,5:3,6:12,7:10,8:11,9:15,10:9,11:13"
morning,82,8,"4:13,5:10,6:10,7:11,8:7,9:11,10:11,11:9"
read,82,8,"4:7,5:10,6:11,7:3,8:14,9:8,10:17,11:12"
witness,82,6,"4:4,6:2,8:18,9:25,10:21,11:12"
away,81,8,"4:10,5:11,6:14,7:10,8:12,9:6,10:14,11:4"
crime,79,7,"5:9,6:7,7:6,8:13,9:15,10:14,11:15"
hold,79,8,"4:12,5:8,6:8,7:13,8:11,9:8,10:10,11:9"
money,79,8,"4:9,5:9,6:8,7:21,8:10,9:9,10:7,11:6"
owe,79,8,"4:6,5:8,6:12,7:9,8:8,9:15,10:9,11:12"
office,78,8,"4:14,5:16,6:12,7:13,8:13,9:4,10:1,11:5"
