word,total_count,chapter_count,chapters
say,1525,8,"1:95,2:201,3:196,4:151,5:237,6:265,7:200,8:180"
man,843,8,"1:115,2:140,3:80,4:120,5:88,6:81,7:101,8:118"
look,763,8,"1:82,2:62,3:80,4:110,5:101,6:95,7:133,8:100"
know,625,8,"1:59,2:72,3:74,4:80,5:77,6:72,7:103,8:88"
think,582,8,"1:61,2:38,3:66,4:58,5:106,6:76,7:99,8:78"
see,528,8,"1:83,2:63,3:40,4:70,5:61,6:56,7:69,8:86"
come,493,8,"1:51,2:58,3:41,4:69,5:72,6:46,7:66,8:90"
go,482,8,"1:69,2:37,3:64,4:56,5:67,6:54,7:52,8:83"
eye,409,8,"1:62,2:69,3:31,4:66,5:38,6:41,7:63,8:39"
feel,382,8,"1:57,2:36,3:27,4:54,5:65,6:31,7:58,8:54"
hear,367,8,"1:65,2:45,3:32,4:44,5:42,6:45,7:50,8:44"
time,350,8,"1:66,2:32,3:38,4:30,5:44,6:42,7:52,8:46"
white,347,8,"1:60,2:97,3:35,4:44,5:26,6:38,7:24,8:23"
face,343,8,"1:51,2:44,3:23,4:44,5:57,6:40,7:51,8:33"
head,318,8,"1:33,2:61,3:18,4:55,5:32,6:28,7:44,8:47"
try,312,8,"1:41,2:20,3:40,4:39,5:39,6:37,7:48,8:48"
get,307,8,"1:47,2:26,3:45,4:40,5:41,6:40,7:30,8:38"
tell,295,8,"1:44,2:55,3:45,4:17,5:30,6:32,7:50,8:22"
want,286,8,"1:35,2:34,3:41,4:39,5:31,6:36,7:33,8:37"
hand,283,8,"1:31,2:53,3:26,4:40,5:42,6:35,7:28,8:28"
black,282,8,"1:30,2:52,3:14,4:24,5:24,6:69,7:38,8:31"
voice,280,8,"1:29,2:51,3:24,4:47,5:42,6:17,7:34,8:36"
old,262,8,"1:23,2:37,3:19,4:71,5:33,6:10,7:39,8:30"
thing,239,8,"1:23,2:18,3:33,4:27,5:37,6:36,7:34,8:31"
good,237,8,"1:27,2:20,3:45,4:29,5:35,6:32,7:29,8:20"
stand,235,8,"1:25,2:30,3:20,4:21,5:27,6:25,7:58,8:29"
right,233,8,"1:27,2:19,3:31,4:39,5:30,6:29,7:34,8:24"
way,222,8,"1:42,2:20,3:29,4:20,5:29,6:27,7:20,8:35"
turn,217,8,"1:26,2:31,3:20,4:26,5:25,6:21,7:41,8:27"
away,213,8,"1:31,2:21,3:16,4:28,5:25,6:15,7:37,8:40"
leave,211,8,"1:29,2:33,3:23,4:20,5:26,6:21,7:29,8:30"
call,200,8,"1:20,2:10,3:16,4:47,5:29,6:17,7:25,8:36"
let,200,8,"1:14,2:17,3:18,4:30,5:42,6:23,7:20,8:36"
woman,200,8,"1:34,2:15,3:13,4:36,5:25,6:29,7:19,8:29"
move,191,8,"1:16,2:28,3:11,4:16,5:19,6:12,7:46,8:43"
street,188,8,"1:3,2:3,3:14,4:26,5:23,6:24,7:42,8:53"
suddenly,185,8,"1:18,2:27,3:25,4:19,5:26,6:19,7:25,8:26"
people,178,8,"1:16,2:19,3:11,4:21,5:40,6:32,7:29,8:10"
long,176,8,"1:22,2:20,3:18,4:35,5:21,6:12,7:19,8:29"
light,173,8,"1:28,2:20,3:8,4:13,5:25,6:12,7:22,8:45"
sound,173,8,"1:19,2:40,3:15,4:12,5:29,6:20,7:15,8:23"
work,171,8,"1:16,2:9,3:31,4:17,5:27,6:36,7:21,8:14"
room,167,8,"1:17,2:24,3:27,4:21,5:35,6:20,7:13,8:10"
brother,166,7,"1:2,2:3,4:32,5:37,6:66,7:21,8:5"
take,164,8,"1:21,2:11,3:26,4:14,5:26,6:21,7:18,8:27"
run,163,8,"1:30,2:11,3:9,4:13,5:17,6:6,7:14,8:63"
start,162,8,"1:10,2:15,3:22,4:20,5:24,6:22,7:16,8:33"
dark,158,8,"1:16,2:11,3:5,4:10,5:21,6:23,7:26,8:46"
door,158,8,"1:16,2:26,3:20,4:14,5:37,6:19,7:15,8:11"
laugh,154,8,"1:16,2:12,3:15,4:20,5:21,6:18,7:20,8:32"
word,153,8,"1:16,2:33,3:16,4:18,5:27,6:12,7:20,8:11"
find,152,8,"1:20,2:10,3:15,4:17,5:19,6:27,7:20,8:24"
mind,152,8,"1:21,2:15,3:20,4:17,5:14,6:15,7:20,8:30"
watch,152,8,"1:7,2:19,3:37,4:15,5:18,6:19,7:20,8:17"
crowd,149,8,"1:2,2:4,3:8,4:31,5:13,6:12,7:55,8:24"
walk,146,8,"1:8,2:20,3:15,4:19,5:18,6:2,7:47,8:17"
glass,141,8,"1:6,2:18,3:12,4:17,5:15,6:12,7:36,8:25"
stop,140,8,"1:19,2:20,3:19,4:8,5:15,6:12,7:25,8:22"
sit,138,8,"1:10,2:29,3:11,4:17,5:14,6:12,7:28,8:17"
boy,136,8,"1:41,2:21,3:15,4:16,5:5,6:5,7:22,8:11"
hold,133,8,"1:23,2:14,3:8,4:15,5:13,6:14,7:22,8:24"
ask,129,8,"1:22,2:11,3:23,4:14,5:15,6:15,7:18,8:11"
close,129,8,"1:15,2:13,3:13,4:14,5:13,6:12,7:22,8:27"
begin,128,8,"1:15,2:21,3:17,4:14,5:17,6:15,7:14,8:15"
day,126,8,"1:23,2:22,3:16,4:17,5:9,6:13,7:8,8:18"
mean,126,8,"1:15,2:10,3:14,4:14,5:20,6:28,7:11,8:14"
lie,123,8,"1:12,2:22,3:14,4:13,5:14,6:14,7:11,8:23"
smile,120,8,"1:11,2:23,3:11,4:4,5:19,6:20,7:19,8:13"
talk,120,8,"1:18,2:16,3:14,4:10,5:17,6:27,7:9,8:9"
great,118,8,"1:14,2:40,3:2,4:10,5:9,6:8,7:16,8:19"
sir,118,7,"1:31,2:42,3:32,4:10,6:1,7:1,8:1"
new,117,8,"1:12,2:2,3:10,4:10,5:38,6:15,7:15,8:15"
young,117,8,"1:23,2:31,3:18,4:10,5:7,6:13,7:9,8:6"
happen,116,8,"1:24,2:11,3:19,4:10,5:11,6:11,7:12,8:18"
place,115,8,"1:16,2:20,3:11,4:9,5:19,6:16,7:18,8:6"
little,114,8,"1:14,2:13,3:11,4:13,5:17,6:14,7:19,8:13"
like,113,8,"1:15,2:18,3:18,4:12,5:20,6:15,7:6,8:9"
remember,113,8,"1:17,2:16,3:16,4:18,5:12,6:19,7:9,8:6"
wait,112,8,"1:15,2:15,3:12,4:5,5:21,6:8,7:26,8:10"
folk,108,8,"1:23,2:29,3:11,4:13,5:11,6:11,7:5,8:5"
forward,107,8,"1:8,2:18,3:2,4:8,5:8,6:13,7:29,8:21"
open,107,8,"1:21,2:14,3:20,4:13,5:15,6:4,7:9,8:11"
speak,107,8,"1:22,2:9,3:13,4:5,5:23,6:16,7:15,8:4"
give,106,8,"1:11,2:18,3:19,4:6,5:12,6:16,7:13,8:11"
well,105,8,"1:10,2:12,3:12,4:8,5:19,6:16,7:14,8:14"
kind,104,8,"1:6,2:12,3:12,4:8,5:19,6:20,7:15,8:12"
night,103,8,"1:14,2:14,3:7,4:4,5:15,6:11,7:12,8:26"
far,101,8,"1:16,2:16,3:11,4:12,5:19,6:8,7:7,8:12"
step,99,8,"1:7,2:11,3:2,4:19,5:14,6:4,7:23,8:19"
arm,97,8,"1:12,2:16,3:3,4:8,5:9,6:8,7:19,8:22"
life,97,8,"1:20,2:13,3:6,4:10,5:8,6:11,7:9,8:20"
understand,97,8,"1:25,2:17,3:8,4:6,5:16,6:12,7:8,8:5"
world,97,8,"1:17,2:9,3:7,4:9,5:7,6:15,7:12,8:21"
listen,96,8,"1:12,2:13,3:4,4:12,5:18,6:11,7:17,8:9"
reach,96,8,"1:10,2:13,3:9,4:9,5:14,6:13,7:12,8:16"
lose,95,8,"1:5,2:9,3:6,4:14,5:18,6:7,7:13,8:23"
forget,94,8,"1:7,2:6,3:15,4:8,5:7,6:15,7:28,8:8"
chair,93,8,"1:13,2:10,3:8,4:23,5:16,6:10,7:12,8:1"
git,93,8,"1:46,2:6,3:7,4:13,5:4,6:1,7:1,8:15"
fall,91,8,"1:12,2:12,3:7,4:14,5:11,6:4,7:21,8:10"
red,91,8,"1:15,2:12,3:7,4:7,5:12,6:13,7:8,8:17"
return,91,8,"1:4,2:19,3:25,4:10,5:8,6:8,7:8,8:9"
believe,90,8,"1:12,2:17,3:13,4:9,5:11,6:12,7:8,8:8"
live,89,8,"1:15,2:10,3:4,4:14,5:13,6:4,7:11,8:18"
hot,88,8,"1:14,2:5,3:3,4:15,5:12,6:6,7:23,8:10"
dream,87,8,"1:20,2:9,3:8,4:6,5:6,6:7,7:14,8:17"
shake,86,8,"1:6,2:11,3:6,4:12,5:6,6:15,7:16,8:14"
year,86,8,"1:17,2:13,3:9,4:16,5:7,6:13,7:7,8:4"
shout,85,8,"1:6,2:12,3:3,4:13,5:17,6:1,7:19,8:14"
building,84,8,"1:7,2:20,3:16,4:10,5:12,6:5,7:6,8:8"
need,84,8,"1:7,2:6,3:6,4:13,5:11,6:11,7:13,8:17"
school,84,6,"1:29,2:29,3:15,4:7,5:2,8:2"
bring,83,8,"1:9,2:15,3:7,4:8,5:12,6:9,7:11,8:12"
car,83,8,"1:24,2:13,3:6,4:5,5:16,6:2,7:13,8:4"
send,83,8,"1:7,2:16,3:23,4:8,5:2,6:10,7:9,8:8"
strike,83,8,"1:9,2:9,3:1,4:18,5:16,6:10,7:11,8:9"
drop,80,8,"1:9,2:4,3:10,4:12,5:10,6:7,7:16,8:12"
fight,80,8,"1:20,2:7,3:3,4:8,5:7,6:20,7:13,8:2"
foot,80,8,"1:7,2:9,3:6,4:10,5:8,6:9,7:25,8:6"
