word,total_count,chapter_count,chapters
man,310,25,"3:16,5:29,7:14,9:17,11:40,13:3,15:7,17:20,19:8,21:5,23:15,25:14,27:5,29:8,31:2,33:14,35:2,37:8,39:8,41:7,43:9,45:11,47:3,50:40,52:5"
work,236,26,"3:27,5:23,7:16,9:6,11:13,13:7,15:2,17:4,19:4,21:5,23:11,25:22,27:8,29:9,31:8,33:13,35:2,37:5,39:4,41:5,43:6,45:7,47:2,49:1,50:18,52:8"
say,235,23,"3:21,5:24,7:20,9:4,11:25,13:15,15:3,17:16,19:13,21:7,23:4,25:22,27:1,29:6,31:3,33:8,35:5,39:4,41:8,43:7,45:6,47:4,50:9"
know,211,25,"3:15,5:13,7:10,9:12,11:10,13:5,15:8,17:10,19:6,21:7,23:3,25:13,27:3,29:9,31:3,33:4,35:13,37:7,39:7,41:7,43:14,45:12,47:7,50:12,52:1"
time,209,25,"3:9,5:6,7:6,9:3,11:15,13:2,15:1,17:12,19:6,21:8,23:3,25:6,27:9,29:4,31:4,33:5,35:2,37:7,39:4,41:8,43:10,45:22,47:3,50:51,52:3"
go,190,24,"3:13,5:11,7:10,9:5,11:9,13:4,15:4,17:10,19:11,21:5,25:14,27:7,29:5,31:1,33:8,35:2,37:5,39:7,41:7,43:10,45:18,47:6,50:11,52:7"
great,190,24,"3:3,5:3,7:3,9:1,11:21,13:4,15:7,17:15,19:4,21:9,23:8,25:3,27:12,29:11,31:6,33:6,35:2,37:6,41:4,43:8,45:9,47:3,50:26,52:16"
come,188,25,"3:7,5:6,7:4,9:5,11:16,13:6,15:3,17:15,19:6,21:3,23:5,25:4,27:9,29:5,31:4,33:6,35:4,37:6,39:5,41:7,43:11,45:24,47:13,50:13,52:1"
class,177,18,"3:21,5:25,9:4,11:35,13:5,15:1,17:1,19:22,21:12,23:2,27:7,29:7,31:3,33:1,39:1,43:3,50:23,52:4"
day,159,24,"3:1,5:4,7:3,9:4,11:17,13:3,15:4,17:6,19:18,21:6,23:4,25:10,27:1,29:4,31:1,33:6,35:6,37:3,39:2,41:5,43:7,45:8,47:6,50:30"
labor,153,17,"3:2,5:8,11:7,13:4,17:3,19:28,21:10,23:1,27:8,29:21,31:10,33:3,37:1,43:9,49:1,50:27,52:10"
life,131,18,"3:10,5:6,7:5,9:8,11:16,13:6,17:2,19:4,23:8,25:8,33:10,39:11,41:5,43:5,45:8,49:1,50:15,52:3"
hand,129,26,"3:5,5:3,7:6,9:2,11:17,13:3,15:2,17:13,19:7,21:2,23:1,25:7,27:4,29:3,31:2,33:1,35:3,37:3,39:3,41:6,43:8,45:14,47:7,49:2,50:4,52:1"
answer,110,20,"3:7,5:9,7:12,9:5,11:37,13:2,15:1,17:9,19:5,21:1,25:3,29:4,33:2,35:1,37:1,39:1,41:4,43:2,45:2,50:2"
way,110,22,"3:9,5:6,7:6,9:8,13:3,15:5,17:11,19:12,21:2,23:2,25:1,27:1,29:10,31:1,35:4,37:5,39:4,43:5,45:4,47:3,50:7,52:1"
right,101,21,"3:2,5:4,7:10,9:14,11:3,13:3,15:4,17:4,19:3,21:5,23:1,25:8,27:1,33:1,35:1,37:1,43:2,45:9,47:2,50:13,52:10"
see,100,22,"3:4,5:4,7:2,9:8,11:7,13:3,15:5,19:2,21:2,23:1,25:9,29:3,33:4,35:8,37:1,39:1,41:3,43:4,45:11,47:10,50:5,52:3"
thing,96,23,"3:8,5:7,7:8,9:6,11:9,13:5,15:2,17:6,19:5,21:2,23:1,27:5,29:2,31:1,33:4,35:3,37:5,39:3,41:1,43:3,45:4,47:1,50:5"
year,92,23,"3:5,5:4,7:6,9:2,11:4,13:2,15:1,17:10,19:5,21:2,23:1,25:3,27:2,29:3,31:1,33:2,35:2,37:6,39:4,43:1,45:2,50:23,52:1"
take,91,25,"3:4,5:3,7:2,9:2,11:3,13:4,15:2,17:5,19:10,21:1,25:4,27:4,29:3,31:2,33:4,35:1,37:4,39:2,41:2,43:1,45:6,47:2,49:2,50:14,52:4"
look,90,22,"3:6,5:8,7:7,9:8,11:5,15:1,17:4,19:1,21:1,23:3,25:9,27:1,31:1,33:4,35:1,37:1,41:3,43:6,45:8,47:8,50:2,52:2"
country,89,19,"7:2,9:1,11:2,17:4,19:22,21:6,25:2,27:7,29:4,31:2,33:2,37:2,39:2,43:1,45:2,47:2,49:1,50:24,52:1"
away,88,22,"5:3,7:5,9:2,11:7,13:1,15:1,17:6,19:10,21:3,25:14,27:2,29:4,31:2,33:1,37:7,39:3,41:1,43:1,45:6,47:3,50:4,52:2"
machine,88,19,"3:1,5:2,7:6,9:2,11:8,13:2,17:14,19:17,21:1,25:4,29:1,31:2,33:3,41:1,43:4,45:10,47:4,50:4,52:2"
face,86,21,"3:4,5:5,7:7,9:2,11:18,13:3,15:2,17:7,19:3,21:1,23:4,25:6,27:2,33:2,35:2,39:3,41:2,43:2,45:6,47:4,50:1"
find,86,23,"3:6,5:4,7:5,9:2,11:9,15:4,19:3,21:2,23:3,25:7,27:5,29:1,31:1,33:3,35:1,37:2,39:1,41:2,43:3,45:7,47:2,50:11,52:2"
tell,85,24,"3:5,5:4,7:6,9:5,11:5,13:2,15:3,17:9,19:4,21:3,23:8,25:7,27:1,29:5,31:2,33:1,35:1,37:1,39:1,41:2,43:4,45:4,47:1,50:1"
comrade,84,15,"11:2,17:2,29:3,31:1,33:6,35:3,37:7,39:7,41:8,43:15,45:16,47:3,49:3,50:4,52:4"
eye,84,19,"3:9,5:8,7:4,9:2,11:5,13:2,15:6,23:5,25:9,31:1,33:2,37:1,39:3,41:2,43:8,45:3,47:9,50:2,52:3"
long,80,22,"3:7,5:4,7:2,9:1,11:6,15:2,17:5,19:1,21:2,23:3,25:5,27:5,29:2,31:1,35:1,37:2,39:4,41:5,43:2,47:3,50:16,52:1"
trust,80,11,"3:2,11:2,17:39,19:13,21:3,25:1,27:8,29:1,33:3,37:1,50:7"
world,79,23,"3:7,5:1,7:1,9:3,11:4,13:3,15:1,19:7,21:2,23:2,25:2,27:9,29:3,31:9,35:1,37:2,39:1,41:3,43:1,45:1,47:2,50:9,52:5"
capitalist,77,13,"3:3,5:9,9:1,11:8,15:1,17:8,19:15,21:3,29:2,31:2,37:1,43:1,50:23"
give,75,22,"3:4,5:5,7:4,9:1,11:6,13:3,15:1,17:2,19:1,21:6,23:5,25:5,27:1,29:1,33:2,39:1,41:2,43:9,45:1,47:2,50:12,52:1"
strike,75,15,"5:1,7:4,17:1,19:1,21:11,27:15,29:12,33:1,35:2,39:1,41:1,43:5,45:2,50:17,52:1"
think,74,20,"3:12,5:3,7:8,9:10,11:5,13:6,15:1,17:4,19:1,21:1,23:2,25:7,29:2,33:1,35:1,39:2,41:1,43:5,45:1,50:1"
street,73,13,"5:5,15:4,17:1,21:1,23:1,25:2,27:2,31:4,33:6,43:7,45:24,47:12,50:4"
people,71,20,"3:1,5:2,11:6,13:2,15:2,17:1,19:1,25:1,27:3,29:6,31:2,33:3,35:4,37:3,43:3,45:8,47:3,49:1,50:14,52:5"
get,70,22,"3:4,5:1,7:13,9:2,11:2,13:3,15:2,17:7,19:5,21:4,23:2,25:3,27:2,29:1,31:1,35:1,39:1,41:3,43:5,45:4,47:2,50:2"
turn,69,23,"3:2,5:5,7:2,9:3,11:6,13:1,15:2,17:4,19:3,21:6,23:1,25:2,29:1,33:3,35:2,37:2,39:2,41:2,43:4,45:9,47:3,50:2,52:2"
fact,68,21,"3:23,5:2,7:2,9:6,11:7,13:1,17:1,19:3,21:3,23:1,25:1,31:1,33:2,35:1,37:1,39:1,41:1,43:3,45:1,50:6,52:1"
father,68,17,"3:6,5:8,7:8,9:2,11:2,13:8,17:3,19:2,21:5,23:7,25:1,29:1,33:6,37:2,39:2,41:3,50:2"
moment,68,20,"3:3,5:6,7:6,9:3,11:7,13:1,17:1,19:3,21:1,23:2,25:3,33:2,35:4,39:2,41:8,43:5,45:7,47:1,50:2,52:1"
head,65,21,"3:3,5:2,7:3,9:4,11:5,15:2,17:2,19:3,21:3,25:5,27:1,29:4,31:2,37:2,41:3,43:6,45:10,47:1,49:1,50:2,52:1"
night,65,20,"3:6,5:5,7:1,11:8,13:1,15:7,19:3,21:1,23:2,25:3,27:1,29:1,33:4,37:3,39:4,41:5,43:4,47:3,50:1,52:2"
death,64,18,"3:1,5:2,7:1,9:1,13:2,15:1,19:1,21:2,23:2,31:2,33:5,39:7,41:3,43:5,45:9,47:2,50:17,52:1"
little,64,21,"3:1,5:4,7:7,9:2,11:6,13:3,15:2,17:7,19:8,21:1,23:1,25:2,29:2,31:1,33:1,35:2,37:1,39:3,41:3,45:1,50:6"
place,64,21,"3:4,11:2,13:1,15:3,17:1,19:5,21:1,25:3,27:3,29:4,31:1,33:1,35:6,37:7,39:2,41:2,45:3,47:1,49:2,50:8,52:4"
secret,64,17,"3:1,11:2,21:1,25:2,27:4,29:1,31:3,33:8,35:2,37:4,39:6,41:1,43:14,45:2,49:1,50:9,52:3"
break,63,22,"3:1,5:3,7:1,9:1,11:5,13:2,15:3,17:6,19:5,21:4,23:2,25:1,27:2,29:1,31:3,35:3,39:2,41:1,43:5,45:3,47:3,50:6"
old,63,20,"5:2,7:1,11:4,13:8,17:1,19:3,21:2,23:2,25:11,27:2,29:4,33:3,35:1,37:2,39:2,41:5,43:2,47:1,50:4,52:3"
small,62,19,"3:1,5:3,7:1,9:1,11:1,13:1,15:1,17:20,19:8,21:3,25:2,27:3,31:1,33:1,35:1,37:5,41:1,47:1,50:7"
begin,61,19,"3:2,5:5,7:8,9:3,11:8,13:3,15:2,17:5,19:3,25:1,29:1,33:1,35:1,37:2,43:3,45:5,47:1,50:6,52:1"
power,61,12,"9:3,11:24,13:1,17:1,19:15,21:2,23:1,27:2,29:5,33:1,35:1,50:5"
surplus,61,9,"17:1,19:36,21:2,23:1,27:8,29:8,35:1,50:3,52:1"
woman,61,18,"5:3,7:2,9:4,11:5,13:1,15:5,17:2,21:1,25:3,27:1,33:4,37:1,39:4,41:1,43:3,45:10,50:10,52:1"
young,61,18,"3:5,5:2,7:1,11:2,13:3,17:2,23:5,25:7,31:1,33:1,37:4,39:2,41:13,43:1,45:6,47:1,50:3,52:2"
live,60,17,"3:6,5:3,7:2,9:1,11:6,15:5,21:3,23:4,25:2,33:1,37:2,39:4,41:2,45:3,47:2,50:12,52:2"
society,60,15,"3:1,5:5,9:10,11:13,13:2,15:4,17:1,19:2,21:5,23:1,25:8,39:1,43:1,45:1,50:5"
city,59,15,"3:1,19:3,21:1,25:2,27:3,29:5,31:1,33:4,39:1,41:2,43:12,45:5,47:2,50:12,52:5"
end,59,20,"3:3,5:1,7:1,9:1,11:4,13:1,17:3,19:1,21:3,27:3,29:6,31:3,33:2,35:5,37:5,39:3,41:3,43:2,45:3,50:6"
call,57,20,"3:2,5:4,7:2,11:6,13:1,15:1,17:7,19:1,21:2,23:2,25:3,27:2,29:3,33:1,35:1,37:1,39:2,43:1,45:3,50:12"
profit,56,8,"9:1,11:2,13:2,17:35,19:2,21:3,31:6,50:5"
strength,56,16,"3:1,5:2,7:1,11:2,13:1,17:10,19:12,21:2,27:4,29:3,33:3,37:1,41:1,45:1,50:3,52:9"
book,55,14,"3:1,5:5,7:5,11:4,13:2,15:2,17:1,21:18,23:2,25:1,29:1,37:1,39:1,50:11"
