word,total_count
ooloi,435
resister,163
aaor,27
subadult,21
oankali,20
cassava,15
nikanj,14
pseudotree,13
agouti,12
breadnut,9
tilio,9
eka,8
multisensory,6
neurosensory,5
quat,5
caiman,4
godsake,4
mated,4
nika,4
ooan,4
organelle,4
papayas,4
sair,4
iriarte,3
lel,3
liana,3
scigee,3
subadulthood,3
symbiont,3
unsexed,3
ahajas,2
atop,2
bromeliad,2
cassavas,2
caterpillarlike,2
cecropia,2
fathering,2
femaleness,2
fishlike,2
inga,2
ometime,2
peccary,2
peripatus,2
prestrike,2
pseudocorridor,2
pseudoplant,2
signaler,2
southerner,2
toaht,2
understory,2
afterworld,1
agoutis,1
alleviation,1
amazon,1
androgenous,1
antilife,1
argaining,1
arigato,1
attracted,1
avenged,1
avoided,1
bailing,1
bananen,1
beachball,1
bestselling,1
bohnen,1
bushmaster,1
cacao,1
cavewoman,1
cheeselike,1
chi,1
coati,1
concealable,1
constructs,1
created,1
decompiled,1
despierto,1
destructing,1
dinso,1
disfiguring,1
dyslexic,1
eeks,1
enzyme,1
epiphyte,1
ethnology,1
eunuchs,1
freshest,1
gourdful,1
hkahichdahk,1
homeship,1
homesicknes,1
hornlike,1
humanicide,1
ichaan,1
iikuchahk,1
ilith,1
impenetrably,1
implantation,1
impo,1
imprinting,1
inconsequentially,1
inpouring,1
interdependent,1
jailor,1
kaalnikanj,1
kaizidi,1
leafful,1
lib,1
lowlander,1
manipulated,1
mateless,1
maturing,1
metamorphosed,1
ministering,1
muffling,1
multilegged,1
mutilator,1
muting,1
neci,1
neotenic,1
neurofibromatosis,1
newer,1
nongenetic,1
nonphysical,1
nonsentient,1
nonthreatene,1
nonvocally,1
nudibranchs,1
oldest,1
oni,1
ooloilike,1
oozed,1
outsell,1
outtrade,1
outwaite,1
outwaited,1
overspecialize,1
premetamorphosal,1
prequel,1
procreate,1
pseudotentacle,1
pummelo,1
quadrapedal,1
reacquaintance,1
reclusiveness,1
recolonize,1
regenerating,1
relating,1
reliving,1
resolidifie,1
resupplie,1
reswallow,1
rewelcome,1
riverine,1
scapegoate,1
seeded,1
senhor,1
shamefaced,1
shipbody,1
shipgrowe,1
siwatu,1
sphinctere,1
subvocalization,1
tactilely,1
tai,1
tediin,1
tiikuchahk,1
tracheostomy,1
transcribed,1
traumatically,1
underscent,1
unearthliness,1
unforced,1
unknot,1
unpracticed,1
unthreatening,1
yashi,1
