word,total_count,chapter_count,chapters
say,272,14,"2:7,3:27,4:6,5:21,6:13,7:32,8:3,9:25,10:1,11:23,12:7,13:27,14:33,15:47"
come,227,13,"2:11,3:12,4:29,5:16,6:8,7:19,8:12,9:25,11:17,12:13,13:21,14:19,15:25"
look,219,14,"2:21,3:13,4:14,5:25,6:13,7:33,8:1,9:11,10:2,11:11,12:16,13:9,14:22,15:28"
boy,211,14,"2:11,3:11,4:10,5:17,6:16,7:21,8:10,9:10,10:3,11:4,12:3,13:3,14:33,15:59"
go,187,12,"2:8,3:25,4:12,5:19,6:10,7:33,9:11,11:20,12:9,13:11,14:21,15:8"
fire,182,11,"2:17,3:23,4:16,5:21,6:8,7:42,9:3,11:16,12:1,13:10,14:25"
rock,150,12,"2:25,3:5,4:24,5:7,6:10,7:7,9:22,11:13,12:3,13:8,14:6,15:20"
away,149,13,"2:10,3:14,4:22,5:18,6:9,7:18,8:3,9:11,11:4,12:7,13:7,14:13,15:13"
thing,139,13,"2:7,3:32,4:10,5:11,6:4,7:18,8:6,9:5,11:6,12:5,13:6,14:19,15:10"
hand,136,13,"2:7,3:11,4:20,5:11,6:6,7:18,8:4,9:9,11:10,12:3,13:8,14:16,15:13"
conch,133,12,"2:6,3:32,4:3,5:2,6:4,7:17,8:1,11:18,12:1,13:5,14:33,15:11"
face,130,13,"2:4,3:13,4:7,5:21,6:6,7:6,8:3,9:7,11:8,12:10,13:9,14:11,15:25"
get,125,12,"2:6,3:17,4:3,5:12,6:5,7:15,9:7,11:17,12:5,13:13,14:15,15:10"
island,125,13,"2:7,3:12,4:17,5:3,6:7,7:10,8:16,9:7,11:4,12:5,13:2,14:15,15:20"
stand,123,13,"2:4,3:12,4:11,5:17,6:3,7:16,8:1,9:6,11:9,12:4,13:6,14:10,15:24"
water,119,12,"2:10,3:10,4:5,5:21,6:22,8:1,9:10,11:6,12:7,13:1,14:2,15:24"
turn,112,13,"2:7,3:13,4:8,5:10,6:11,7:13,8:3,9:10,11:6,12:8,13:4,14:5,15:14"
mountain,107,13,"2:19,3:4,5:11,6:6,7:6,8:3,9:20,10:1,11:1,12:4,13:2,14:20,15:10"
time,100,14,"2:10,3:6,4:13,5:9,6:3,7:12,8:5,9:13,10:2,11:6,12:3,13:4,14:7,15:7"
beast,99,10,"2:15,3:21,4:1,6:16,7:14,8:20,9:8,10:1,11:1,13:2"
forest,99,13,"2:5,3:4,4:12,5:2,6:9,7:17,8:3,9:6,11:4,12:7,13:4,14:9,15:17"
fall,97,14,"2:9,3:9,4:9,5:9,6:6,7:5,8:12,9:8,10:1,11:4,12:4,13:1,14:7,15:13"
see,97,13,"2:8,3:6,4:17,5:10,6:5,7:12,8:5,9:5,11:6,12:2,13:4,14:6,15:11"
eye,96,12,"2:8,3:4,4:9,5:16,6:5,7:12,9:3,11:6,12:7,13:6,14:4,15:16"
know,94,13,"2:5,3:17,4:7,5:9,7:10,8:4,9:4,10:1,11:7,12:2,13:5,14:14,15:9"
little,94,14,"2:2,3:6,4:12,5:7,6:3,7:11,8:3,9:8,10:1,11:6,12:6,13:3,14:17,15:9"
sit,92,12,"2:7,3:10,4:4,5:6,6:4,7:15,9:8,11:5,12:1,13:7,14:8,15:17"
right,91,13,"2:10,3:15,4:14,5:5,6:2,7:8,8:1,9:12,11:5,12:6,13:4,14:5,15:4"
tree,91,13,"2:4,3:5,4:10,5:5,6:8,7:12,8:1,9:2,11:1,12:14,13:3,14:13,15:13"
hold,89,13,"2:7,3:9,4:10,5:7,6:7,7:10,8:3,9:3,11:10,12:2,13:4,14:11,15:6"
think,89,13,"2:5,3:12,4:13,5:4,6:2,7:19,8:2,9:6,11:6,12:3,13:3,14:7,15:7"
spear,87,10,"2:7,4:25,5:2,6:2,7:11,9:10,10:1,11:20,12:6,13:3"
find,85,14,"2:2,3:5,4:9,5:4,6:3,7:7,8:8,9:11,10:3,11:4,12:3,13:3,14:13,15:10"
round,84,12,"2:6,3:3,4:6,5:8,6:6,7:12,9:8,11:7,12:4,13:3,14:9,15:12"
head,83,13,"2:6,3:3,4:10,5:5,6:4,7:15,8:3,9:5,11:5,12:3,13:6,14:2,15:16"
take,82,13,"2:5,3:11,4:5,5:5,6:8,7:7,8:3,9:7,11:5,12:3,13:4,14:10,15:9"
pig,80,12,"3:4,4:7,5:15,6:6,7:10,8:3,9:16,10:1,11:2,12:9,14:3,15:4"
smoke,80,11,"2:2,3:4,4:12,5:11,6:3,7:10,11:11,12:2,13:11,14:13,15:1"
voice,78,12,"2:1,3:7,4:17,5:6,7:10,8:2,9:9,11:5,12:2,13:7,14:5,15:7"
beach,76,12,"2:3,3:9,4:8,5:10,6:5,7:9,8:2,11:4,12:5,13:3,14:2,15:16"
foot,76,13,"2:5,3:4,4:11,5:9,6:7,7:6,8:1,9:3,11:4,12:7,13:4,14:5,15:10"
way,73,13,"2:8,3:3,4:8,5:4,6:1,7:3,8:2,9:9,11:2,12:8,13:3,14:8,15:14"
run,72,11,"2:1,4:15,5:13,6:7,7:12,8:1,9:9,11:2,12:5,14:2,15:5"
speak,71,12,"2:5,3:15,4:6,5:4,7:11,8:2,9:6,11:4,12:3,13:1,14:6,15:8"
light,70,13,"2:8,3:6,4:12,5:4,6:7,7:2,8:1,9:4,11:3,12:6,13:4,14:7,15:6"
cry,69,14,"2:3,3:7,4:22,5:10,6:2,7:2,8:1,9:2,10:1,11:3,12:3,13:1,14:7,15:5"
sand,68,10,"2:1,3:2,4:3,5:15,6:14,7:10,11:3,12:2,13:1,15:17"
sea,68,12,"2:5,3:3,4:3,5:9,6:4,7:5,8:4,9:11,11:6,12:3,14:4,15:11"
lie,66,12,"2:6,3:2,4:10,5:6,6:7,7:3,9:7,11:6,12:4,13:3,14:5,15:7"
platform,66,12,"2:2,3:6,4:2,5:3,6:2,7:15,8:3,9:2,12:2,13:3,14:7,15:19"
hair,65,13,"2:5,3:3,4:7,5:10,6:2,7:6,9:6,10:1,11:9,12:3,13:2,14:4,15:7"
rise,65,13,"2:5,3:7,4:9,5:3,6:7,7:5,8:5,9:6,11:3,12:2,13:1,14:7,15:5"
shelter,65,12,"2:9,3:10,4:3,5:3,6:1,7:5,8:1,9:3,11:2,12:15,13:12,14:1"
begin,64,13,"2:3,3:4,4:8,5:9,6:2,7:11,8:1,9:2,11:4,12:1,13:1,14:7,15:11"
air,63,12,"2:1,3:2,4:4,5:4,6:10,7:9,9:1,11:4,12:7,13:2,14:4,15:15"
want,62,12,"2:6,3:6,4:2,5:1,6:2,7:10,9:8,11:3,12:4,13:6,14:8,15:6"
littlun,61,12,"2:1,3:20,4:2,5:8,6:6,7:11,8:1,9:3,10:1,11:1,12:4,13:3"
long,61,14,"2:6,3:6,4:7,5:2,6:2,7:5,8:3,9:3,10:1,11:7,12:5,13:2,14:2,15:10"
moment,61,13,"2:4,3:4,4:9,5:3,6:3,7:7,8:3,9:6,11:2,12:4,13:5,14:4,15:7"
savage,61,8,"3:1,4:29,5:2,7:6,8:2,11:13,13:4,14:4"
dark,60,13,"2:2,3:6,4:6,5:5,6:4,7:2,8:2,9:8,11:1,12:5,13:7,14:2,15:10"
