word,total_count
littlun,61
bigun,10
booing,3
rationalist,3
squareness,3
tike,3
bacchanal,2
bacchant,2
euripide,2
ferny,2
golding,2
landward,2
littlum,2
lodgment,2
paunche,2
unhandily,2
unqualifiedly,2
woodlice,2
antipathetic,1
bacchantes,1
bom,1
bowstave,1
call'em,1
candlenut,1
chieftainship,1
cloudlet,1
constrainedly,1
crepitation,1
darkish,1
daw,1
departmentalize,1
discursive,1
disfavor,1
divid,1
drenching,1
ebullience,1
efflorescence,1
enthroned,1
excelsis,1
explication,1
feasting,1
flinke,1
footling,1
frim,1
garlanded,1
good're,1
governable,1
ha'porth,1
hambone,1
hayrick,1
he'stoppe,1
headnote,1
humanism,1
islande,1
jaguar,1
jerseye,1
jolted,1
juxtapose,1
litthlus,1
loitered,1
mastering,1
matin,1
maurice,1
mentionable,1
myopia,1
neight,1
paradisiacal,1
parliamentarian,1
partyish,1
paten,1
pax,1
pigflesh,1
platfonn,1
precentor,1
psss,1
ralphlooke,1
relight,1
rugger,1
s'right,1
satyr,1
sepal,1
sha,1
sharpened,1
shoreward,1
stabbed,1
straightening,1
sunbath,1
ud,1
unbacke,1
unburnt,1
unmenacing,1
unpopulated,1
unquenchable,1
uns,1
untrouble,1
unwinke,1
unwiped,1
wearisomeness,1
wheee,1
wubber,1
zremaine,1
