word,total_count,chapter_count,chapters
come,7,5,"10:1,12:2,13:1,14:2,19:1"
know,7,4,"8:1,12:3,14:2,17:1"
bring,6,5,"6:1,8:1,12:1,14:1,17:2"
man,6,4,"6:1,10:1,12:3,14:1"
old,6,4,"6:1,10:2,12:2,14:1"
boy,5,1,12:5
further,5,3,"6:1,10:1,17:3"
hotel,5,2,"14:1,19:4"
world,5,2,"12:1,14:4"
great,4,4,"8:1,10:1,14:1,17:1"
life,4,2,"12:3,14:1"
see,4,1,14:4
walk,4,2,"12:2,17:2"
arm,3,2,"12:2,17:1"
away,3,1,12:3
begin,3,3,"8:1,12:1,14:1"
blame,3,2,"6:2,17:1"
end,3,2,"12:1,14:2"
factory,3,1,14:3
far,3,1,12:3
find,3,2,"14:1,19:2"
flag,3,2,"10:2,12:1"
follow,3,2,"12:2,17:1"
go,3,1,12:3
husband,3,2,"6:1,19:2"
little,3,2,"6:1,14:2"
mass,3,1,14:3
middle,3,2,"8:1,17:2"
nose,3,2,"10:1,14:2"
peace,3,2,"12:1,14:2"
power,3,2,"12:1,14:2"
think,3,1,12:3
town,3,2,"8:2,12:1"
vast,3,2,"12:1,14:2"
village,3,1,14:3
year,3,1,14:3
age,2,2,"10:1,14:1"
ancient,2,2,"10:1,14:1"
appear,2,2,"12:1,14:1"
basket,2,1,12:2
body,2,2,"12:1,19:1"
build,2,1,14:2
buy,2,1,14:2
call,2,1,14:2
carry,2,2,"12:1,14:1"
casket,2,1,12:2
city,2,2,"14:1,17:1"
cry,2,2,"12:1,13:1"
dark,2,2,"14:1,19:1"
death,2,1,12:2
deep,2,1,14:2
dig,2,2,"8:1,14:1"
disappear,2,1,12:2
dollar,2,1,14:2
eat,2,2,"12:1,14:1"
employee,2,1,19:2
entity,2,1,14:2
fill,2,2,"12:1,14:1"
form,2,2,"6:1,14:1"
fortune,2,2,"8:1,17:1"
giant,2,1,14:2
good,2,2,"8:1,17:1"
half,2,1,12:2
hand,2,2,"8:1,10:1"
head,2,1,12:2
hold,2,1,14:2
hour,2,2,"8:1,19:1"
hump,2,1,12:2
hunger,2,2,"12:1,14:1"
instant,2,1,12:2
king,2,1,17:2
kit,2,1,14:2
large,2,1,14:2
layer,2,1,12:2
lead,2,2,"12:1,14:1"
lie,2,2,"12:1,14:1"
living,2,2,"12:1,14:1"
look,2,2,"13:1,14:1"
magic,2,2,"12:1,14:1"
mind,2,1,12:2
moat,2,1,8:2
moon,2,2,"13:1,14:1"
native,2,1,14:2
nettle,2,1,12:2
occupy,2,1,14:2
offering,2,2,"6:1,10:1"
partly,2,1,12:2
people,2,1,14:2
perseverance,2,2,"8:1,17:1"
population,2,1,14:2
prince,2,1,17:2
problem,2,1,14:2
radio,2,1,14:2
rebuild,2,1,12:2
receive,2,1,14:2
report,2,1,17:2
room,2,1,19:2
ship,2,2,"10:1,14:1"
shoulder,2,1,14:2
show,2,2,"12:1,19:1"
silence,2,2,"3:1,12:1"
silent,2,1,12:2
sincere,2,2,"6:1,17:1"
slash,2,2,"12:1,19:1"
small,2,2,"6:1,8:1"
sound,2,2,"12:1,13:1"
speech,2,2,"10:1,14:1"
stand,2,1,12:2
struggle,2,2,"14:1,19:1"
supply,2,2,"14:1,19:1"
undertake,2,1,17:2
view,2,2,"10:1,14:1"
vision,2,1,14:2
wall,2,1,8:2
war,2,1,14:2
water,2,2,"14:1,17:1"
whisper,2,1,12:2
word,2,2,"12:1,14:1"
youth,2,1,14:2
accord,1,1,19:1
achieve,1,1,14:1
actually,1,1,12:1
address,1,1,12:1
administration,1,1,14:1
agronomist,1,1,14:1
airplane,1,1,14:1
alike,1,1,12:1
alive,1,1,12:1
allude,1,1,8:1
announce,1,1,17:1
annoying,1,1,14:1
apartment,1,1,12:1
apparently,1,1,19:1
approach,1,1,8:1
archaic,1,1,14:1
argument,1,1,19:1
armed,1,1,12:1
army,1,1,8:1
arouse,1,1,14:1
artificial,1,1,14:1
ash,1,1,12:1
ask,1,1,12:1
assemble,1,1,14:1
atomic,1,1,14:1
attention,1,1,6:1
attractive,1,1,19:1
autobahns,1,1,14:1
avid,1,1,14:1
backwater,1,1,14:1
bad,1,1,14:1
balance,1,1,14:1
balkanize,1,1,14:1
band,1,1,10:1
bark,1,1,12:1
bask,1,1,14:1
beat,1,1,12:1
belly,1,1,12:1
black,1,1,12:1
blade,1,1,19:1
blaze,1,1,12:1
blindly,1,1,12:1
bluff,1,1,12:1
boil,1,1,12:1
book,1,1,3:1
bourgeois,1,1,14:1
brick,1,1,14:1
brink,1,1,12:1
brusque,1,1,6:1
building,1,1,12:1
burn,1,1,12:1
bury,1,1,12:1
bus,1,1,14:1
business,1,1,14:1
can,1,1,14:1
capture,1,1,12:1
car,1,1,12:1
cautiously,1,1,14:1
ceaseless,1,1,14:1
ceaselessly,1,1,12:1
chance,1,1,14:1
change,1,1,8:1
character,1,1,6:1
cheap,1,1,14:1
cheer,1,1,14:1
choice,1,1,14:1
class,1,1,14:1
clause,1,1,14:1
climax,1,1,19:1
clock,1,1,14:1
clothing,1,1,14:1
club,1,1,14:1
coin,1,1,10:1
collapse,1,1,14:1
color,1,1,14:1
command,1,1,8:1
commercial,1,1,14:1
commingled,1,1,14:1
comprehend,1,1,10:1
concern,1,1,19:1
confine,1,1,14:1
consciousness,1,1,14:1
constant,1,1,17:1
constantly,1,1,17:1
contemplate,1,1,12:1
convenience,1,1,19:1
conversation,1,1,14:1
corps,1,1,12:1
corpse,1,1,12:1
countless,1,1,14:1
country,1,1,14:1
court,1,1,17:1
cover,1,1,12:1
covet,1,1,10:1
crack,1,1,14:1
crater,1,1,12:1
cream,1,1,12:1
croaking,1,1,12:1
cross,1,1,17:1
crouch,1,1,14:1
crowd,1,1,14:1
cuckoo,1,1,13:1
cut,1,1,10:1
danger,1,1,17:1
dawn,1,1,13:1
day,1,1,12:1
decade,1,1,14:1
decisive,1,1,14:1
defeat,1,1,14:1
demon,1,1,12:1
den,1,1,14:1
depart,1,1,8:1
describe,1,1,19:1
dim,1,1,12:1
dip,1,1,10:1
direction,1,1,13:1
discern,1,1,14:1
discrimination,1,1,14:1
dispute,1,1,14:1
distribute,1,1,14:1
diverse,1,1,14:1
doctor,1,1,14:1
domain,1,1,10:1
domination,1,1,12:1
doom,1,1,8:1
dot,1,1,12:1
drape,1,1,12:1
dreadful,1,1,12:1
dream,1,1,14:1
dress,1,1,19:1
drift,1,1,12:1
drool,1,1,12:1
drop,1,1,14:1
early,1,1,19:1
earphone,1,1,12:1
earth,1,1,12:1
economic,1,1,14:1
edifice,1,1,12:1
effective,1,1,14:1
elder,1,1,14:1
empire,1,1,10:1
engineer,1,1,14:1
enrich,1,1,17:1
enterprising,1,1,14:1
environment,1,1,6:1
equal,1,1,14:1
equally,1,1,12:1
equitable,1,1,14:1
era,1,1,12:1
ethnic,1,1,14:1
event,1,1,17:1
exclude,1,1,14:1
exist,1,1,12:1
expect,1,1,14:1
explore,1,1,14:1
eye,1,1,12:1
eyeless,1,1,12:1
face,1,1,12:1
fact,1,1,14:1
fade,1,1,12:1
fall,1,1,8:1
fantasy,1,1,12:1
fatal,1,1,19:1
favor,1,1,14:1
feverish,1,1,14:1
figure,1,1,12:1
film,1,1,12:1
final,1,1,12:1
fit,1,1,6:1
flame,1,1,12:1
flat,1,1,14:1
flood,1,1,14:1
flow,1,1,14:1
flower,1,1,6:1
foot,1,1,10:1
founding,1,1,12:1
fragment,1,1,12:1
fulfil,1,1,10:1
furrow,1,1,14:1
gaunt,1,1,14:1
generous,1,1,14:1
genteelly,1,1,14:1
girl,1,1,12:1
give,1,1,14:1
glad,1,1,12:1
goal,1,1,14:1
grave,1,1,12:1
gray,1,1,12:1
grief,1,1,14:1
grisly,1,1,19:1
guest,1,1,19:1
handful,1,1,12:1
harmony,1,1,14:1
heal,1,1,14:1
hear,1,1,13:1
heart,1,1,17:1
hexagram,1,1,8:1
hi,1,1,12:1
high,1,1,14:1
homogeneity,1,1,14:1
house,1,1,12:1
huge,1,1,12:1
hum,1,1,14:1
humiliation,1,1,8:1
hurt,1,1,12:1
ice,1,1,12:1
ignorance,1,1,14:1
immediately,1,1,19:1
inasmuch,1,1,6:1
increase,1,1,17:1
incredible,1,1,12:1
industrious,1,1,14:1
ingot,1,1,14:1
inorganic,1,1,12:1
inspire,1,1,12:1
instruct,1,1,19:1
instruction,1,1,14:1
instrument,1,1,14:1
interact,1,1,14:1
intricate,1,1,14:1
intrigue,1,1,12:1
ironically,1,1,19:1
isolate,1,1,12:1
ist,1,1,14:1
jerk,1,1,12:1
jet,1,1,14:1
journey,1,1,12:1
knee,1,1,10:1
land,1,1,14:1
late,1,1,12:1
lay,1,1,12:1
leadership,1,1,14:1
leave,1,1,19:1
libation,1,1,10:1
lift,1,1,12:1
limit,1,1,14:1
lip,1,1,12:1
listen,1,1,12:1
litter,1,1,12:1
live,1,1,14:1
long,1,1,14:1
marble,1,1,14:1
marital,1,1,19:1
market,1,1,14:1
matter,1,1,17:1
measure,1,1,14:1
medicine,1,1,14:1
meet,1,1,6:1
megalomaniacal,1,1,12:1
million,1,1,14:1
minded,1,1,14:1
mix,1,1,12:1
modern,1,1,14:1
morning,1,1,12:1
mother,1,1,12:1
mouth,1,1,14:1
murder,1,1,12:1
name,1,1,14:1
nameless,1,1,12:1
nation,1,1,14:1
necessary,1,1,17:1
needful,1,1,14:1
new,1,1,14:1
newspaper,1,1,14:1
nightmare,1,1,12:1
noble,1,1,14:1
note,1,1,14:1
notice,1,1,12:1
notify,1,1,17:1
office,1,1,12:1
oil,1,1,14:1
oppose,1,1,17:1
oppression,1,1,10:1
ordeal,1,1,12:1
pair,1,1,17:1
pale,1,1,13:1
partake,1,1,14:1
particular,1,1,14:1
pass,1,1,12:1
pasture,1,1,12:1
pay,1,1,6:1
pea,1,1,14:1
pick,1,1,19:1
place,1,1,8:1
plague,1,1,14:1
planner,1,1,14:1
plow,1,1,14:1
police,1,1,19:1
political,1,1,12:1
poplar,1,1,6:1
poverty,1,1,12:1
praise,1,1,6:1
present,1,1,17:1
press,1,1,12:1
presuppose,1,1,6:1
pride,1,1,12:1
produce,1,1,12:1
production,1,1,14:1
progress,1,1,14:1
prosperity,1,1,14:1
protest,1,1,12:1
province,1,1,14:1
purify,1,1,14:1
purple,1,1,10:1
put,1,1,6:1
quarrel,1,1,19:1
question,1,1,19:1
quiet,1,1,12:1
quiver,1,1,12:1
quivering,1,1,12:1
race,1,1,14:1
rational,1,1,14:1
razor,1,1,19:1
read,1,1,14:1
realization,1,1,14:1
rebuilding,1,1,14:1
record,1,1,12:1
reitet,1,1,14:1
relief,1,1,14:1
remain,1,1,14:1
residence,1,1,14:1
resolutely,1,1,17:1
resort,1,1,17:1
response,1,1,6:1
rest,1,1,14:1
restaurant,1,1,14:1
return,1,1,19:1
rim,1,1,12:1
rocket,1,1,14:1
rot,1,1,12:1
rouse,1,1,14:1
rubble,1,1,12:1
ruin,1,1,12:1
rule,1,1,14:1
rustic,1,1,12:1
sale,1,1,14:1
say,1,1,19:1
scene,1,1,19:1
school,1,1,12:1
scream,1,1,12:1
screen,1,1,14:1
seal,1,1,17:1
section,1,1,14:1
seek,1,1,19:1
send,1,1,14:1
set,1,1,14:1
shamble,1,1,12:1
shell,1,1,12:1
shirt,1,1,19:1
shudder,1,1,12:1
sick,1,1,14:1
sift,1,1,12:1
sign,1,1,19:1
signal,1,1,14:1
similar,1,1,14:1
single,1,1,12:1
sink,1,1,8:1
sky,1,1,13:1
slashing,1,1,19:1
slender,1,1,19:1
slide,1,1,12:1
slumber,1,1,14:1
smell,1,1,12:1
snake,1,1,12:1
social,1,1,14:1
softly,1,1,10:1
solution,1,1,14:1
solve,1,1,14:1
soon,1,1,14:1
sore,1,1,14:1
spat,1,1,14:1
spirit,1,1,12:1
spread,1,1,12:1
squabble,1,1,14:1
standard,1,1,14:1
starve,1,1,14:1
statement,1,1,14:1
steady,1,1,17:1
steel,1,1,14:1
steh,1,1,12:1
stinking,1,1,12:1
stop,1,1,12:1
store,1,1,12:1
strain,1,1,14:1
strained,1,1,12:1
street,1,1,12:1
strike,1,1,17:1
strip,1,1,12:1
strong,1,1,6:1
success,1,1,8:1
suggest,1,1,19:1
suite,1,1,19:1
sun,1,1,10:1
sunrise,1,1,10:1
sunset,1,1,10:1
superman,1,1,12:1
supernaturally,1,1,14:1
surprise,1,1,14:1
survivor,1,1,12:1
swank,1,1,19:1
swarm,1,1,14:1
system,1,1,14:1
table,1,1,14:1
take,1,1,6:1
tank,1,1,12:1
taste,1,1,12:1
teacher,1,1,14:1
technician,1,1,14:1
television,1,1,14:1
tell,1,1,12:1
terribly,1,1,12:1
thought,1,1,12:1
thrifty,1,1,14:1
throat,1,1,19:1
thunder,1,1,14:1
tie,1,1,12:1
tightly,1,1,12:1
time,1,1,14:1
tinny,1,1,14:1
topple,1,1,12:1
tortoise,1,1,17:1
totally,1,1,14:1
trade,1,1,14:1
tragic,1,1,19:1
train,1,1,14:1
tranquillity,1,1,10:1
transaction,1,1,14:1
treatment,1,1,14:1
tree,1,1,12:1
trench,1,1,12:1
trick,1,1,14:1
truck,1,1,14:1
true,1,1,6:1
truthfully,1,1,17:1
turn,1,1,12:1
turret,1,1,12:1
typewriter,1,1,14:1
und,1,1,14:1
unfortunate,1,1,17:1
upraise,1,1,12:1
upright,1,1,6:1
use,1,1,8:1
violent,1,1,19:1
void,1,1,14:1
waiting,1,1,14:1
waken,1,1,14:1
watch,1,1,12:1
weed,1,1,12:1
well,1,1,14:1
wer,1,1,14:1
wheel,1,1,14:1
white,1,1,14:1
wife,1,1,3:1
wipe,1,1,12:1
withered,1,1,6:1
witlessly,1,1,14:1
woman,1,1,6:1
work,1,1,14:1
workingman,1,1,14:1
workman,1,1,14:1
worship,1,1,12:1
write,1,1,3:1
yearn,1,1,14:1
