word,total_count
hydrazine,27
watney,22
presupply,13
kilowatt,11
milliliter,7
electrolyze,6
ninjas,6
backfille,4
resistor,4
sysop,4
adjuster,3
aeroshell,3
argon,3
autodeploye,3
cabling,3
caloric,3
depressurization,3
elrond,3
evac'd,3
sublimation,3
accelerometer,2
aerobrake,2
amperage,2
astrodynamic,2
astrodynamicist,2
bloodlette,2
heads,2
homing,2
intranet,2
jetliner,2
jpl,2
milliamp,2
mitch,2
multivitamin,2
nonflammable,2
outsold,2
ph,2
precession,2
pressurization,2
presupplie,2
ragtop,2
rtg,2
southernmost,2
sparker,2
spreadsheet,2
sustainability,2
titration,2
unfolded,2
vip,2
aerobraking,1
alma,1
angling,1
ascii,1
assload,1
astrophysicist,1
asymmetrical,1
backfill,1
bacteriology,1
biomatter,1
bloodletting,1
checksum,1
cleanable,1
cleric,1
clincher,1
cooped,1
coopte,1
coruscate,1
cre,1
disassembly,1
duper,1
earmarked,1
ejecta,1
entertained,1
equalizer,1
executable,1
farmable,1
farting,1
figures,1
goalkeeper,1
gunky,1
guyline,1
headsette,1
heliology,1
herme,1
hexadecimal,1
hexedit,1
homewrecker,1
imaginatively,1
interdepartmental,1
joule,1
jpeg,1
jpg,1
kelvin,1
keystroke,1
launchpad,1
lithium,1
lovemake,1
mars,1
meg,1
mindy,1
monthlong,1
mopped,1
multiday,1
nasa'll,1
nellie,1
noncritical,1
nonfunctional,1
nonrechargeable,1
overnighter,1
oxidization,1
parsed,1
pascal,1
plaintext,1
preauthorize,1
precooked,1
preignition,1
prolifically,1
pulverized,1
pyros,1
reactant,1
rechargeable,1
recharging,1
recompress,1
reentering,1
refilling,1
regen,1
reinforcing,1
resealable,1
resupplye,1
resuscitation,1
retardant,1
rocketry,1
rockier,1
rolled,1
rom,1
rp,1
sandblasting,1
schlep,1
sealant,1
shortfall,1
sim,1
snowblower,1
spectrometer,1
spectroscopy,1
spews,1
sproutable,1
statu,1
stressing,1
sturdiest,1
subarctic,1
superheat,1
supersized,1
surmountable,1
synche,1
systemic,1
tarnishing,1
thermocouple,1
thionyl,1
togeth,1
torsion,1
unacceptably,1
underperform,1
undistracted,1
undramatically,1
undulated,1
unsere,1
unstowe,1
unstowed,1
vaccum,1
vacuo,1
watneymobile,1
wuss,1
zirconia,1
