word,total_count,chapter_count,chapters
say,633,13,"3:119,4:19,5:24,6:93,7:47,8:197,9:10,10:25,11:19,12:28,13:31,14:1,16:20"
come,235,14,"3:55,4:15,5:7,6:25,7:20,8:48,9:7,10:7,11:8,12:20,13:4,14:11,15:1,16:7"
go,231,13,"3:49,4:8,5:2,6:27,7:20,8:67,9:7,10:15,11:8,12:13,13:2,14:1,16:12"
look,201,14,"3:55,4:9,5:14,6:21,7:14,8:38,9:9,10:6,11:9,12:11,13:6,14:5,15:1,16:3"
bull,192,2,"3:191,16:1"
get,144,12,"3:25,4:1,5:1,6:9,7:6,8:68,10:10,11:4,12:1,13:9,14:4,16:6"
man,124,12,"3:38,4:4,5:10,6:21,7:22,8:4,10:1,11:9,12:4,13:3,15:3,16:5"
know,121,12,"3:19,4:7,5:11,6:15,7:3,8:25,10:2,11:4,12:3,13:9,14:7,16:16"
good,114,14,"3:23,4:5,5:3,6:5,7:6,8:29,9:2,10:7,11:7,12:4,13:2,14:11,15:2,16:8"
hand,106,11,"3:38,4:9,5:1,6:2,7:13,8:33,9:4,10:1,11:1,12:3,16:1"
right,104,12,"3:34,4:2,5:4,6:7,7:2,8:32,9:1,10:2,12:1,13:5,14:9,16:5"
want,100,13,"3:15,5:14,6:11,7:2,8:31,9:3,10:1,11:1,12:5,13:5,14:5,15:2,16:5"
sit,95,12,"3:26,4:5,5:3,6:5,7:9,8:24,9:2,10:8,12:9,13:1,14:1,15:2"
stand,88,12,"3:42,4:2,5:1,6:6,7:8,8:14,9:2,11:4,12:4,13:3,14:1,16:1"
time,88,12,"3:12,4:5,5:2,6:2,7:4,8:27,10:6,11:1,12:6,13:3,14:4,16:16"
boy,81,10,"3:12,4:6,6:34,7:2,8:14,9:3,10:4,14:1,15:1,16:4"
ask,79,13,"3:15,4:4,5:3,6:6,7:8,8:20,9:3,10:3,11:2,12:9,13:1,14:1,16:4"
face,75,12,"3:32,4:5,6:3,7:1,8:19,9:5,10:3,11:2,12:2,13:1,14:1,15:1"
think,75,13,"3:19,4:2,5:3,6:8,7:1,8:17,9:1,10:6,11:1,12:3,14:1,15:1,16:12"
table,74,10,"3:24,4:1,5:8,7:14,8:7,9:4,10:4,11:1,12:10,15:1"
take,73,13,"3:14,4:2,5:2,6:2,7:13,8:15,9:2,10:1,11:5,12:4,13:2,14:2,16:9"
girl,66,11,"4:3,5:17,6:2,7:12,8:2,9:3,10:10,11:2,12:8,15:2,16:5"
room,65,13,"3:8,4:3,5:1,6:6,7:4,8:18,9:5,10:3,11:1,12:3,13:7,15:2,16:4"
thing,63,13,"3:12,4:5,5:8,6:3,7:1,8:9,10:2,11:3,12:2,13:3,14:1,15:3,16:11"
walk,61,11,"3:20,4:10,5:2,6:5,7:1,8:10,9:3,10:4,11:2,12:2,16:2"
head,60,11,"3:27,4:1,6:3,7:3,8:13,9:2,10:1,12:2,13:3,14:1,16:4"
feel,59,11,"3:22,4:2,5:8,6:4,8:7,10:3,12:1,13:4,14:4,15:1,16:3"
night,59,12,"3:6,4:2,5:1,6:3,7:2,8:7,10:4,11:6,12:2,13:2,14:4,16:20"
talk,59,14,"3:9,4:3,5:2,6:12,7:3,8:9,9:1,10:3,11:2,12:2,13:5,14:1,15:1,16:6"
long,58,14,"3:13,4:4,5:2,6:3,7:2,8:8,9:1,10:3,11:4,12:6,13:3,14:3,15:1,16:5"
cape,57,3,"3:53,4:1,7:3"
sleep,57,8,"3:2,7:1,8:21,9:3,10:2,11:5,13:1,16:22"
light,56,10,"3:21,4:5,6:5,7:4,8:4,9:3,10:4,11:5,13:2,16:3"
door,51,11,"3:10,4:3,5:1,6:13,7:1,8:9,9:7,10:4,12:1,13:1,14:1"
hold,51,8,"3:30,4:3,5:1,7:4,8:9,10:1,13:2,16:1"
horse,51,4,"3:42,10:4,13:4,16:1"
way,50,11,"1:1,3:14,4:3,5:3,6:3,7:4,8:11,10:3,11:2,12:1,16:5"
little,49,10,"3:10,4:6,6:6,7:1,8:8,9:2,11:4,12:4,13:4,14:4"
see,49,10,"3:19,5:2,6:3,7:2,8:8,10:5,11:1,12:4,13:1,14:4"
eye,48,7,"3:30,7:1,8:7,9:1,13:5,14:1,16:3"
lean,48,8,"3:30,6:2,7:2,8:5,9:3,12:3,14:2,16:1"
watch,48,8,"3:29,6:4,8:5,10:3,11:1,12:3,13:1,16:2"
drink,46,8,"3:10,5:6,7:1,8:11,10:1,12:7,13:5,14:5"
hear,46,9,"3:12,4:1,6:2,8:8,9:4,10:5,11:2,13:1,16:11"
open,46,12,"3:7,5:1,6:7,7:2,8:6,9:5,10:2,11:5,12:5,13:2,15:1,16:3"
big,45,10,"3:13,5:1,6:3,7:3,8:14,10:5,11:1,12:3,14:1,15:1"
bring,45,12,"3:7,4:1,5:1,6:1,7:5,8:10,9:1,10:1,11:1,12:12,14:1,16:4"
start,45,10,"3:9,4:1,5:1,7:6,8:12,11:1,12:1,13:3,14:2,16:9"
eat,43,9,"3:1,6:10,7:6,8:11,10:4,11:2,12:1,15:1,16:7"
train,42,5,"5:5,7:2,8:11,11:23,16:1"
hell,41,5,"3:7,6:6,8:21,14:4,16:3"
muleta,41,1,3:41
