word,total_count
whaleman,112
whaling,62
whaler,35
windlass,22
binnacle,16
trowser,13
baleen,11
infallibly,11
mainmast,10
spermaceti,10
straightway,10
bowsman,9
bowsprit,8
brit,8
handspike,8
tattooing,8
larboard,7
avast,6
clime,6
corpusant,6
denominate,6
foremast,6
pitchpole,6
rigger,6
cetology,5
gamesome,5
marchant,5
mincer,5
narwhale,5
predestinate,5
tierce,5
topsail,5
vapory,5
whaleboat,5
apprehensiveness,4
bowline,4
crescentic,4
cruet,4
dromedary,4
gam,4
hawser,4
heartie,4
idolator,4
ignorantly,4
impious,4
lucifer,4
merchantman,4
monomania,4
sabbee,4
sloop,4
stunsail,4
sufferable,4
swart,4
tendinous,4
unctuousness,4
voyager,4
adamite,3
admeasurement,3
alow,3
athirst,3
backstay,3
begat,3
belike,3
bison,3
canaller,3
celerity,3
chicha,3
circumnavigation,3
comprehensiveness,3
concernment,3
confluent,3
deify,3
determinate,3
dismaste,3
drugg,3
embalmed,3
emblazoning,3
enormousness,3
felicity,3
fleetness,3
gallie,3
grego,3
inclose,3
incommunicable,3
infatuated,3
jewelled,3
jeweller,3
leviathanic,3
loadstone,3
lubber,3
marling,3
masone,3
methodic,3
perdition,3
phrenologically,3
phrenologist,3
phrensie,3
psalmody,3
punchbowl,3
quadrupe,3
quoin,3
see'st,3
slouched,3
spiralize,3
steelkilt,3
sterne,3
stript,3
stubbs,3
sturgeon,3
subterraneous,3
sunward,3
t'gallant,3
twelvemonth,3
unmanufactured,3
unprovide,3
unrestingly,3
vesture,3
waife,3
a'top,2
abaft,2
ablution,2
adroop,2
aforethought,2
airley,2
airth,2
anker,2
anomalously,2
antichronical,2
anticipatingly,2
appellative,2
backwoodsman,2
blent,2
boding,2
bresse,2
brigandish,2
bruited,2
bubblingly,2
busk,2
capstan,2
cartload,2
caske,2
caulking,2
cetacea,2
champollion,2
circumnavigating,2
collectedness,2
colonnade,2
consistence,2
copestone,2
corporeally,2
crested,2
cruell,2
curbstone,2
cuttle,2
deceitfulness,2
defyingly,2
demonism,2
dention,2
dexterously,2
diabolism,2
dilated,2
dismasted,2
distension,2
divineness,2
domineer,2
dropt,2
emblematical,2
enigmatical,2
ensign,2
etext,2
exegetist,2
ferrule,2
ferule,2
fireboard,2
fitly,2
flexion,2
foible,2
fossiliferous,2
gaffman,2
galliot,2
gamesomeness,2
gentlemanlike,2
gettest,2
ghostliness,2
goney,2
grapnel,2
grog,2
gudgeon,2
habitude,2
hartshorn,2
heedfully,2
heedfulness,2
hereditarily,2
humorousness,2
illustrative,2
immemorially,2
impenitent,2
imperille,2
imprecate,2
imputable,2
inboard,2
incognita,2
incorruption,2
incrustation,2
indomitableness,2
inglorious,2
inlander,2
insatiate,2
insurgent,2
interblende,2
involution,2
isolatoe,2
kelson,2
landlessness,2
livingly,2
mainyard,2
maltese,2
masterless,2
mastership,2
maty,2
mentioning,2
misanthropic,2
mizen,2
moulding,2
multitudinously,2
muskiness,2
nailed,2
obstetric,2
oder,2
olfactorie,2
orlop,2
overladen,2
pallidness,2
pantheistic,2
parmacetti,2
parmacetty,2
patentee,2
perfidious,2
perquisite,2
phrenological,2
phrensy,2
physiognomical,2
physiognomically,2
piratical,2
placeless,2
plaguy,2
planisphere,2
poltroon,2
poniard,2
portentousness,2
precipitancy,2
prehensile,2
preparative,2
profanely,2
proportionate,2
prudential,2
pyramidical,2
recondite,2
reeve,2
rudimental,2
scaramouch,2
scimetar,2
seizing,2
shad,2
sharkish,2
sheave,2
sheepfold,2
simultaneousness,2
skirra,2
skrimshander,2
slantingly,2
slily,2
somerset,2
steerer,2
stilly,2
sublimity,2
sultanism,2
superstitiously,2
superstitiousness,2
surmising,2
surtout,2
theoretic,2
toiling,2
torrid,2
tranquillize,2
transpointe,2
trencher,2
truest,2
tumultuously,2
unbounded,2
unclad,2
undiscernible,2
unfrequent,2
unintermitted,2
unmannerly,2
unmethodically,2
unnearable,2
unprincipled,2
unreste,2
unsounde,2
unsounded,2
unsupplie,2
untravelled,2
unvitiated,2
unwaning,2
unwarrantable,2
unwarrantably,2
unwearied,2
vertu,2
villanous,2
voracity,2
wantest,2
waterward,2
whaleship,2
a'low,1
a'most,1
abandonedly,1
abated,1
abeam,1
abhorring,1
aboriginally,1
aboriginalness,1
abounding,1
aboundingly,1
absorbingly,1
acerbity,1
acridness,1
actest,1
adhesiveness,1
adieu,1
adieux,1
adventurously,1
afoam,1
afric,1
aggregated,1
ahab,1
alb,1
aldermen,1
aleak,1
alewive,1
aliment,1
allurement,1
amain,1
amphitheatrical,1
analogical,1
angularly,1
animating,1
annihilated,1
annuitant,1
anointed,1
antemosaic,1
anticipative,1
antlere,1
apeak,1
approving,1
arbore,1
arbour,1
archangelical,1
archbishopric,1
archiepiscopacy,1
arpen,1
arrowy,1
artificialness,1
ascribable,1
ascription,1
ashantee,1
aslope,1
asphaltic,1
assailable,1
assailing,1
atheistical,1
athwartship,1
attar,1
augmented,1
backwardly,1
balena,1
balme,1
bamboozingly,1
bandbox,1
banished,1
bannere,1
banqueter,1
baptise,1
barbacued,1
barque,1
barreler,1
barreller,1
baskete,1
basketed,1
beaked,1
beale,1
becalmed,1
becharm,1
becharmed,1
bedarne,1
bedeadene,1
bedward,1
befogged,1
begrime,1
begrimed,1
bejuggle,1
beli,1
benignity,1
bepatche,1
besmoke,1
besoote,1
bestowal,1
bestreaked,1
bethought,1
bewitching,1
bibliographical,1
bigamist,1
bilocular,1
bitterest,1
bivouack,1
blackling,1
blameworthy,1
blindest,1
blisteringly,1
blunted,1
boatheader,1
bombazine,1
bookbinder,1
bounder,1
bounteous,1
bountifully,1
bowstre,1
braining,1
brawniness,1
breastband,1
breathest,1
breezelessness,1
breezing,1
brevet,1
brigness,1
brimmer,1
brimming,1
bugbear,1
bullock,1
bundling,1
burrower,1
burstingly,1
butterless,1
cabalistical,1
cabalistically,1
cachalot,1
camphorate,1
canakin,1
cankerous,1
cannibalistically,1
cannibally,1
cannikin,1
canonic,1
canonized,1
canted,1
canticle,1
capsizing,1
carking,1
carline,1
cassock,1
catarrhs,1
cenotaph,1
centrepiece,1
ceti,1
cetological,1
chancery,1
chassee,1
cheerly,1
cheeserie,1
cherrye,1
chivalric,1
christening,1
christian,1
cibil,1
circumambient,1
circumambulate,1
circumnavigate,1
circumvention,1
citron,1
clapt,1
clearest,1
cleet,1
clingest,1
cogged,1
cognisable,1
combinedly,1
commonalty,1
compactness,1
companie,1
compendious,1
complie,1
complimented,1
concentre,1
concreted,1
condor,1
confabulation,1
confoundedly,1
congregated,1
conjuncture,1
contemptibly,1
contending,1
contrastingly,1
contributory,1
corsair,1
cosmopolite,1
costermonger,1
counterpoise,1
countersinker,1
courageousness,1
coverlid,1
coying,1
crappoe,1
creepingly,1
crim,1
crish,1
crookedness,1
crosslight,1
crotchet,1
crucified,1
cruppere,1
cudgelling,1
cupbearer,1
curiousness,1
curvet,1
curvicue,1
cutlass,1
cylindrically,1
cymballe,1
cymballing,1
czar,1
czarship,1
daggoo,1
daintiest,1
daintiness,1
darbie,1
daresn't,1
darkey,1
darkle,1
dartingly,1
dashed,1
dauntlessness,1
deathful,1
debel,1
decapitated,1
decoction,1
deepeningly,1
demigorgon,1
demijohn,1
demonstrable,1
demselve,1
dentistical,1
derick,1
deriding,1
descried,1
descriptively,1
desolateness,1
devilishness,1
diaboli,1
diabolically,1
diademed,1
diagonically,1
dietetically,1
digesting,1
digressively,1
diluvian,1
dinnerless,1
dirgelike,1
discreditably,1
disencumber,1
disguisement,1
disincline,1
dismasting,1
dismemberer,1
dismembering,1
disorderliness,1
disrate,1
ditcher,1
divinest,1
dogger,1
dood,1
doore,1
dramatist,1
draughtsman,1
drawlingly,1
dreadnaught,1
ducat,1
dumfoundere,1
dungeone,1
e'en,1
eber,1
ebonness,1
eely,1
embaye,1
emprise,1
emulation,1
enfolding,1
engendering,1
engraft,1
engraven,1
engulphed,1
entrapped,1
epicurean,1
equinoctial,1
erectly,1
errantism,1
esteemeth,1
etherial,1
everything,1
evinced,1
exceptionable,1
execration,1
exordium,1
expandingly,1
eyeing,1
fac,1
facetiousness,1
fadeless,1
fadest,1
fagot,1
familyless,1
fancying,1
faring,1
farrago,1
fasce,1
fastened,1
feastest,1
featuring,1
ferociousness,1
fertilely,1
fickleness,1
filer,1
fillipe,1
finical,1
finny,1
fins,1
firkin,1
firma,1
flavorish,1
flensing,1
flinging,1
flourishing,1
foamingly,1
fobbing,1
footmanism,1
foreknow,1
foremastman,1
forethrown,1
forfeiture,1
forlornness,1
foundling,1
frankincense,1
freeboote,1
freebooter,1
freewill,1
friesland,1
fringing,1
frothed,1
fuddle,1
fusee,1
fuzzing,1
g'utton,1
gaining,1
gallopingly,1
gamboge,1
gardenny,1
gaudiest,1
gayer,1
genera,1
gettee,1
glidest,1
glim,1
gnomon,1
gobern,1
goberne,1
gor,1
gra,1
grampus,1
grandiloquent,1
grandissimus,1
greenly,1
grenadi,1
grenadier,1
greybeard,1
greyheaded,1
growlingly,1
habergeon,1
habitatory,1
hailing,1
halfspent,1
halloa,1
happenest,1
harbourless,1
harpstring,1
headmost,1
heartedness,1
heartwoe,1
heigh,1
heinousness,1
hereafter,1
hereof,1
hermaphroditical,1
hesitatingly,1
heterogeneously,1
hieroglyphical,1
higgledy,1
hinting,1
hoister,1
holdest,1
hominum,1
honorableness,1
hooroosh,1
houseless,1
hoveringly,1
howdah,1
howdahe,1
hows'ever,1
hugest,1
hummingly,1
hussar,1
husting,1
huzza,1
hval,1
hydrophobia,1
icebound,1
ideality,1
idolatrous,1
ile,1
illimitable,1
illimitably,1
imbedded,1
immingling,1
immitigable,1
immutableness,1
impaling,1
impetuousness,1
impiousness,1
importunity,1
impregnably,1
incarcerated,1
incommode,1
incommodiously,1
incomputable,1
incumbrance,1
indefiniteness,1
indispensableness,1
indissoluble,1
indite,1
individualizing,1
ineffably,1
ineffaceable,1
infantileness,1
inferable,1
inferentially,1
inflexibility,1
inflexibly,1
inhabitiveness,1
inion,1
inlaying,1
innocency,1
inspectingly,1
integument,1
intemperately,1
intensest,1
interceding,1
intercepted,1
interchangeably,1
interdicted,1
interflow,1
interflowe,1
interfusing,1
interlinked,1
interluding,1
intermeddling,1
intermitting,1
intermixingly,1
interpenetrate,1
intertangled,1
intertwiste,1
intertwisting,1
interweavingly,1
intolerableness,1
intrepidity,1
intrepidly,1
inuendoe,1
invariability,1
invertedly,1
inveteracy,1
inveterate,1
invoking,1
invokingly,1
inwreathing,1
ireful,1
irresistibleness,1
ixion,1
jalap,1
japonicas,1
jett,1
jibs,1
jiff,1
jingler,1
jollily,1
judgmatically,1
kannakin,1
kedger,1
kentledge,1
knightly,1
laborers,1
lactantem,1
laid,1
lancet,1
laplandish,1
latently,1
laudanum,1
layn,1
leaped,1
leapest,1
leewarding,1
lege,1
lengthened,1
lexicographer,1
liest,1
lifted,1
liv'st,1
lividly,1
lobtailing,1
localness,1
loftiest,1
loungingly,1
loweringly,1
maccaroni,1
magian,1
magnetizing,1
magniloquent,1
majestical,1
mak,1
malefactor,1
mammiferous,1
maned,1
mangrove,1
mannikin,1
