word,total_count,chapter_count,chapters
know,322,25,"5:16,6:4,7:10,8:13,9:13,10:4,11:15,12:14,13:11,14:11,15:8,16:10,17:11,18:3,19:9,20:9,21:41,22:2,23:24,24:31,25:20,26:14,27:11,28:5,31:13"
say,314,24,"5:6,6:9,7:4,8:3,9:31,10:3,11:1,12:44,13:1,14:8,15:16,16:16,17:6,18:7,19:13,20:20,21:14,22:14,23:19,24:27,25:26,26:6,27:9,28:11"
time,261,25,"5:13,6:8,7:14,8:15,9:6,10:3,11:12,12:15,13:8,14:7,15:10,16:13,17:8,18:2,19:8,20:11,21:38,22:5,23:18,24:14,25:10,26:10,27:1,28:7,31:5"
face,248,24,"5:33,6:6,7:5,9:12,10:8,11:9,12:10,13:13,14:13,15:5,16:6,17:3,18:2,19:3,20:18,21:8,22:7,23:28,24:17,25:18,26:10,27:5,28:8,31:1"
word,232,24,"5:9,6:4,7:4,8:3,9:24,10:3,11:3,12:5,13:5,14:2,15:4,16:1,17:2,18:5,19:2,20:8,21:26,22:1,23:6,24:6,25:3,26:2,28:1,31:103"
man,212,21,"5:6,6:5,7:4,8:2,9:13,10:4,11:13,12:42,13:8,14:4,15:1,16:1,17:2,19:1,20:6,21:16,22:9,23:29,24:19,25:18,31:9"
look,193,24,"5:7,6:8,7:7,8:3,9:13,10:3,11:5,12:18,13:9,14:13,15:5,16:9,17:4,18:1,19:4,20:10,21:12,22:3,23:12,24:14,25:15,26:4,27:3,28:11"
come,192,24,"5:5,6:6,7:4,9:5,10:3,11:7,12:21,13:10,14:6,15:7,16:6,17:3,18:1,19:5,20:13,21:28,22:10,23:8,24:10,25:8,26:9,27:7,28:7,31:3"
war,188,14,"5:4,6:2,7:7,9:2,11:2,12:2,13:1,15:2,17:8,19:1,21:138,24:12,26:2,28:5"
think,184,25,"5:5,6:9,7:4,8:3,9:18,10:5,11:4,12:9,13:4,14:9,15:6,16:5,17:4,18:2,19:9,20:7,21:13,22:5,23:14,24:15,25:13,26:7,27:3,28:5,31:6"
long,183,22,"5:11,6:4,7:4,8:2,9:5,10:1,11:12,12:8,13:8,15:6,17:10,18:2,19:4,20:3,21:54,22:5,23:8,24:10,25:9,26:5,28:8,31:4"
moment,179,23,"5:22,6:3,7:7,8:3,9:5,10:4,11:4,12:11,13:9,14:4,15:7,16:7,18:2,19:3,20:7,21:29,22:1,23:9,24:15,25:7,26:9,27:3,28:8"
year,168,25,"5:9,6:8,7:6,8:7,9:11,10:8,11:8,12:14,13:2,14:2,15:8,16:5,17:5,18:1,19:5,20:2,21:33,22:3,23:6,24:11,25:4,26:5,27:1,28:1,31:3"
hand,158,25,"5:6,6:7,7:5,8:3,9:4,10:1,11:2,12:4,13:9,14:5,15:6,16:6,17:1,18:3,19:6,20:8,21:28,22:3,23:20,24:14,25:6,26:4,27:2,28:1,31:4"
way,158,24,"5:8,6:5,7:7,8:4,9:12,10:5,11:4,12:2,13:9,14:6,15:13,16:1,17:6,18:1,19:1,20:3,21:43,22:1,23:4,24:6,25:2,27:1,28:7,31:7"
go,149,25,"5:12,6:6,7:1,8:1,9:8,10:7,11:6,12:20,13:8,14:5,15:4,16:7,17:3,18:2,19:7,20:5,21:17,22:4,23:9,24:7,25:4,26:1,27:1,28:3,31:1"
see,149,24,"5:14,6:2,7:2,8:2,9:6,10:6,11:5,12:9,13:11,14:8,15:3,16:7,18:2,19:3,20:7,21:16,22:1,23:3,24:19,25:6,26:5,27:1,28:9,31:2"
thing,148,25,"5:10,6:1,7:6,8:3,9:6,10:3,11:5,12:17,13:6,14:5,15:5,16:8,17:8,18:1,19:6,20:2,21:6,22:3,23:4,24:11,25:11,26:8,27:8,28:4,31:1"
day,145,24,"5:9,6:2,7:2,8:8,9:6,10:2,11:6,12:9,13:8,14:2,15:4,16:3,17:9,18:1,19:6,20:6,21:22,22:3,23:7,24:3,25:3,26:8,28:12,31:4"
happen,140,24,"5:9,6:1,7:7,8:6,9:1,10:3,11:4,12:8,13:4,14:1,15:4,16:2,17:7,18:4,19:6,20:2,21:30,22:2,23:3,24:14,25:4,26:7,27:2,28:9"
world,138,20,"5:3,6:1,7:3,8:2,9:1,11:9,12:4,15:3,16:1,17:3,19:2,21:68,22:6,23:2,24:4,25:15,26:3,27:4,28:3,31:1"
eye,137,21,"5:9,6:5,7:5,9:10,10:2,11:6,12:5,13:8,14:4,16:4,17:1,19:5,20:5,21:11,22:6,23:15,24:24,25:3,26:3,27:1,28:5"
power,136,15,"5:5,7:1,9:1,10:1,11:2,12:1,19:2,20:3,21:76,22:1,24:3,25:33,26:3,28:1,31:3"
past,134,18,"5:1,6:6,7:6,8:4,9:3,11:9,12:2,13:2,16:2,17:4,19:1,20:3,21:65,24:14,25:2,26:2,28:1,31:7"
old,131,22,"5:4,6:3,7:7,9:10,10:5,11:6,12:37,14:4,15:3,16:2,17:5,19:1,20:1,21:14,22:3,23:5,24:7,25:8,26:2,27:1,28:2,31:1"
work,130,22,"1:1,5:5,6:3,8:10,9:6,10:1,11:15,12:5,13:9,14:1,15:8,16:2,17:4,20:8,21:37,22:3,23:1,24:1,25:1,26:3,28:4,31:2"
place,127,21,"5:8,6:3,7:8,8:3,9:5,11:5,12:11,13:8,14:2,15:6,16:8,17:2,20:7,21:19,22:2,23:12,24:9,25:1,27:1,28:5,31:2"
